BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2014;330000555;330781204;1;1;0;0;0;;0;0;168;168;168;;1;;;714;;;22;;;736;164;113;;51;;572;43;164;381;191;;;;;;;;;;;;;;;
SMURSAMU;2014;330000571;330781220;1;1;0;0;0;330781220;0;0;168;168;168;;1;;;485;0;0;0;0;;485;485;53;161;485;0;0;0;0;0;0;;;;;;;;;;;;;;;
SMURSAMU;2014;330000589;330027509;1;1;0;0;0;;0;0;168;168;168;;1;;;735;0;0;0;0;0;735;167;106;5;50;6;568;98;470;380;188;;;;;;;;;;;;;;;
SMURSAMU;2014;330000605;330781253;1;1;0;0;0;330781253;0;0;336;350;336;4;7;0;0;1400;81;0;0;0;0;1481;339;170;1;48;115;1036;78;240;964;72;;;;;;;;;;;;;;;
SMURSAMU;2014;330000613;330781261;1;1;0;0;1;330781253;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;330780495;330796392;1;1;0;0;0;;0;0;168;168;168;;5;;;535;1;;;;;536;139;71;3;51;5;399;23;72;259;140;;;;;;;;;;;;;;;
SMURSAMU;2014;330780537;330000324;1;1;0;0;0;;0;0;168;168;168;1;0;0;0;391;;;;;;391;136;35;24;28;49;255;11;15;156;99;;;;;;;;;;;;;;;
SMURSAMU;2014;330781360;330781196;1;1;0;1;0;330781196;0;1;800;588;588;6;4;0;;5384;2765;;478;386;;9013;2292;629;70;313;1228;3502;1425;1354;2936;566;478675;460122;388343;323329;273930;143253;739;355;384;1512;1;0;0;;0
SMURSAMU;2014;340000033;340780055;1;1;0;0;0;;0;0;252;252;336;1;1;;;2011;627;;0;0;;2638;487;221;4;183;;1524;122;550;1299;225;;;;;;;;;;;;;;;
SMURSAMU;2014;340000223;340011295;1;1;0;0;0;340011295;0;0;168;168;0;0;0;0;0;1081;74;0;0;0;0;1155;357;46;4;21;286;724;;;650;74;;;;;;;;;;;;;;;
SMURSAMU;2014;340000231;340780535;1;0;0;0;1;340780477;0;0;168;133;0;;;;;1460;;;;;;1460;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;340780436;340011295;1;0;0;0;1;340011295;1;0;168;168;0;0;0;0;0;1144;0;0;0;0;0;1144;458;60;12;32;354;686;;;308;378;;;;;;;;;;;;;;;
SMURSAMU;2014;340780717;340008150;1;0;0;0;1;340785161;0;0;168;168;168;;1;;;575;;;;;;575;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;340785161;340780477;1;1;0;0;0;;0;1;336;252;816;7;4;1;0;3976;1704;;209;475;0;6364;921;;;;;;;;;;443744;383771;;249057;200307;48750;335;224;111;888;1;0;18;;1
SMURSAMU;2014;350000147;350000022;1;1;0;0;0;;0;0;168;168;168;2;;0;0;807;34;;3;;;844;158;104;;14;40;649;32;176;608;41;;;;;;;;;;;;;;;
SMURSAMU;2014;350000154;350000030;1;1;0;0;0;350000030;0;0;168;168;168;;1;;;421;89;;1;2;;513;90;67;6;5;12;335;33;83;281;54;;;;;;;;;;;;;;;
SMURSAMU;2014;350000162;350000048;1;1;0;0;0;;0;0;168;168;168;;1;;;586;82;;;;;668;108;24;;;84;586;;;463;123;;;;;;;;;;;;;;;
SMURSAMU;2014;350000188;350000055;1;1;0;0;0;;0;0;168;168;168;;1;;;363;43;;;1;;407;107;57;2;10;37;219;14;44;152;67;;;;;;;;;;;;;;;
SMURSAMU;2014;350000741;350005179;1;1;0;0;0;;0;1;336;218;588;4;4;;;2972;1352;284;8;16;;4348;820;297;;86;437;2498;259;497;2226;272;246017;226026;198934;145987;136656;58151;295;222;73;654;1;0;0;838;0
SMURSAMU;2014;360000137;360000053;1;1;0;0;0;;0;1;386;336;336;3;3;1;0;1735;882;235;227;389;0;3233;;275;15;193;34;2181;108;408;2071;110;266000;263800;99200;134355;82783;21820;220;168;52;420;1;0;36;64;0
SMURSAMU;2014;360000160;360000079;1;0;0;0;1;360000053;0;0;168;168;0;;;;;148;;;;;;148;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;370000499;370000481;1;0;0;1;0;;0;0;168;173;0;;;;;5;535;;1;137;;678;1;1;0;0;0;7;7;0;7;0;;;;;;;;;;;;;;;
SMURSAMU;2014;370000531;370000606;1;1;0;0;0;370000861;0;0;168;168;0;0;1;0;0;401;36;0;6;0;;443;62;10;;27;;281;25;30;131;150;;;;;;;;;;;;;;;
SMURSAMU;2014;370000879;370000564;1;1;0;0;0;;0;0;168;168;0;;;;;480;28;0;0;0;0;508;140;67;1;2;60;400;;;149;251;;;;;;;;;;;;;;;
SMURSAMU;2014;370000903;370000614;1;0;0;0;1;370000481;0;0;168;168;0;;;;;278;37;0;0;0;0;315;48;31;1;5;0;228;;;62;166;;;;;;;;;;;;;;;
SMURSAMU;2014;370004467;370000481;1;1;0;0;0;370000481;0;1;672;385;375;3;5;1;;1950;538;25;140;343;;2971;752;265;12;72;509;1512;144;267;1220;292;165263;165263;;95253;95253;33922;;;;652;1;0;0;2409;1
SMURSAMU;2014;380000034;380780049;1;1;0;0;1;;0;0;252;252;252;3;1;;;1436;315;;;;;1751;324;167;131;26;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;380000067;380780080;1;1;0;0;0;;0;1;571;408;504;8;4;1;0;3009;1572;283;1019;365;0;5965;1151;327;13;213;502;2877;238;513;2068;809;446834;333879;300491;226195;151097;110238;461;202;209;994;1;1;28;1616;0
SMURSAMU;2014;380000174;380781435;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;1060;42;;;;;1102;;130;1;33;;925;87;161;620;305;;;;;;;;;;;;;;;
SMURSAMU;2014;380000406;380784751;1;1;0;0;0;;0;0;336;756;168;1;1;;;998;123;17;;;;1121;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;390000040;390780146;1;1;0;0;0;;0;0;336;336;336;1;2;;;1457;222;222;;;;1679;647;130;4;98;415;1167;108;441;1025;142;;;;;;;;;;;;;;;
SMURSAMU;2014;390000065;390780161;1;1;0;0;0;;0;0;168;168;168;;1;;;274;150;;;;;424;82;21;11;49;1;229;;;206;23;;;;;;;;;;;;;;;
SMURSAMU;2014;390000214;390780591;1;1;0;0;0;390780591;0;0;168;193;168;1;1;;;424;88;;0;0;0;512;87;39;;55;24;342;;;125;217;;;;;;;;;;;;;;;
SMURSAMU;2014;390000222;390780609;1;1;0;0;0;;0;0;252;252;252;1;2;;;1232;286;;;;;1518;655;95;14;95;451;980;132;208;745;235;;;;;;;;;;;;;;;
SMURSAMU;2014;390005742;390780146;1;0;0;0;1;390780146;0;0;168;168;0;1;1;;;304;11;;;;25;340;;17;0;33;155;284;36;37;31;253;;;;;;;;;;;;;;;
SMURSAMU;2014;400000105;400780193;1;1;0;0;0;400780193;0;0;224;180;180;2;1;;;1115;205;;;27;;1347;355;119;;109;127;694;50;123;548;146;;;;;;;;;;;;;;;
SMURSAMU;2014;400000139;400011177;1;1;0;0;0;400011177;0;1;168;168;168;4;1;0;0;1043;69;0;0;0;0;1112;256;95;14;87;523;1293;162;223;1193;100;331771;243110;190195;104553;84258;22008;248;168;80;1680;1;1;0;482;0
SMURSAMU;2014;400011383;400780193;1;0;0;0;1;400780193;1;0;168;0;0;;1;;;136;;;;;;136;114;4;1;47;62;20;6;2;6;14;;;;;;;;;;;;;;;
SMURSAMU;2014;400011391;400780193;1;0;0;0;1;400780193;1;0;84;0;0;;;1;;0;;;108;;;108;94;3;;61;30;13;4;0;8;5;;;;;;;;;;;;;;;
SMURSAMU;2014;400012506;400011177;1;0;0;0;1;400011177;1;0;168;0;0;0;1;0;0;169;0;0;0;0;0;169;169;3;0;104;62;169;47;2;2;54;;;;;;;;;;;;;;;
SMURSAMU;2014;400012514;400011177;1;0;0;0;1;400011177;;0;84;84;84;1;;;;580;228;0;0;0;0;808;379;39;4;61;275;486;25;54;241;245;;;;;;;;;;;;;;;
SMURSAMU;2014;400012522;400011177;1;0;0;0;1;400011177;0;0;168;168;168;1;;;;163;144;0;0;0;0;307;138;21;2;26;89;183;20;52;100;83;;;;;;;;;;;;;;;
SMURSAMU;2014;410000020;410000087;1;1;0;0;0;410000087;0;1;336;336;168;2;3;1;0;1530;533;0;158;406;;2627;685;195;5;55;322;1380;72;164;1043;337;;;;135357;83699;;168;168;15;360;1;0;0;429;0
SMURSAMU;2014;410000038;410000095;1;1;0;0;0;410000095;0;0;168;168;;0;2;0;0;599;3;;;;;602;179;87;1;35;56;352;21;86;293;59;;;;;;;;;;;;;;;
SMURSAMU;2014;410000046;410000103;1;1;0;0;0;410000046;0;0;168;168;168;0;1;0;0;606;5;0;0;0;0;611;353;95;37;98;123;527;40;121;441;86;;;;;;;;;;;;;;;
SMURSAMU;2014;420000010;420780033;1;1;0;0;0;420000010;0;1;164;336;336;1;2;;;1134;805;0;22;87;;2048;397;155;3;132;42;853;74;189;711;142;67020;63249;62575;46584;46584;10945;144;144;52;287;1;0;0;63;0
SMURSAMU;2014;420000226;420013831;1;1;0;0;0;;0;0;168;168;0;;1;;;395;42;;;;;437;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;420000267;420013831;1;1;0;0;0;;0;0;320;357;0;0;2;0;0;390;61;;;;;451;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;420785354;420784878;1;1;0;0;0;;0;1;504;504;426;4;5;1;0;2125;1185;28;383;408;0;4101;;;;;;;;;;;207040;184410;;126893;110289;55125;360;168;192;588;1;0;0;1045;0
SMURSAMU;2014;430000117;430000018;1;1;0;0;0;;0;1;238;287;0;1;3;;;1212;139;0;0;0;0;1351;86;138;28;43;83;1002;89;253;911;91;104095;104095;;55353;26646;28707;168;168;0;280;1;1;6;157;0
SMURSAMU;2014;430000190;430000034;1;0;0;0;1;;0;0;168;168;0;0;1;0;0;333;158;0;0;0;0;491;65;41;2;13;0;268;26;54;151;117;;;;;;;;;;;;;;;
SMURSAMU;2014;440000016;440000057;1;1;0;0;0;;0;0;336;336;336;0;3;0;0;1193;174;;;;;1367;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;440000271;440000289;1;1;0;0;0;440000289;0;1;406;504;504;3;5;;;2652;1801;309;157;417;0;5027;857;191;4;81;567;3653;404;407;2658;995;460402;453864;427086;240181;190705;97698;527;252;348;770;1;0;0;;0
SMURSAMU;2014;440000503;440000313;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;438;8;0;0;0;0;446;178;47;0;14;117;313;29;47;247;66;;;;;;;;;;;;;;;
SMURSAMU;2014;450000021;450000088;1;0;0;1;0;;0;0;50;168;0;1;;;;0;186;103;0;3;0;189;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;450000047;450000096;1;1;0;0;0;;0;0;744;672;11;;2;;;653;;;;;;653;8;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;450000062;450000104;1;1;0;0;0;450000104;0;0;168;168;168;;2;;;1017;8;;;;;1025;502;138;4;50;310;803;64;198;741;62;;;;;;;;;;;;;;;
SMURSAMU;2014;450000070;450000112;1;1;0;0;0;450000112;0;0;168;168;168;;2;;;614;20;;;;;634;326;66;4;33;209;543;;;224;319;;;;;;;;;;;;;;;
SMURSAMU;2014;450002613;450000088;1;1;0;0;0;;0;1;336;231;504;2;4;1;0;2761;435;;260;508;;3964;1386;275;21;194;811;1606;124;276;1325;281;250642;250642;250642;139280;108381;17652;384;336;48;455;1;0;13;1527;0
SMURSAMU;2014;460000045;460780083;1;1;0;0;0;460780083;0;0;35;35;35;;1;;;230;17;17;;;;247;63;21;1;10;32;136;12;32;102;34;;;;;;;;;;;;;;;
SMURSAMU;2014;460000052;460780091;1;1;0;0;0;460780091;0;0;50;134;50;;2;;;322;26;;;;;348;168;42;0;18;92;281;23;50;129;152;;;;;;;;;;;;;;;
SMURSAMU;2014;460000102;460780208;1;1;0;0;0;;0;0;29;37;37;;1;;;294;;;;;;294;156;30;2;18;110;235;21;36;111;124;;;;;;;;;;;;;;;
SMURSAMU;2014;460000110;460780216;1;1;0;0;0;460780216;0;1;168;203;168;1;3;;;687;518;288;;;;1205;253;96;3;85;69;528;49;72;443;68;57605;57605;56000;47459;40505;7293;168;168;52;168;1;1;;957;0
SMURSAMU;2014;470000423;470000316;1;1;0;0;0;;0;1;336;168;288;3;2;;;1011;778;;;;;1789;213;87;5;45;64;798;56;217;425;373;154765;;;74825;;;168;;102;372;1;0;27;389;1
SMURSAMU;2014;470000431;470000324;1;1;0;0;0;;0;0;168;168;168;;1;;;766;39;;;;;805;175;105;4;24;42;500;;;412;88;;;;;;;;;;;;;;;
SMURSAMU;2014;470000480;470001660;1;1;0;0;0;470001660;0;0;168;168;168;1;1;;;580;23;;;;;603;126;107;;20;;414;20;116;382;32;;;;;;;;;;;;;;;
SMURSAMU;2014;470000522;470000340;1;0;0;0;1;;0;0;168;168;0;;1;;;321;;;;;;321;;40;;24;100;264;13;65;153;111;;;;;;;;;;;;;;;
SMURSAMU;2014;480000017;480780097;1;1;0;0;0;;0;1;168;168;168;3;2;0;0;870;69;;100;14;;1053;318;49;5;120;144;864;66;71;749;115;185911;181341;;54565;19580;0;168;168;;252;0;1;42;89;0
SMURSAMU;2014;490000049;490000031;1;1;0;0;0;490000031;0;1;336;386;386;3;3;0;0;2259;1158;250;9;49;0;3475;633;256;12;48;349;1641;170;411;1452;189;296604;233800;215728;124903;121485;54982;317;184;133;563;1;1;0;1525;0
SMURSAMU;2014;490000635;490000676;1;1;0;0;0;;0;0;168;168;0;;2;;;1028;46;0;0;0;0;1074;482;143;39;3;297;546;60;97;393;153;;;;;;;;;;;;;;;
SMURSAMU;2014;490001765;490528452;1;1;0;0;0;;0;0;168;168;168;1;2;;;783;24;;;;;807;271;112;4;33;114;619;45;209;395;224;;;;;;;;;;;;;;;
SMURSAMU;2014;500000021;500000054;1;1;0;0;0;;0;0;168;168;0;;1;;;461;24;;3;2;;490;186;90;;21;66;278;32;104;244;34;;;;;;;;;;;;;;;
SMURSAMU;2014;500000187;500000013;1;1;0;0;0;500000013;0;0;168;168;168;;2;;;696;307;;;;;1003;261;138;6;17;87;520;54;148;478;42;;;;;;;;;;;;;;;
SMURSAMU;2014;500000260;500000054;1;1;0;0;0;;0;0;336;168;36;1;1;;;401;704;;15;35;;1155;138;75;3;14;46;256;14;70;221;35;;;;;;;;;;;;;;;
SMURSAMU;2014;500000427;500000096;1;1;0;0;0;500000096;0;0;1582;1582;0;;1;;;202;22;;;;;224;73;38;3;8;24;130;8;26;30;100;;;;;;;;;;;;;;;
SMURSAMU;2014;500000450;500000112;1;1;0;0;0;500000112;0;1;336;168;0;6;0;0;0;642;153;;14;8;0;817;273;105;8;2;85;428;;;311;117;87901;76057;69421;50702;49447;9800;168;168;52;316;1;0;54;1895;0
SMURSAMU;2014;500000468;500000013;1;1;0;0;0;500000013;;0;168;168;0;;2;;;502;40;;;;;542;194;88;4;19;71;379;43;103;330;49;;;;;;;;;;;;;;;
SMURSAMU;2014;500000591;500000393;1;1;0;0;0;500000393;0;0;168;168;0;;;;;534;31;;14;0;0;579;225;80;27;18;98;360;;;134;226;;;;;;;;;;;;;;;
SMURSAMU;2014;510000169;510000037;1;1;0;0;0;510000037;0;0;168;277;254;3;0;0;0;662;128;51;0;0;0;790;194;88;6;38;62;446;43;71;410;36;;;;;;;;;;;;;;;
SMURSAMU;2014;510000235;510000060;1;1;0;0;0;510000060;0;0;168;168;168;1;1;0;0;667;22;;0;0;0;689;118;79;0;70;57;462;33;132;366;96;;;;;;;;;;;;;;;
SMURSAMU;2014;510000250;510000078;1;1;0;0;0;;0;0;168;168;77;;1;;;395;25;0;0;0;0;420;76;41;0;35;0;319;37;106;284;35;;;;;;;;;;;;;;;
SMURSAMU;2014;510004302;510000029;1;1;0;1;0;;0;1;504;504;420;3;2;0;0;1715;1111;0;44;303;0;3173;518;215;6;115;182;1266;149;257;1026;240;222627;195115;188190;91468;79120;23865;296;168;128;444;1;0;0;1936;0
SMURSAMU;2014;510023914;510000037;1;0;0;0;1;510000037;0;0;168;169;45;2;0;0;0;124;16;0;0;0;0;140;28;4;15;3;6;95;7;21;87;8;;;;;;;;;;;;;;;
SMURSAMU;2014;510023922;100006279;1;0;0;0;1;100006279;0;0;168;168;110;;1;;;294;29;;;;;323;142;36;1;73;142;275;27;77;85;190;;;;;;;;;;;;;;;
SMURSAMU;2014;520000027;520780032;1;1;0;0;0;520780032;0;1;44;262;195;2;2;0;0;1196;492;0;0;0;0;1688;466;110;11;107;224;1059;;;847;212;79230;79230;79230;32752;32752;0;44;33;0;168;0;0;0;1342;0
SMURSAMU;2014;520000043;520780057;1;1;0;0;0;520780057;0;0;168;168;0;;1;;;664;13;0;0;0;0;677;482;81;4;62;320;182;14;57;124;58;;;;;;;;;;;;;;;
SMURSAMU;2014;520000068;520780073;1;1;0;0;0;;0;0;168;168;168;;1;;;812;;;;;;812;436;86;12;74;264;346;27;82;285;61;;;;;;;;;;;;;;;
SMURSAMU;2014;530000017;530000025;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;552;29;0;1;0;0;582;213;55;3;17;138;372;73;168;162;210;;;;;;;;;;;;;;;
SMURSAMU;2014;530000173;530000074;1;1;0;0;0;;0;0;168;168;168;0;0;0;0;551;33;;;;;584;125;83;6;17;347;501;;;347;154;;;;;;;;;;;;;;;
SMURSAMU;2014;530000264;530000371;1;1;0;0;0;530000371;0;1;168;182;84;1;2;1;;1005;471;;6;28;;1510;517;124;10;70;313;558;56;95;529;29;117036;;;109619;67974;37125;297;169;128;339;1;1;0;337;0
SMURSAMU;2014;540000015;540023264;1;0;0;1;0;;0;0;0;4;0;;;;;0;386;176;;0;;386;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;540000023;540000049;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;494;16;0;;;;510;78;21;4;8;45;432;;;203;229;;;;;;;;;;;;;;;
SMURSAMU;2014;540000155;540000080;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;589;46;0;;;;635;228;57;1;17;153;361;21;95;206;155;;;;;;;;;;;;;;;
SMURSAMU;2014;540000296;540000106;1;1;0;0;0;;0;0;168;168;168;1;;;;418;;;;;;418;71;33;2;16;20;347;17;108;139;208;;;;;;;;;;;;;;;
SMURSAMU;2014;540001070;540000767;1;1;0;0;0;;0;0;336;123;168;2;;;;537;71;;9;5;;622;86;66;16;4;0;449;30;104;297;152;;;;;;;;;;;;;;;
SMURSAMU;2014;540001096;570010181;1;1;0;0;0;;0;0;168;168;168;;1;;;752;199;0;8;6;0;965;134;91;5;36;111;601;;;370;231;;;;;;;;;;;;;;;
SMURSAMU;2014;540001138;540023264;1;1;0;0;0;;0;1;441;565;533;1;3;1;0;2703;2392;1214;166;359;0;5620;269;150;21;89;222;2032;191;381;1523;509;295727;249319;239926;137329;110156;27173;412;336;76;630;1;1;20;4572;0
SMURSAMU;2014;540002698;540023264;1;0;0;1;0;;0;0;168;168;0;0;0;0;0;0;82;;;20;;102;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;550000012;550006795;1;1;0;0;0;;0;1;168;168;168;;2;;;798;65;57;9;33;;905;112;74;6;32;;711;;;639;72;79842;79842;79842;42009;35881;6218;168;0;20;336;1;1;23;1275;0
SMURSAMU;2014;550000434;550003354;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;476;138;0;0;0;0;614;73;33;13;10;17;403;34;80;201;202;;;;;;;;;;;;;;;
SMURSAMU;2014;560000127;560023210;1;1;0;0;0;560023210;0;1;406;168;336;2;2;0;0;1184;694;327;191;61;0;2130;515;149;1;43;321;788;;;708;80;301421;261072;228960;122565;110239;34090;241;168;73;634;1;1;0;1328;0
SMURSAMU;2014;560000135;560005746;1;1;0;0;0;560005746;0;0;168;168;168;2;;;;958;58;;88;11;1;1116;201;145;27;29;;732;50;109;698;34;;;;;;;;;;;;;;;
SMURSAMU;2014;560000143;560014748;1;1;0;0;0;560000143;0;0;252;252;252;1;2;0;0;796;68;;0;0;;864;232;94;29;7;102;564;54;181;446;118;;;;;;;;;;;;;;;
SMURSAMU;2014;560000192;560000044;1;1;0;0;0;;0;0;168;168;168;;1;;;395;16;;6;;;417;81;63;1;14;3;320;24;81;240;80;;;;;;;;;;;;;;;
SMURSAMU;2014;560000200;560023210;1;1;0;0;0;560023210;0;0;168;168;168;0;1;0;0;788;7;0;15;0;0;810;399;86;0;39;274;389;;;381;8;;;;;;;;;;;;;;;
SMURSAMU;2014;570000059;570025254;1;1;0;0;0;570025254;0;0;336;336;336;2;;;;1335;387;;;;;1722;509;183;7;76;249;777;33;132;438;339;;;;;;;;;;;;;;;
SMURSAMU;2014;570000117;570015099;1;1;0;0;0;;0;0;168;168;168;1;1;;;496;200;;;;;696;90;69;;19;;407;22;130;304;103;;;;;;;;;;;;;;;
SMURSAMU;2014;570000349;570005165;1;1;0;0;0;;0;0;336;336;1008;0;0;0;0;1895;1000;;0;0;0;2895;512;230;;53;229;1218;57;241;908;310;;;;;;;;;;;;;;;
SMURSAMU;2014;570000661;570000158;1;0;0;0;1;570000158;0;0;168;170;168;1;1;;;280;53;;;;;333;40;34;1;5;0;240;12;69;199;41;;;;;;;;;;;;;;;
SMURSAMU;2014;570000901;570000158;1;1;0;0;0;570000158;0;0;168;175;175;1;2;;;531;141;;;;;672;95;78;3;14;0;436;15;114;388;48;;;;;;;;;;;;;;;
SMURSAMU;2014;570026682;570005165;1;1;0;0;0;;0;1;336;357;672;0;0;0;0;2329;499;36;0;0;0;2828;373;277;0;96;0;1956;92;353;1599;357;605086;456678;;250858;234716;35275;554;276;110;950;1;1;0;10819;0
SMURSAMU;2014;580972669;580780070;1;1;0;0;0;;0;0;168;168;168;;1;;;488;7;;;;;495;221;54;6;35;127;235;10;49;146;89;;;;;;;;;;;;;;;
SMURSAMU;2014;580972677;580780088;1;1;0;0;0;580780088;0;0;168;420;0;0;1;0;0;615;15;;;0;0;630;145;77;1;67;247;473;22;50;300;173;;;;;;;;;;;;;;;
SMURSAMU;2014;580972685;580780096;1;1;0;0;0;;0;0;168;77;91;;1;;;489;2;;;;;491;;65;3;47;143;357;19;127;294;63;;;;;;;;;;;;;;;
SMURSAMU;2014;580972693;580780039;1;1;0;0;0;;0;1;238;168;308;2;2;;;1670;672;;;;;2342;347;193;21;120;;1352;;;1304;48;87534;75927;72147;53383;50712;11084;168;;48;252;1;0;;1339;0
SMURSAMU;2014;590000337;590781415;1;1;0;0;0;;0;0;336;347;347;0;3;0;0;3057;142;0;0;0;0;3199;1422;238;21;203;960;1688;;;1593;95;;;;;;;;;;;;;;;
SMURSAMU;2014;590000428;590781605;1;1;0;0;0;;0;0;168;168;168;;;;;1773;42;;;;;1815;;154;275;102;426;924;;;610;314;;;;;;;;;;;;;;;
SMURSAMU;2014;590000469;590781662;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;600;22;0;;;;622;78;59;0;16;150;539;46;154;394;145;;;;;;;;;;;;;;;
SMURSAMU;2014;590000535;590781803;1;1;0;0;0;590781803;0;0;336;336;336;1;2;;;2359;322;;;;;2681;734;152;367;57;158;1145;107;379;1089;56;;;;;;;;;;;;;;;
SMURSAMU;2014;590000618;590782215;1;1;0;0;0;590782215;0;0;336;336;336;1;3;0;0;4648;854;0;0;0;0;5502;1011;373;341;0;0;3635;0;0;2730;905;;;;;;;;;;;;;;;
SMURSAMU;2014;590000758;590782637;1;1;0;0;0;;0;0;168;168;168;;2;;;1736;91;;;;;1827;655;139;15;54;440;1147;;;544;603;;;;;;;;;;;;;;;
SMURSAMU;2014;590001004;590783239;1;1;0;0;0;590783239;0;0;168;168;168;;2;;;2294;107;;;;;2401;;200;15;132;597;1667;;;1346;321;;;;;;;;;;;;;;;
SMURSAMU;2014;590796975;590780193;1;1;0;1;0;;0;1;742;742;672;8;8;1;;7014;4767;;68;502;;12351;3325;627;101;419;2178;6309;313;379;3569;2740;992031;937315;;387537;288670;98867;604;604;212;1828;1;1;;4821;0
SMURSAMU;2014;590801106;590782421;1;1;0;0;0;590782421;0;0;168;;;;;;;2529;98;;;;;2627;961;131;19;168;506;2173;163;394;1573;600;;;;;;;;;;;;;;;
SMURSAMU;2014;590804696;590781902;1;1;0;0;0;590781902;0;0;168;168;168;;2;;;2163;29;;;;;2192;984;125;14;124;984;1179;68;253;589;590;;;;;;;;;;;;;;;
SMURSAMU;2014;600000053;600101984;1;1;0;0;0;;0;0;202;155;136;1;1;;;1289;284;;;;;1573;621;128;19;86;366;668;44;160;514;154;;;;;;;;;;;;;;;
SMURSAMU;2014;600000186;600100648;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;961;145;0;5;2;;1113;548;92;5;71;380;963;127;131;273;690;;;;;;;;;;;;;;;
SMURSAMU;2014;600000194;600100713;1;1;0;0;0;;0;1;336;432;420;3;2;;;2342;516;174;6;1;;2865;618;224;28;70;296;2038;116;325;1599;439;394714;385635;364636;161862;128644;22934;354;266;88;639;1;0;14;15301;0
SMURSAMU;2014;600000285;600100721;1;1;0;0;0;;0;0;35;35;35;1;1;;;692;135;;;;;827;217;62;1;;;337;;;337;;;;;;;;;;;;;;;;
SMURSAMU;2014;600000467;600101984;1;1;0;0;0;;0;0;202;166;310;2;1;;;1421;275;;;;;1696;668;119;13;113;389;753;64;143;699;54;;;;;;;;;;;;;;;
SMURSAMU;2014;600113476;600100721;1;1;0;0;0;600100721;0;0;357;421;421;3;2;;;1597;316;56;;;;1913;832;156;12;89;575;723;106;295;661;62;;;;;;;;;;;;;;;
SMURSAMU;2014;610000044;610780074;1;1;0;0;0;;0;0;168;84;120;1;1;;;641;;;;;;641;326;101;5;127;180;333;29;89;269;64;;;;;;;;;;;;;;;
SMURSAMU;2014;610000051;610780082;1;1;0;0;0;;0;1;336;168;336;2;3;1;0;1247;705;0;78;428;0;2458;284;115;15;87;114;1048;106;250;906;142;279347;279347;;74058;73268;21784;168;;108;437;1;0;0;1193;0
SMURSAMU;2014;610000069;610780090;1;1;0;0;0;;0;0;168;168;168;3;2;;;693;130;;;;;823;113;75;15;16;7;580;;;564;16;;;;;;;;;;;;;;;
SMURSAMU;2014;610000077;610780124;1;1;0;0;0;;0;0;168;168;168;;1;;;455;5;;;;;460;111;18;1;11;81;260;8;77;219;41;;;;;;;;;;;;;;;
SMURSAMU;2014;610000119;610780165;1;1;0;0;0;;0;0;168;168;168;2;2;;;676;57;50;;;;733;135;88;47;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;610780108;610790594;1;0;0;0;1;610790594;0;0;168;168;168;0;1;0;0;297;3;0;0;0;0;300;71;26;2;11;;274;18;79;28;246;;;;;;;;;;;;;;;
SMURSAMU;2014;610780116;610790594;1;1;0;0;0;;0;0;133;168;168;;1;;;384;35;0;0;0;0;419;90;42;4;8;36;334;18;99;190;144;;;;;;;;;;;;;;;
SMURSAMU;2014;620000034;620100057;1;1;0;0;0;620000034;0;1;504;504;504;4;4;0;0;3302;3844;715;113;546;0;7805;2265;307;68;859;1031;2705;222;488;1697;1008;704887;648703;;269832;182882;0;454;240;214;1109;0;1;0;5642;0
