BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2014;130000409;130041916;N2500;41;19;42.95;;
URGENCES_P;2014;130000409;130041916;N2620;;2;2.05;;0
URGENCES_P;2014;130000409;130041916;N3120;;1;0.5;;
URGENCES_P;2014;130000409;130041916;N9999;82;79;111.26;;
URGENCES_P;2014;130000409;130041916;NINF;29;28;43.62;1;1
URGENCES_P;2014;130000565;130781446;M1140;3;3;1.06;;1
URGENCES_P;2014;130000565;130781446;M9999;11;3;9.26;1;1
URGENCES_P;2014;130000565;130781446;N1220;2;2;2.6;2;1
URGENCES_P;2014;130000565;130781446;N2120;;1;0.9;2;1
URGENCES_P;2014;130000565;130781446;N2500;11;4;13.46;;
URGENCES_P;2014;130000565;130781446;N9999;32;20;43.74;;
URGENCES_P;2014;130000565;130781446;NINF;14;10;20.4;1;1
URGENCES_P;2014;130001225;130782634;M9999;7;4;7.01;3;1
URGENCES_P;2014;130001225;130782634;N1220;2;;2.39;;
URGENCES_P;2014;130001225;130782634;N2120;1;;0.5;;
URGENCES_P;2014;130001225;130782634;N2500;10;4;12.17;;
URGENCES_P;2014;130001225;130782634;N9999;34;11;41.15;;
URGENCES_P;2014;130001225;130782634;NINF;20;6;21.09;3;1
URGENCES_P;2014;130002215;130785512;M9999;6;;6;;
URGENCES_P;2014;130002215;130785512;N1220;4;1;4.5;;
URGENCES_P;2014;130002215;130785512;N2120;1;;1;;
URGENCES_P;2014;130002215;130785512;N2500;4;;4;;
URGENCES_P;2014;130002215;130785512;N2620;8;;8;;
URGENCES_P;2014;130002215;130785512;N9999;31;3;33.7;;
URGENCES_P;2014;130002215;130785512;NINF;14;4;17.2;;
URGENCES_P;2014;130002827;130789274;M9999;9;4;10.72;;1
URGENCES_P;2014;130002827;130789274;N1220;1;1;1.09;;1
URGENCES_P;2014;130002827;130789274;N2120;1;;1;;1
URGENCES_P;2014;130002827;130789274;N2500;15;3;15.47;;
URGENCES_P;2014;130002827;130789274;N2620;;;;;1
URGENCES_P;2014;130002827;130789274;N9999;49;11;53.89;;
URGENCES_P;2014;130002827;130789274;NINF;24;7;28.33;;1
URGENCES_P;2014;130002835;130789316;M9999;10;1;10.83;1;1
URGENCES_P;2014;130002835;130789316;N1220;6;11;10.07;1;1
URGENCES_P;2014;130002835;130789316;N2120;0;1;0.75;2;1
URGENCES_P;2014;130002835;130789316;N2500;11;7;13.15;;
URGENCES_P;2014;130002835;130789316;N3120;1;0;1;;
URGENCES_P;2014;130002835;130789316;N9999;36;31;50.03;;
URGENCES_P;2014;130002835;130789316;NINF;18;12;25.06;1;1
URGENCES_P;2014;130043664;130002157;N1220;2;;2;;
URGENCES_P;2014;130043664;130002157;N2120;2;;2;;
URGENCES_P;2014;130043664;130002157;N2500;11;2;9.34;;
URGENCES_P;2014;130043664;130002157;NINF;24;3;19.7;;
URGENCES_P;2014;130780521;130786049;M1140;4;1;3.41;;
URGENCES_P;2014;130780521;130786049;M9999;21;6;21.45;;
URGENCES_P;2014;130780521;130786049;N1220;2;2;3.2;;0
URGENCES_P;2014;130780521;130786049;N2120;2;;2.88;;0
URGENCES_P;2014;130780521;130786049;N2500;56;3;59.85;;
URGENCES_P;2014;130780521;130786049;N9999;168;22;180.15;;
URGENCES_P;2014;130780521;130786049;NINF;76;14;84.15;;0
URGENCES_P;2014;130781479;130000599;M9999;3;3;3;;0
URGENCES_P;2014;130781479;130000599;N1220;2;;2;;0
URGENCES_P;2014;130781479;130000599;N2120;;1;0.3;;0
URGENCES_P;2014;130781479;130000599;N2620;1;;1;;0
URGENCES_P;2014;130781479;130000599;N9999;9;1;9.3;;
URGENCES_P;2014;130781479;130000599;NINF;6;;6;;
URGENCES_P;2014;130782071;130002454;M9999;2;3;4.74;;
URGENCES_P;2014;130782071;130002454;N1220;2;;2;;
URGENCES_P;2014;130782071;130002454;N2120;1;;1;;
URGENCES_P;2014;130782071;130002454;N2500;4;;4;;
URGENCES_P;2014;130782071;130002454;N9999;15;2;16;;
URGENCES_P;2014;130782071;130002454;NINF;6;2;7;;
URGENCES_P;2014;130782147;130000979;M9999;8;;8;;
URGENCES_P;2014;130782147;130000979;N1220;2;4;5;;
URGENCES_P;2014;130782147;130000979;N2120;1;;0.5;;
