"";"ID_POINT_D_ACCUEIL";"FINESS";"STR_A1"
"383";"610780116G1";"610780116";"CHIC DES ANDAINES - LA FERTE MACE"
"384";"620000034A1";"620000034";"CH ARRAS"
"385";"620000034P1";"620000034";"CH ARRAS"
"386";"620000224G1";"620000224";"CH BETHUNE"
"387";"620000257A1";"620000257";"CH LENS"
"388";"620000257P1";"620000257";"CH LENS"
"389";"620000323G1";"620000323";"CH CALAIS"
"390";"620000349G1";"620000349";"CH REGION DE ST OMER"
"391";"620000653A1";"620000653";"CH BOULOGNE-SUR-MER"
"392";"620000653P1";"620000653";"CH BOULOGNE-SUR-MER"
"393";"620003202G1";"620003202";"CH ARRONDISSEMENT DE MONTREUIL"
"394";"620003350G1";"620003350";"HOPITAL DE RIAUMONT"
"395";"620003376G1";"620003376";"POLYCLINIQUE MED CHIR D HENIN-BEAUMONT"
"396";"620025346G1";"620025346";"POLYCLINIQUE DE LA CLARENCE"
"397";"620100735G1";"620100735";"CLINIQUE ANNE ARTOIS"
"398";"630000404G1";"630000404";"HOPITAL GABRIEL MONTPIED - CHU63"
"399";"630000412G1";"630000412";"CH D AMBERT"
"400";"630000420G1";"630000420";"CH PAUL ARDIER ISSOIRE"
"401";"630000438G1";"630000438";"CH DE RIOM"
"402";"630000446G1";"630000446";"CH DE THIERS"
"403";"630780211G1";"630780211";"POLE SANTE REPUBLIQUE"
"404";"630781268P1";"630781268";"HOPITAL ESTAING - CHU63"
"405";"640000162A1";"640000162";"CH DE LA COTE BASQUE - BAYONNE"
"406";"640000162P1";"640000162";"CH DE LA COTE BASQUE - BAYONNE"
"407";"640000402G1";"640000402";"CENTRE HOSPITALIER D ORTHEZ"
"408";"640000410G1";"640000410";"CENTRE HOSPITALIER OLORON"
"409";"640000600A1";"640000600";"CENTRE HOSPITALIER DE PAU"
"410";"640000600P1";"640000600";"CENTRE HOSPITALIER DE PAU"
"411";"640017646G1";"640017646";"CENTRE HOSPITALIER DE SAINT-PALAIS"
"412";"640018206G1";"640018206";"CLINIQUE BELHARRA"
"413";"640780490G1";"640780490";"CAPIO CLINIQUE AGUILERA"
"414";"640780748G1";"640780748";"POLYCLINIQUE COTE BASQUE SUD"
"415";"640780946G1";"640780946";"POLYCLINIQUE PAU PYRENEES SITE NAVARRE"
"416";"650000045G1";"650000045";"CH LOURDES"
"417";"650000052G1";"650000052";"CH BAGNERES DE BIGORRE"
"418";"650000417G1";"650000417";"CH BIGORRE SITE GESPE TARBES"
"419";"650784218G1";"650784218";"CMC HOPITAUX DE LANNEMEZAN"
"420";"660000084A1";"660000084";"CH PERPIGNAN"
"421";"660000084P1";"660000084";"CH PERPIGNAN"
"422";"660780628G1";"660780628";"CL DU VALLESPIR"
"423";"660780776G1";"660780776";"CL ST MICHEL"
"424";"660780784G1";"660780784";"CL ST PIERRE"
"425";"660790387G1";"660790387";"POLYCL MEDIPOLE ST ROCH"
"426";"670000025G1";"670000025";"HOPITAL CIVIL / NOUVEL HOPITAL CIVIL"
"427";"670000157A1";"670000157";"CENTRE HOSPITALIER DE HAGUENAU"
"428";"670000157P1";"670000157";"CENTRE HOSPITALIER DE HAGUENAU"
"429";"670000165A1";"670000165";"CH SAINTE-CATHERINE DE SAVERNE"
"430";"670000165P1";"670000165";"CH SAINTE-CATHERINE DE SAVERNE"
"431";"670000272G1";"670000272";"CH INTERCOMMUNAL DE LA LAUTER"
"432";"670000397G1";"670000397";"CENTRE HOSPITALIER DE SELESTAT"
"433";"670018068G1";"670018068";"CLINIQUE RHENA GCS ES"
"434";"670780212G1";"670780212";"CLINIQUE SAINTE-ANNE"
"435";"670783273A1";"670783273";"HOPITAL DE HAUTEPIERRE"
"436";"670783273P1";"670783273";"HOPITAL DE HAUTEPIERRE"
"437";"680000320G1";"680000320";"CLINIQUE DIACONAT FONDERIE"
"438";"680000544G1";"680000544";"CENTRE HOSPITALIER D ALTKIRCH"
"439";"680000684A1";"680000684";"HOPITAL LOUIS PASTEUR"
"440";"680000684P1";"680000684";"HOPITAL LOUIS PASTEUR"
"441";"680000700G1";"680000700";"CENTRE HOSPITALIER DE GUEBWILLER"
"442";"680004546A1";"680004546";"HOPITAL EMILE MULLER"
"443";"680004546P1";"680004546";"HOPITAL EMILE MULLER"
"444";"680020096G1";"680020096";"POLE PUBLIC SAINT-LOUIS - GHRMSA"
"445";"690000013G1";"690000013";"CH MONTGELAS"
"446";"690000575A1";"690000575";"CH NORD OUEST - VILLEFRANCHE"
"447";"690000575P1";"690000575";"CH NORD OUEST - VILLEFRANCHE"
"448";"690000625G1";"690000625";"CH DE TARARE"
"449";"690007539P1";"690007539";"HOPITAL FEMME MERE ENFANT - HCL"
"450";"690023411G1";"690023411";"HOPITAL PRIVE JEAN MERMOZ"
"451";"690041132G1";"690041132";"MEDIPOLE HOPITAL MUTUALISTE"
"452";"690780390G1";"690780390";"POLYCLINIQUE LYON NORD"
"453";"690780416G1";"690780416";"GPE HOSP MUTUALISTE LES PORTES DU SUD"
"454";"690780648G1";"690780648";"CLINIQUE DE LA SAUVEGARDE"
"455";"690780655G1";"690780655";"HOPITAL PRIVE DE L EST LYONNAIS (HPEL)"
"456";"690783154G1";"690783154";"HOPITAL EDOUARD HERRIOT - HCL"
"457";"690783154G2";"690783154";"HOPITAL EDOUARD HERRIOT - HCL"
"458";"690784137G1";"690784137";"HOPITAL LYON SUD - HCL"
"459";"690784152G1";"690784152";"HOPITAL CROIX-ROUSSE - HCL"
"460";"690805361G1";"690805361";"CH ST JOSEPH ST LUC"
"461";"690807367G1";"690807367";"POLYCLINIQUE DU BEAUJOLAIS"
"462";"700000011G1";"700000011";"GH HAUTE SAONE SITE GRAY"
"463";"700000029G1";"700000029";"GH HAUTE SAONE SITE VESOUL"
"464";"710010067G1";"710010067";"CH DU PAYS CHAROLAIS BRIONNAIS"
"465";"710010786G1";"710010786";"CH AUTUN SITE PARPAS"
"466";"710978263A1";"710978263";"CH WILLIAM MOREY CHALON SUR SAONE"
"467";"710978263P1";"710978263";"CH WILLIAM MOREY CHALON SUR SAONE"
"468";"710978289A1";"710978289";"CH LES CHANAUX MACON"
"469";"710978289P1";"710978289";"CH LES CHANAUX MACON"
"470";"710978313G1";"710978313";"CENTRE HOSPITALIER JEAN BOUVERI"
"471";"710978347G1";"710978347";"HOTEL DIEU DU CREUSOT"
"472";"720000033A1";"720000033";"CENTRE HOSPITALIER DU MANS"
"473";"720000033P1";"720000033";"CENTRE HOSPITALIER DU MANS"
"474";"720000124G1";"720000124";"CENTRE HOSPITALIER CHATEAU DU LOIR"
"475";"720000470G1";"720000470";"CENTRE HOSPITALIER MAMERS"
"476";"720000520G1";"720000520";"CENTRE HOSPITALIER ST CALAIS"
"477";"720001437G1";"720001437";"CH PAUL CHAPRON"
"478";"720016179G1";"720016179";"POLE SANTE SARTHE ET LOIR"
"479";"720017748G1";"720017748";"CENTRE MEDICO CHIRURGICAL DU MANS"
"480";"730000031A1";"730000031";"CHMS CHAMBERY NH"
"481";"730000031P1";"730000031";"CHMS CHAMBERY NH"
"482";"730000080G1";"730000080";"CH DE SAINT JEAN DE MAURIENNE"
"483";"730000098G1";"730000098";"CHMS AIX GRAND PORT"
"484";"730000247G1";"730000247";"CH DE BOURG ST MAURICE"
"485";"730000262G1";"730000262";"CH D ALBERTVILLE"
"486";"730004298G1";"730004298";"HOPITAL PRIVE MEDIPOLE DE SAVOIE"
"487";"740000237A1";"740000237";"CH ANNECY-GENEVOIS SITE ANNECY"
"488";"740000237P1";"740000237";"CH ANNECY-GENEVOIS SITE ANNECY"
"489";"740000302G1";"740000302";"CH ANNECY-GENEVOIS SITE ST JULIEN EN G"
"490";"740000328G1";"740000328";"HOPITAUX DU LEMAN"
"491";"740014345G1";"740014345";"HOPITAL PRIVE PAYS DE SAVOIE"
"492";"740780424G1";"740780424";"CLINIQUE GENERALE D'ANNECY"
"493";"740781141G1";"740781141";"CH ALPES LEMAN"
"494";"740781224G1";"740781224";"HOPITAUX DU MONT BLANC SITE SALLANCHES"
"495";"750000523G1";"750000523";"GH PARIS SITE SAINT JOSEPH"
"496";"750100018G1";"750100018";"HU PARIS CENTRE SITE HOTEL DIEU APHP"
"497";"750100042G1";"750100042";"HU SAINT LOUIS SITE LARIBOISIERE APHP"
"498";"750100075G1";"750100075";"HU SAINT LOUIS SITE SAINT LOUIS APHP"
"499";"750100091G1";"750100091";"HU EST PARISIEN SITE ST ANTOINE APHP"
"500";"750100109P1";"750100109";"HU EST PARISIEN SITE TROUSSEAU APHP"
"501";"750100125G1";"750100125";"HU PITIE SALPETRIERE APHP"
"502";"750100166G1";"750100166";"HU PARIS CENTRE SITE COCHIN APHP"
"503";"750100208P1";"750100208";"HU NECKER ENFANTS MALADES APHP"
"504";"750100232G1";"750100232";"HU PARIS NORD SITE BICHAT APHP"
"505";"750100273G1";"750100273";"HU EST PARISIEN SITE TENON APHP"
"506";"750150237G1";"750150237";"HOPITAL DE LA CROIX SAINT SIMON"
"507";"750803447G1";"750803447";"HU PARIS OUEST SITE G POMPIDOU APHP"
"508";"750803454P1";"750803454";"HU ROBERT DEBRE APHP"
"509";"760000018G1";"760000018";"CH DIEPPE"
"510";"760000042G1";"760000042";"CH EU"
"511";"760000141G1";"760000141";"HOPITAL SAINT JULIEN CHU ROUEN"
"512";"760000158A1";"760000158";"HOPITAL CHARLES NICOLLE CHU ROUEN"
"513";"760000158P1";"760000158";"HOPITAL CHARLES NICOLLE CHU ROUEN"
"514";"760000364G1";"760000364";"CHI DU PAYS DES HAUTES FALAISES FECAMP"
"515";"760000372G1";"760000372";"CH LILLEBONNE CHI CAUX VALLEE DE SEINE"
"516";"760000463A1";"760000463";"CH LES FEUGRAIS CHI ELBEUF"
"517";"760000463P1";"760000463";"CH LES FEUGRAIS CHI ELBEUF"
"518";"760021329G1";"760021329";"HOPITAL PRIVE DE L'ESTUAIRE"
"519";"760780510G1";"760780510";"CLINIQUE DU CEDRE"
"520";"760780791G1";"760780791";"CLINIQUE LES ORMEAUX-VAUBAN LE HAVRE"
"521";"760805770A1";"760805770";"HOPITAL JACQUES MONOD CH LE HAVRE"
"522";"760805770P1";"760805770";"HOPITAL JACQUES MONOD CH LE HAVRE"
"523";"760921809G1";"760921809";"CLINIQUE DE L'EUROPE ROUEN"
"524";"770000131A1";"770000131";"CH DE COULOMMIERS"
"525";"770000131P1";"770000131";"CH DE COULOMMIERS"
"526";"770000149A1";"770000149";"CH SUD SEINE ET MARNE FONTAINEBLEAU"
"527";"770000149P1";"770000149";"CH SUD SEINE ET MARNE FONTAINEBLEAU"
"528";"770000156G1";"770000156";"CH DE MELUN SITE SANTEPOLE"
"529";"770000164G1";"770000164";"CH SUD SEINE ET MARNE SITE MONTEREAU"
"530";"770000172A1";"770000172";"CH DE PROVINS LEON BINET"
"531";"770000172P1";"770000172";"CH DE PROVINS LEON BINET"
"532";"770000214G1";"770000214";"CH SUD SEINE ET MARNE SITE DE NEMOURS"
"533";"770000446A1";"770000446";"CH DE MEAUX SITE SAINT FARON"
"534";"770000446P1";"770000446";"CH DE MEAUX SITE SAINT FARON"
"535";"770019032A1";"770019032";"GHEF SITE MARNE LA VALLEE"
"536";"770019032P1";"770019032";"GHEF SITE MARNE LA VALLEE"
"537";"770300010G1";"770300010";"HOPITAL PRIVE DE MARNE CHANTEREINE"
"538";"770300135G1";"770300135";"CLINIQUE MEDICO CHIRURG LES FONTAINES"
"539";"770790707G1";"770790707";"CLINIQUE DE TOURNAN"
"540";"780000287A1";"780000287";"CH FRANCOIS QUESNAY MANTES"
"541";"780000287P1";"780000287";"CH FRANCOIS QUESNAY MANTES"
"542";"780000295G1";"780000295";"CHI DE MEULAN LES MUREAUX"
"543";"780000311A1";"780000311";"CHI POISSY ST GERMAIN SITE DE POISSY"
"544";"780000311P1";"780000311";"CHI POISSY ST GERMAIN SITE DE POISSY"
"545";"780000329A1";"780000329";"CH DE RAMBOUILLET"
"546";"780000329P1";"780000329";"CH DE RAMBOUILLET"
"547";"780022737G1";"780022737";"POLYCLINIQUE DE MAISONS LAFFITTE"
"548";"780300323G1";"780300323";"HOPITAL PRIVE FRANCISCAINES"
"549";"780300406G1";"780300406";"HOPITAL PRIVE DE PARLY II"
"550";"780300414G1";"780300414";"CH PRIVE DE L EUROPE"
"551";"780300422G1";"780300422";"HOPITAL PRIVE DE L OUEST PARISIEN"
"552";"780300455G1";"780300455";"CH PRIVE DU MONTGARDE"
"553";"780800256A1";"780800256";"CH DE VERSAILLES SITE ANDRE MIGNOT"
"554";"780800256P1";"780800256";"CH DE VERSAILLES SITE ANDRE MIGNOT"
"555";"790000087G1";"790000087";"CENTRE HOSPITALIER DE NIORT"
"556";"790009948G1";"790009948";"POLYCLINIQUE D'INKERMANN"
"557";"790019848G1";"790019848";"SITE HOSPITALIER FAYE L'ABBESSE"
"558";"800000143G1";"800000143";"CH ABBEVILLE"
"559";"800000226G1";"800000226";"CH DOULLENS"
"560";"800000390G1";"800000390";"CH CHIMR MONTDIDIER"
"561";"800000432G1";"800000432";"CH PERONNE"
"562";"800006124A1";"800006124";"CHU AMIENS SUD"
"563";"800006124P1";"800006124";"CHU AMIENS SUD"
"564";"800015729G1";"800015729";"SAS DE CARDIOLOGIES ET URGENCES"
"565";"810000224G1";"810000224";"CL CLAUDE BERNARD"
"566";"810000505G1";"810000505";"CH ALBI"
"567";"810000521G1";"810000521";"CHIC CASTRES MAZAMET SITE AUTAN"
"568";"810000562G1";"810000562";"CH LAVAUR SITE GUIRAUD"
"569";"810101444G1";"810101444";"POLYCL DU SIDOBRE"
"570";"820000032G1";"820000032";"CH MONTAUBAN"
"571";"820000057G1";"820000057";"CL PONT DE CHAUME"
"572";"820000883G1";"820000883";"CHI CASTELSARRASIN MOISSAC SITE MOISSA"
"573";"830000279G1";"830000279";"CH JEAN MARCEL DE BRIGNOLES"
"574";"830000287G1";"830000287";"CH LA DRACENIE DE DRAGUIGNAN"
"575";"830000295A1";"830000295";"CH DE HYERES MARIE JOSEE TREFFOT"
"576";"830000295P1";"830000295";"CH DE HYERES MARIE JOSEE TREFFOT"
"577";"830000311G1";"830000311";"CHI DE FREJUS SAINT RAPHAEL"
"578";"830000337G1";"830000337";"CENTRE HOSPITALIER DE SAINT TROPEZ"
"579";"830000345A1";"830000345";"CHITS CH SAINTE MUSSE"
"580";"830000345P1";"830000345";"CHITS CH SAINTE MUSSE"
"581";"830100574G1";"830100574";"HIA SAINTE ANNE"
"582";"830100608G1";"830100608";"CHITS CH GEORGE SAND"
"583";"830200523G1";"830200523";"POLYCLINIQUE MUTUALISTE MALARTIC"
"584";"840000392G1";"840000392";"CENTRE HOSPITALIER DE CARPENTRAS"
"585";"840000418G1";"840000418";"CHI DE CAVAILLON LAURIS"
"586";"840000483G1";"840000483";"CH LOUIS GIORGI D'ORANGE"
"587";"840000491G1";"840000491";"CHI SITE DE PERTUIS"
"588";"840000525G1";"840000525";"CH VAISON LA ROMAINE"
"589";"840000533G1";"840000533";"CH JULES NIEL DE VALREAS"
"590";"840001861A1";"840001861";"CH D'AVIGNON HENRI DUFFAUT"
"591";"840001861P1";"840001861";"CH D'AVIGNON HENRI DUFFAUT"
"592";"850000118G1";"850000118";"CLINIQUE SAINT CHARLES"
"593";"850000142A1";"850000142";"CHD SITE LA ROCHE SUR YON"
"594";"850000142P1";"850000142";"CHD SITE LA ROCHE SUR YON"
"595";"850000175G1";"850000175";"CH LVO - SITE DE CHALLANS"
"596";"850000209G1";"850000209";"CHD-SITE DE LUCON"
"597";"850000225G1";"850000225";"CHD - SITE DE MONTAIGU"
"598";"850000241G1";"850000241";"CENTRE HOSPITALIER COTE DE LUMIÈRE"
"599";"850009630G1";"850009630";"CH FONTENAY SITE POLE SANTE SUD VENDEE"
"600";"860000025G1";"860000025";"CHU DE POITIERS - SITE CHATELLERAULT"
"601";"860000058G1";"860000058";"CHU DE POITIERS - SITE DE MONTMORILLON"
"602";"860000223A1";"860000223";"CHU LA MILETRIE"
"603";"860000223P1";"860000223";"CHU LA MILETRIE"
"604";"860010321G1";"860010321";"POLYCLINIQUE DE POITIERS"
"605";"870000064G1";"870000064";"C H U DUPUYTREN LIMOGES"
"606";"870000098G1";"870000098";"CENTRE HOSPITALIER SAINT JUNIEN"
"607";"870000270G1";"870000270";"CTRE HOSPITALIER J BOUTARD ST YRIEIX"
"608";"870000288G1";"870000288";"CLINIQUE FRANCOIS CHENIEUX"
"609";"870014859P1";"870014859";"HOPITAL DE LA MERE ET DE L'ENFANT"
"610";"880000021G1";"880000021";"CHI E.DURKHEIM - PLATEAU DE LA JUSTICE"
"611";"880000047G1";"880000047";"CHI HMV - SITE SAINT DIE DES VOSGES"
"612";"880000054G1";"880000054";"CHI L'OUEST VOSGIEN SITE NEUFCHATEAU"
"613";"880000062G1";"880000062";"CENTRE HOSPITALIER DE REMIREMONT"
"614";"880000070G1";"880000070";"CHI DE L'OUEST VOSGIEN SITE DE VITTEL"
"615";"890975527A1";"890975527";"CH AUXERRE"
"616";"890975527P1";"890975527";"CH AUXERRE"
"617";"890975535G1";"890975535";"CH AVALLON"
"618";"890975543G1";"890975543";"CH JOIGNY"
"619";"890975550A1";"890975550";"CH SENS"
"620";"890975550P1";"890975550";"CH SENS"
"621";"890975568G1";"890975568";"CENTRE HOSPITALIER DU TONNERROIS"
"622";"900003039A1";"900003039";"HNFC SITE TREVENANS"
"623";"900003039P1";"900003039";"HNFC SITE TREVENANS"
"624";"910000272A1";"910000272";"CH D ARPAJON"
"625";"910000272P1";"910000272";"CH D ARPAJON"
"626";"910000280G1";"910000280";"CH DOURDAN ETAMPES SITE DOURDAN"
"627";"910000298A1";"910000298";"CH DES DEUX VALLEES SITE LONGJUMEAU"
"628";"910000298P1";"910000298";"CH DES DEUX VALLEES SITE LONGJUMEAU"
"629";"910000306G1";"910000306";"CH D ORSAY"
"630";"910001973G1";"910001973";"CH DOURDAN ETAMPES SITE ETAMPES"
"631";"910018423G1";"910018423";"CH DES DEUX VALLEES SITE JUVISY"
"632";"910020254A1";"910020254";"CH SUD FRANCILIEN SITE JEAN JAURES"
"633";"910020254P1";"910020254";"CH SUD FRANCILIEN SITE JEAN JAURES"
"634";"910300144G1";"910300144";"CMCO D EVRY"
"635";"910300219G1";"910300219";"HOPITAL PRIVE JACQUES CARTIER"
"636";"910300300G1";"910300300";"HOPITAL PRIVE DU VAL D YERRES"
"637";"910803543G1";"910803543";"HOPITAL PRIVE CLAUDE GALIEN"
"638";"920000577G1";"920000577";"CH DE NANTERRE"
"639";"920000585A1";"920000585";"CH RIVES DE SEINE SITE NEUILLY S/SEINE"
"640";"920000585P1";"920000585";"CH RIVES DE SEINE SITE NEUILLY S/SEINE"
"641";"920000619G1";"920000619";"CH DES QUATRE VILLES SITE ST CLOUD"
"642";"920000643G1";"920000643";"INSTITUT FRANCO BRITANNIQUE KLEBER"
"643";"920000650G1";"920000650";"HOPITAL FOCH"
"644";"920100013A1";"920100013";"HU OUEST SITE AMBROISE PARE APHP"
"645";"920100013P1";"920100013";"HU OUEST SITE AMBROISE PARE APHP"
"646";"920100021A1";"920100021";"HU PARIS SUD SITE ANTOINE BECLERE APHP"
"647";"920100021P1";"920100021";"HU PARIS SUD SITE ANTOINE BECLERE APHP"
"648";"920100039G1";"920100039";"HU PARIS NORD SITE BEAUJON APHP"
"649";"920100047A1";"920100047";"HU PARIS NORD SITE LOUIS MOURIER APHP"
"650";"920100047P1";"920100047";"HU PARIS NORD SITE LOUIS MOURIER APHP"
"651";"920120011G1";"920120011";"HIA PERCY"
"652";"920300043G1";"920300043";"HOPITAL PRIVE D ANTONY"
"653";"920300597G1";"920300597";"CLINIQUE DE MEUDON LA FORET"
"654";"930000286G1";"930000286";"GHI LE RAINCY MONTFERMEIL"
"655";"930000302A1";"930000302";"CHI ANDRE GREGOIRE"
"656";"930000302P1";"930000302";"CHI ANDRE GREGOIRE"
"657";"930000328A1";"930000328";"CH GENERAL DELAFONTAINE"
"658";"930000328P1";"930000328";"CH GENERAL DELAFONTAINE"
"659";"930000336A1";"930000336";"CHI ROBERT BALLANGER"
"660";"930000336P1";"930000336";"CHI ROBERT BALLANGER"
"661";"930100037G1";"930100037";"HU PARIS SITE AVICENNE APHP"
"662";"930100045A1";"930100045";"HU PARIS SITE JEAN VERDIER APHP"
"663";"930100045P1";"930100045";"HU PARIS SITE JEAN VERDIER APHP"
"664";"930300025G1";"930300025";"HOPITAL EUROPEEN LA ROSERAIE"
"665";"930300066G1";"930300066";"HOPITAL PRIVE DE L EST PARISIEN"
"666";"930300082G1";"930300082";"CENTRE MEDICO CHIRURGICAL FLOREAL"
"667";"930300116G1";"930300116";"HOPITAL PRIVE DE LA SEINE SAINT DENIS"
"668";"930300553G1";"930300553";"CLINIQUE DE L ESTREE"
"669";"930300595G1";"930300595";"HOPITAL PRIVE DU VERT GALANT"
"670";"940000573A1";"940000573";"CHI DE CRETEIL"
"671";"940000573P1";"940000573";"CHI DE CRETEIL"
"672";"940000599A1";"940000599";"CHI LUCIE ET RAYMOND AUBRAC"
"673";"940000599P1";"940000599";"CHI LUCIE ET RAYMOND AUBRAC"
"674";"940000649A1";"940000649";"HOPITAL SAINT CAMILLE"
"675";"940000649P1";"940000649";"HOPITAL SAINT CAMILLE"
"676";"940100027G1";"940100027";"HU HENRI MONDOR SITE HENRI MONDOR APHP"
"677";"940100043A1";"940100043";"HU PARIS SUD SITE KREMLIN BICETRE APHP"
"678";"940100043P1";"940100043";"HU PARIS SUD SITE KREMLIN BICETRE APHP"
"679";"940120017G1";"940120017";"HIA BEGIN"
"680";"940300031G1";"940300031";"HOPITAL PRIVE PAUL D EGINE"
"681";"940300270G1";"940300270";"HOPITAL PRIVE ARMAND BRILLARD"
"682";"940300445G1";"940300445";"CLINIQUE DU SUD"
"683";"940300569G1";"940300569";"HOPITAL PRIVE DE VITRY SITE PASTEUR"
"684";"950000307G1";"950000307";"CH VICTOR DUPOUY"
"685";"950000315G1";"950000315";"GH CARNELLE PORTES OISE SITE BEAUMONT"
"686";"950000323A1";"950000323";"GHEM SIMONE VEIL SITE EAUBONNE"
"687";"950000323P1";"950000323";"GHEM SIMONE VEIL SITE EAUBONNE"
"688";"950000331A1";"950000331";"CH GENERAL DE GONESSE"
"689";"950000331P1";"950000331";"CH GENERAL DE GONESSE"
"690";"950000349G1";"950000349";"GHI DU VEXIN SITE MAGNY"
"691";"950000364A1";"950000364";"CH RENE DUBOS"
"692";"950000364P1";"950000364";"CH RENE DUBOS"
"693";"950300244G1";"950300244";"CHP SAINTE MARIE OSNY"
"694";"950300277G1";"950300277";"HOPITAL PRIVE NORD PARISIEN"
"695";"950807982G1";"950807982";"CLINIQUE CLAUDE BERNARD"
"696";"970100392G1";"970100392";"CENTRE HOSPITALIER DE LA BASSE -TERRE"
"697";"970100400G1";"970100400";"C.H. LOUIS CONSTANT FLEMING"
"698";"970100426G1";"970100426";"C.H. STE MARIE"
"699";"970100442A1";"970100442";"C.H.U. DE POINTE-A-PITRE/ABYMES"
"700";"970100442P1";"970100442";"C.H.U. DE POINTE-A-PITRE/ABYMES"
"701";"970107249G1";"970107249";"CLINIQUE -LES EAUX CLAIRES-"
"702";"970112470G1";"970112470";"CH L CONSTANT FLEMING-ANTENNE ST BARTH"
"703";"970211215G1";"970211215";"CHU DE MARTINIQUE SITE P.ZOBDA QUITMAN"
"704";"970211223G1";"970211223";"CHU DE MARTINIQUE SITE DE TRINITE"
"705";"970211256P1";"970211256";"CHU DE MARTINIQUE SITE MERE ENFANT"
"706";"970300026G1";"970300026";"CENTRE HOSPITALIER DE CAYENNE"
"707";"970300083G1";"970300083";"CENTRE HOSPITALIER FRANCK-JOLY"
"708";"970305637G1";"970305637";"CENTRE HOSPITALIER INTERCOM DE KOUROU"
"709";"970400024A1";"970400024";"CHU SITE FELIX GUYON (SAINT DENIS)"
"710";"970400024P1";"970400024";"CHU SITE FELIX GUYON (SAINT DENIS)"
"711";"970400057A1";"970400057";"CHU SITE SUD (SAINT PIERRE)"
"712";"970400057P1";"970400057";"CHU SITE SUD (SAINT PIERRE)"
"713";"970400065A1";"970400065";"CH OUEST REUNION"
"714";"970400065P1";"970400065";"CH OUEST REUNION"
"715";"970400073G1";"970400073";"GHER (SAINT-BENOIT)"
