"";"id";"finess";"nom_etab_1";"nom_etab_2";"nom_etab_long";"compl_etab";"compl_distr";"achemin";"comm";"dept";"lib_dept";"num_voie";"typ_voie";"lib_voie";"categ_etab";"lib_categ_etab";"categ_etab_agr";"lib_etab";"siret";"code_ape";"code_mft";"lib_mft";"code_sph";"lib_sph";"date_ouv";"date_autor";"date_maj";"num_educ"
"408";"640000410G1";"640000410";"CENTRE HOSPITALIER OLORON";"CENTRE HOSPITALIER OLORON";"CENTRE HOSPITALIER OLORON";NA;NA;"64404 OLORON STE MARIE CEDEX";"422";"64";"PYRENEES ATLANTIQUES";NA;"AV";"DR FLEMING";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26640549700022";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2014-10-28";NA
"409";"640000600A1";"640000600";"CENTRE HOSPITALIER DE PAU";"CENTRE HOSPITALIER DE PAU";"CENTRE HOSPITALIER DE PAU";NA;NA;"64046 PAU CEDEX";"445";"64";"PYRENEES ATLANTIQUES";"4";"BD";"HAUTERIVE";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26640552100110";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-10";"1901-01-10";"2016-03-10";NA
"410";"640000600P1";"640000600";"CENTRE HOSPITALIER DE PAU";"CENTRE HOSPITALIER DE PAU";"CENTRE HOSPITALIER DE PAU";NA;NA;"64046 PAU CEDEX";"445";"64";"PYRENEES ATLANTIQUES";"4";"BD";"HAUTERIVE";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26640552100110";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-10";"1901-01-10";"2016-03-10";NA
"411";"640017646G1";"640017646";"CENTRE HOSPITALIER DE SAINT-PALAIS";"CENTRE HOSPITALIER DE SAINT-PALAIS";"CENTRE HOSPITALIER DE SAINT-PALAIS";NA;NA;"64120 ST PALAIS";"493";"64";"PYRENEES ATLANTIQUES";NA;"AV";"FREDERIC DE SAINT-JAYME";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"20003754700011";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"2013-05-01";"2013-01-03";"2025-03-06";NA
"412";"640018206G1";"640018206";"CLINIQUE BELHARRA";"CLINIQUE BELHARRA";"CLINIQUE BELHARRA";NA;NA;"64100 BAYONNE";"102";"64";"PYRENEES ATLANTIQUES";"2";"ALL";"DU DOCTEUR LAFON";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"49346215400052";"8610Z";"7";"ARS établissements de santé non financés dotation globale";"0";"Non concerné";"2015-08-10";"2011-06-29";"2023-07-13";NA
"413";"640780490G1";"640780490";"CAPIO CLINIQUE AGUILERA";"CAPIO CLINIQUE AGUILERA";"CAPIO CLINIQUE AGUILERA";NA;NA;"64201 BIARRITZ CEDEX";"122";"64";"PYRENEES ATLANTIQUES";"21";"R";"DE L'ESTAGNAS";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"78227189400019";"8610Z";"7";"ARS établissements de santé non financés dotation globale";"0";"Non concerné";"1972-05-02";"1972-05-02";"2023-01-23";NA
"414";"640780748G1";"640780748";"POLYCLINIQUE COTE BASQUE SUD";"POLYCLINIQUE CÔTE BASQUE SUD";"POLYCLINIQUE COTE BASQUE SUD";NA;NA;"64501 ST JEAN DE LUZ CEDEX";"483";"64";"PYRENEES ATLANTIQUES";"7";"R";"LEONCE GOYETCHE";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"30999047100026";"8610Z";"7";"ARS établissements de santé non financés dotation globale";"0";"Non concerné";"1977-01-01";"1977-01-01";"2024-03-06";NA
"415";"640780946G1";"640780946";"POLYCLINIQUE PAU PYRENEES SITE NAVARRE";"POLYCLINIQUE PAU PYRENEES SITE NAVARRE";"POLYCLINIQUE PAU PYRENEES SITE NAVARRE";NA;NA;"64075 PAU CEDEX";"445";"64";"PYRENEES ATLANTIQUES";"8";"BD";"HAUTERIVE";"365";"Etablissement de Soins Pluridisciplinaire";"1110";"Etablissements de Soins de Courte Durée";"40803425400040";"8610Z";"7";"ARS établissements de santé non financés dotation globale";"0";"Non concerné";"1962-01-01";"1962-01-01";"2022-12-09";NA
"416";"650000045G1";"650000045";"CH LOURDES";"CH TARBES LOURDES SITE LOURDES";"CENTRE HOSPITALIER TARBES LOURDES SITE LOURDES";NA;NA;"65107 LOURDES CEDEX";"286";"65";"HAUTES PYRENEES";"2";"AV";"ALEXANDRE MARQUI";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26650018000200";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2024-03-08";NA
"417";"650000052G1";"650000052";"CH BAGNERES DE BIGORRE";"CH BAGNERES DE BIGORRE";"CENTRE HOSPITALIER DE BAGNERES DE BIGORRE";NA;NA;"65201 BAGNERES DE BIGORRE CEDEX";"59";"65";"HAUTES PYRENEES";"15";"R";"GAMBETTA";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26650005700010";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2017-02-01";NA
"418";"650000417G1";"650000417";"CH BIGORRE SITE GESPE TARBES";"CH TARBES LOURDES GESPE SITE TARBES";"CH TARBES LOURDES GESPE SITE TARBES";NA;NA;"65013 TARBES CEDEX 9";"440";"65";"HAUTES PYRENEES";NA;"BD";"MAL DE LATTRE DE TASSIGNY";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26650018000010";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1979-11-24";"1979-11-24";"2024-03-08";NA
"419";"650784218G1";"650784218";"CMC HOPITAUX DE LANNEMEZAN";"CMC HOPITAUX DE LANNEMEZAN";"CENTRE MEDICO CHIRURGICAL DES HOPITAUX DE LANNEMEZAN";NA;NA;"65300 LANNEMEZAN";"258";"65";"HAUTES PYRENEES";"644";"RTE";"DE TOULOUSE";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26650009900012";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1975-10-16";"1975-10-16";"2023-02-15";NA
"420";"660000084A1";"660000084";"CH PERPIGNAN";"CH PERPIGNAN";"CENTRE HOSPITALIER SAINT JEAN PERPIGNAN";NA;NA;"66046 PERPIGNAN CEDEX";"136";"66";"PYRENEES ORIENTALES";"20";"AV";"DU LANGUEDOC";"355";"Centre Hospitalier (C.H.)";"1102";"Centres Hospitaliers";"26660002200013";"8610Z";"3";"ARS établissements Publics de santé dotation globale";"1";"Etablissement public de santé";"1901-01-01";"1901-01-01";"2020-12-21";NA
