an;fi;rs;catr;stjr;reg;dep;nomcom;cpo;urg;regulation;passu;dt_hosp;stap;lit_uhcd;hmed_tot;hmed_urg;hide_tot;hide_urg;hamb_tot;hmr_tot;hmramu_tot;arm_tot;osnp_tot;com_smur_su;etpsal_tot;etpsal_urg;efflib_tot;efflib_urg;intmed;docju_med;inturg;docju_urg
2024;160000303;CH HOPITAUX SUD-CHARENTE;PUB2;1;75;16;BARBEZIEUX SAINT HILAIRE;16300;GEN;2;10211;2006;1;2;336;168;336;168;168;0;0;0;0;1;6,62;4,23;NA;NA;NA;NA;NA;NA
2024;160000311;CENTRE HOSPITALIER CONFOLENS;PUB2;1;75;16;CONFOLENS;16500;GEN;2;10567;1677;1;2;336;168;367;207;8;NA;NA;NA;NA;1;10,20;8,09;NA;NA;NA;NA;NA;NA
2024;160000337;CENTRE HOSPITALIER DE RUFFEC;PUB2;1;75;16;RUFFEC;16700;GEN;NA;10897;NA;NA;2;336;168;336;168;NA;NA;NA;NA;NA;1;3,16;3,16;NA;NA;NA;NA;NA;NA
2024;160015368;HOPITAUX DU GRAND COGNAC;PUB2;1;75;16;COGNAC;16112;GEN;3;16248;4233;1;7;20222;11462;30660;21900;8760;NA;NA;NA;NA;NA;12,93;11,11;NA;NA;NA;NA;3;NA
2024;170000038;CENTRE HOSPITALIER JONZAC;PUB2;1;75;17;JONZAC;17503;GEN;3;14213;1854;1;4;386;218;336;168;168;NA;NA;NA;NA;1;10,27;4,82;NA;NA;NA;NA;NA;NA
2024;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;PUB2;1;75;17;LA ROCHELLE;17019;GEN;3;51253;18831;1;15;791;451;1659;1311;348;340;291;871;NA;NA;33,19;11,19;NA;NA;48;19;6;2
2024;170000095;CENTRE HOSPITALIER ST JEAN D'ANGELY;PUB2;1;75;17;SAINT JEAN D ANGELY;17415;GEN;2;10805;1100;1;3;420;252;315;147;168;NA;NA;NA;NA;1;10,55;8,25;NA;NA;NA;NA;NA;NA
2024;170000103;CH DE SAINTONGE - SAINTES;PUB2;1;75;17;SAINTES;17108;GEN;2;31117;6772;1;8;588;420;1176;840;336;NA;NA;NA;NA;1;14,67;11,57;NA;NA;18;3;5;2
2024;170000152;CENTRE HOSPITALIER ROCHEFORT;PUB2;1;75;17;ROCHEFORT;17301;GEN;3;35032;9204;0;9;614;446;672;504;168;NA;NA;NA;NA;1;15,51;9,51;NA;NA;5;1;NA;NA
2024;170022065;GCS URGENCES PAYS ROYANNAIS - ROYAN;PUB10;1;75;17;VAUX SUR MER;17640;GEN;3;18298;3304;0;NA;168;168;252;252;NA;NA;NA;NA;NA;1;2,75;2,75;NA;NA;NA;NA;NA;NA
2024;170022818;GCS URGENCES PAYS ROYANNAIS -STGEORGES;PUB10;1;75;17;SAINT GEORGES DE DIDONNE;17110;GEN;1;4450;111;1;NA;84;84;84;84;NA;NA;NA;NA;NA;NA;1,83;1,83;NA;NA;NA;NA;NA;NA
2024;170022826;GCS URGENCES PAYS ROYANNAIS - PASTEUR;PUB10;1;75;17;ROYAN;17200;GEN;1;10749;1287;1;NA;84;84;200;200;NA;NA;NA;NA;NA;NA;0,17;0,17;2;2;NA;NA;NA;NA
2024;180000010;CH BOURGES - JACQUES COEUR;PUB2;1;24;18;BOURGES;18020;GEN;1;52885;12317;1;12;882;546;630;294;336;336;0;384;NA;NA;30,27;10,91;NA;NA;16;3;1;NA
2024;180000200;CH DE VIERZON;PUB2;1;24;18;VIERZON;18102;GEN;NA;23546;23546;NA;4;406;238;438;270;1;NA;NA;NA;NA;NA;14,57;11,22;NA;NA;NA;NA;NA;NA
2024;180000283;CH SAINT AMAND-MONTROND;PUB2;1;24;18;SAINT AMAND MONTROND;18200;GEN;3;14827;3328;1;5;336;168;436;272;NA;NA;NA;NA;NA;1;7,28;3,23;NA;NA;NA;NA;NA;NA
2024;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;PUB2;1;75;19;BRIVE LA GAILLARDE;19312;GEN;3;45306;11345;NA;9;624;288;910;742;336;NA;NA;NA;NA;1;15,29;12,37;NA;NA;30;12;2;3
2024;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;PUB2;1;75;19;TULLE;19012;GEN;3;24337;6573;1;6;395;227;168;168;NA;84;84;NA;NA;NA;14,56;11,00;NA;NA;8;5;5;NA
2024;190000091;CENTRE HOSPITALIER D'USSEL;PUB2;1;75;19;USSEL;19208;GEN;NA;13736;2869;1;1;168;168;168;168;NA;NA;NA;NA;NA;1;11,81;10,13;NA;NA;2;NA;NA;NA
2024;210012670;HOPITAL PRIVE DIJON BOURGOGNE;PLU4;2;27;21;DIJON;21000;GEN;1;29449;4313;1;6;252;252;588;588;0;0;0;0;0;0;NA;NA;11;11;NA;NA;NA;NA
2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;PUB1;1;27;21;DIJON;21079;GEN;1;41193;14191;1;15;1071;554;1624;994;504;690;340;1284;112;1;28,27;17,64;NA;NA;421;121;14;10
2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;PUB1;1;27;21;DIJON;21079;PED;3;22366;4468;NA;10;1071;554;1624;994;504;690;340;1284;112;1;28,27;17,64;NA;NA;421;121;14;10
2024;210987657;HOSPICES CIVILS DE BEAUNE;PUB2;1;27;21;BEAUNE;21203;GEN;3;21977;5802;0;6;379;211;924;756;168;NA;NA;NA;NA;NA;8,83;5,65;NA;NA;4;6;3;NA
2024;210987665;CH HCO SITE DE CHATILLON SUR SEINE;PUB2;1;27;21;CHATILLON SUR SEINE;21400;GEN;2;11958;NA;1;3;504;336;588;420;168;NA;NA;NA;NA;1;8,89;4,44;NA;NA;1;NA;1;NA
2024;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;PUB2;1;27;21;SEMUR EN AUXOIS;21140;GEN;3;23738;4307;1;6;574;406;784;609;168;0;0;0;0;1;11,82;6,10;NA;NA;4;NA;NA;NA
2024;220000012;CENTRE HOSPITALIER YVES LE FOLL;PUB2;1;53;22;SAINT BRIEUC;22023;GEN;3;76435;18900;1;12;1244;738;1700;1364;381;430;168;918;64;1;42,42;24,22;NA;NA;44;15;2;4
2024;220000095;GHRE- SITE DINAN RENE PLEVEN;PUB2;1;53;22;DINAN;22101;GEN;3;27810;10154;1;8;574;406;736;568;168;NA;NA;NA;NA;1;11,57;11,57;NA;NA;NA;NA;NA;NA
2024;220000343;CENTRE HOSPITALIER GUINGAMP;PUB2;1;53;22;GUINGAMP;22200;GEN;3;24368;7446;1;7;487;420;1299;1232;67;NA;NA;NA;NA;1;10,07;9,67;NA;NA;6;NA;5;NA
2024;220000368;CENTRE HOSPITALIER LANNION;PUB2;1;53;22;LANNION;22303;GEN;2;19260;5142;1;6;323;155;777;609;168;NA;NA;NA;NA;1;6,85;4,14;NA;NA;9;1;NA;NA
2024;220000541;CENTRE HOSPITALIER PAIMPOL;PUB2;1;53;22;PAIMPOL;22501;GEN;3;16107;3653;0;4;507;338;460;292;168;NA;NA;NA;NA;1;7,54;3,77;NA;NA;NA;NA;NA;NA
2024;230000820;CENTRE HOSPITALIER GUERET;PUB2;1;75;23;GUERET;23011;GEN;NA;20618;6129;NA;6;336;168;840;672;168;168;168;336;84;1;8,68;4,76;NA;NA;5;NA;5;NA
2024;230004657;SITE CROIX BLANCHE;PUB2;1;75;23;MOUTIER ROZEILLE;23200;GEN;3;7109;NA;1;2;168;168;168;168;NA;NA;NA;NA;NA;0;5,78;5,78;NA;NA;NA;NA;NA;NA
