year;finess;establishment_name;juridical_status;capacity;region_number;region_name;dep_number;dep_name;town_name;postal_code;emergency_type;regulation;total_hospitalized_emergency;waiting_monitoring;hours_physicians_total_raw;hours_physicians_emergency_raw;hours_nurses_total_raw;hours_nurses_emergency_raw;hours_paramedics_raw;hours_regulation_physicians;hours_regulation_assistants;joint_personnel_SMUR_emergency;etp_physicians_empl_total;etp_physicians_empl_emergency;number_physicians_liberal;number_medecine_interns;number_medecine_junior_doctors;number_emergency_interns;number_emergency_junior_doctors;beds_number;dummy_regulation_physicians;dummy_paramedics;dummy_regulation_assistants;dummy_number_liberal_phyisicians;dummy_joint_personnel;dummy_medecine_interns;dummy_emergency_interns;dummy_medecine_junior_doctors;dummy_emergency_junior_doctors;total_emergency_visits_raw;total_emergency_visits_win;hosp_rate_raw;hosp_rate_mod;hours_physicians_total_mod;hours_physicians_emergency_mod;hours_nurses_total_mod;hours_nurses_emergency_mod;hours_regulation_assistants_raw;hours_regulation_assistants_mod;hours_paramedics_mod;etp_total_win;etp_emergency_win
2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;Public;Medium capacity;76;Occitanie;34;Hérault;MONTPELLIER;34295;PED;1;4885;NA;2215;1543;3346;2674;1092;0;0;1;51,84;31,84;0;134;54;17;0;6,00000000000000;0;1;0;0;1;1;1;1;0;31186;31186,0000000000;0,1566408003591355;0,1566408003591355;2215;1543;3346;2674;0;0;1092;44,53;30,912
2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;Public;High capacity;27;Bourgogne-Franche-Comté;21;Côte-d'Or;DIJON;21079;GEN;1;14191;1;1071;554;1624;994;504;690;1284;1;28,27;17,64;0;421;121;14;10;15,00000000000000;1;1;1;0;1;1;1;1;1;41193;41193,0000000000;0,3445002791736460;0,3445002791736460;1071;554;1624;994;1284;1284;504;28,27;17,640
2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;Public;High capacity;27;Bourgogne-Franche-Comté;21;Côte-d'Or;DIJON;21079;PED;3;4468;NA;1071;554;1624;994;504;690;1284;1;28,27;17,64;0;421;121;14;10;10,00000000000000;1;1;1;0;1;1;1;1;1;22366;22366,0000000000;0,1997675042475186;0,1997675042475186;1071;554;1624;994;1284;1284;504;28,27;17,640
2024;380000067;HOPITAL NORD - CHU38;Public;High capacity;84;Auvergne-Rhône-Alpes;38;Isère;LA TRONCHE;38700;GEN;3;15949;1;1912;1567;NA;NA;0;291;0;0;62,12;42,12;0;296;89;29;10;20,00000000000000;1;0;0;0;0;1;1;1;1;68356;68356,0000000000;0,2333226051846217;0,2333226051846217;1912;1567;NA;NA;0;0;0;44,53;30,912
2024;380000067;HOPITAL NORD - CHU38;Public;High capacity;84;Auvergne-Rhône-Alpes;38;Isère;LA TRONCHE;38700;PED;3;5616;NA;1912;1567;NA;NA;0;291;0;0;62,12;42,12;0;296;89;29;10;18,00000000000000;1;0;0;0;0;1;1;1;1;37346;37346,0000000000;0,1503775504739464;0,1503775504739464;1912;1567;NA;NA;0;0;0;44,53;30,912
2024;420785354;HOPITAL NORD - CHU42;Public;High capacity;84;Auvergne-Rhône-Alpes;42;Loire;SAINT PRIEST EN JAREZ;42277;GEN;1;20384;1;NA;NA;NA;NA;0;0;0;1;37,22;19,94;0;228;68;17;6;17,00000000000000;0;0;0;1;1;1;1;1;1;73954;73954,0000000000;0,2756307975227844;0,2756307975227844;NA;NA;NA;NA;0;0;0;37,22;19,940
2024;420785354;HOPITAL NORD - CHU42;Public;Low capacity;84;Auvergne-Rhône-Alpes;42;Loire;SAINT PRIEST EN JAREZ;42277;PED;1;5513;NA;NA;NA;NA;NA;0;0;0;1;37,22;19,94;0;228;68;17;6;2,00000000000000;0;0;0;1;1;1;1;1;1;36368;36368,0000000000;0,1515893092828861;0,1515893092828861;NA;NA;NA;NA;0;0;0;37,22;19,940
2024;910026780;HOPITAL PARIS-SACLAY;Public;High capacity;11;Île-de-France;91;Essonne;ORSAY;91400;GEN;1;3660;0;861;693;1344;1176;168;0;0;1;19,44;16,39;0;32;1;9;0;22,00000000000000;0;1;0;0;1;1;1;1;0;26208;26208,0000000000;0,1396520146520146;0,1396520146520146;861;693;1344;1176;0;0;168;19,44;16,390
2024;910026780;HOPITAL PARIS-SACLAY;Public;Medium capacity;11;Île-de-France;91;Essonne;ORSAY;91400;PED;1;1165;NA;861;693;1344;1176;168;0;0;1;19,44;16,39;0;32;1;9;0;6,00000000000000;0;1;0;0;1;1;1;1;0;14350;14350,0000000000;0,0811846689895470;0,0811846689895470;861;693;1344;1176;0;0;168;19,44;16,390
2024;940000649;HOPITAL SAINT CAMILLE;Privé lucratif;High capacity;11;Île-de-France;94;Val-de-Marne;BRY SUR MARNE;94366;GEN;NA;12429;1;690;690;760;760;0;0;0;0;38,45;38,45;0;20;3;7;0;12,00000000000000;0;0;0;0;0;1;1;1;0;50044;50044,0000000000;0,2483614419311006;0,2483614419311006;690;690;760;760;0;0;0;38,45;30,912
