BOR;AN;FI;FI_EJ;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT;FILACT_INT;dt_NOUV_INT;SEJ;RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_PNM;EFFPL_PNMDOU;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT;FILACT_EXT;dt_NOUV_EXT;EFFPA_PM;EFFPA_PMDOU;EFFPA_PNM;EFFPA_PNMDOU;CONS_PSY18;ACT_INF18;CONS_MED18;FILACT18;dt_NOUV18;ETP_PM;ETP_PMDOU;ETP_PNM;ETP_PNMDOU
DOULEUR;2014;560000143;560014748;;;;;;;206;;;;1;;;;;;;2;;3;;;;;;;1.43;;2.25;
DOULEUR;2014;560000192;560000044;Consultation;0;18;30;21;13;0;12;;;1;;0;237;605;133;60;1;1;2;1;0;0;5;1;1;0.6;0.6;0.73;0.34
DOULEUR;2014;560002933;560006074;Centre;;;;;;0;18;;;;;382;329;2323;1274;540;15;7;8;6;;;;;;1.6;1.4;3.26;1.39
DOULEUR;2014;570000216;570010173;Consultation;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2014;570000281;570005165;Consultation;0;0;0;0;0;0;0;;;1;;882;0;1078;603;271;;;2;;7;0;8;4;3;;;1.73;
DOULEUR;2014;570000901;570000158;Consultation;;;;;;0;;1;;;;116;1215;;;;;;;;;;;;;1;;;
DOULEUR;2014;570001099;570023630;Centre;;;;680;;1981;;3;;;13;;;5703;2370;1158;;;;1;;;;;;2;;;13.5
DOULEUR;2014;570026682;570005165;Consultation;0;0;160;124;124;0;0;;;1;;765;0;1995;675;375;2;;1;;0;0;1;1;1;1;;1.68;
DOULEUR;2014;590000188;590780334;Consultation;14;;109;72;54;0;;5;;1;;7;;717;295;193;;;;;1;;6;4;3;0.5;;0.2;
DOULEUR;2014;590000428;590781605;Consultation;;;;;;0;;;;;0;292;611;1491;;143;;;4;0;;;;;;;;2.32;0
DOULEUR;2014;590000535;590781803;Consultation;;;55;;;0;;3;3;2;;1;104;424;160;70;;;1;;;;;;;0.6;0.6;2.5;
DOULEUR;2014;590000618;590782215;Centre;0;132;72;;;628;8;2;2;6;4;;125;2041;1253;567;1;1;6;;;;;;;2.42;2.42;7.62;2.48
DOULEUR;2014;590001004;590783239;;79;432;60;60;60;0;;1;;;;400;81;1878;983;385;2;;1;;;;;63;;1.2;;0.64;
DOULEUR;2014;590001442;590784245;Consultation;120;650;123;120;110;;6;6;6;2;;492;140;1760;956;449;;;2;;;;;;;1;1;1.25;
DOULEUR;2014;590006607;590780193;;60;;70;435;;0;418;;;;;193;;680;40;64;2;2;2;1;253;;750;475;64;0.6;0.6;0.8;0.5
DOULEUR;2014;590049565;780020715;Consultation;;;;;;0;;;;;;20;50;60;29;17;1;1;7;6;;;;;;0.2;0.2;0.5;0.3
DOULEUR;2014;590796975;590780193;;;;;;;0;40;;;;;888;0;3975;1840;571;;;;;;;;;;2.65;;4.1;
DOULEUR;2014;590801106;590782421;Consultation;188;;;;;0;25;;;;;585;121;1261;563;297;5;2;3;1;292;;;;;0.9;;1;
DOULEUR;2014;590811279;590780193;;;;;;;0;44;1;1;2;1;396;2010;5229;2216;1067;1;;1;;;;4;3;3;2.2;1;3.2;1
DOULEUR;2014;600000194;600100713;;43;43;234;54;54;7;48;;;2;;728;1695;1404;476;221;2;1;2;1;;;3;3;3;0.8;0.6;3;0.2
