BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2014;370000861;370000481;132;19;;12;7;170
Q22;2014;370000879;370000564;2;1;;1;;4
Q22;2014;370000903;370000614;;;;4;;4
Q22;2014;370000986;370000713;1;;;;;1
Q22;2014;370001109;370002701;1;;;1;;2
Q22;2014;370004301;370000614;;;;1;;1
Q22;2014;370004467;370000481;103;11;;12;7;133
Q22;2014;370005050;370000481;7;;;1;;8
Q22;2014;370007569;370007528;1;;;;;1
Q22;2014;370100539;370100935;1;;;;;1
Q22;2014;380000018;380780023;2;;;;;2
Q22;2014;380000034;380780049;19;;;18;2;39
Q22;2014;380000067;380780080;265;48;;46;16;375
Q22;2014;380000133;380780247;20;2;0;0;1;23
Q22;2014;380000174;380781435;10;4;0;30;2;46
Q22;2014;380000406;380784751;6;1;;18;;25
Q22;2014;380009928;380804542;1;;;;;1
Q22;2014;380012658;380012609;31;2;;;;33
Q22;2014;380780312;750720575;3;;;;;3
Q22;2014;380780379;380798249;;;;1;;1
Q22;2014;380781138;010783009;;;;1;;1
Q22;2014;380782722;380780080;19;;;6;1;26
Q22;2014;390000040;390780146;9;1;;15;4;29
Q22;2014;390000073;390780179;;;;2;;2
Q22;2014;390000164;390780476;9;;;2;1;12
Q22;2014;390000222;390780609;10;1;0;17;2;30
Q22;2014;400000105;400780193;18;;;24;3;45
Q22;2014;400000113;400011177;3;;;;1;4
Q22;2014;400000139;400011177;17;;;20;5;42
Q22;2014;400780250;400011177;2;;;;;2
Q22;2014;400787354;400780193;2;;;;;2
Q22;2014;400791018;400790994;1;;;;;1
Q22;2014;410000020;410000087;35;1;0;19;7;62
Q22;2014;410000038;410000095;;1;;7;;8
Q22;2014;410000046;410000103;;1;;3;;4
Q22;2014;410000293;410000491;1;;;;;1
Q22;2014;410004063;410000095;;;;2;;2
Q22;2014;410005391;410000905;1;;;;;1
Q22;2014;420000010;420780033;30;0;0;26;9;65
Q22;2014;420000192;750034589;2;;;;;2
Q22;2014;420000226;420013831;0;0;0;26;1;27
Q22;2014;420000234;420780652;8;1;;32;;41
Q22;2014;420000242;420780660;;;;1;;1
Q22;2014;420000267;420013831;0;0;0;22;0;22
Q22;2014;420000440;420784878;;;;4;;4
Q22;2014;420002479;420002438;;;;1;;1
