BOR;AN;FI;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2014;130784051;130037823;SCAN;1;1;11068;;17787;;2;1
IMAGES;2014;130784051;130037823;TOMO;1;1;319;;3582;;0;0
IMAGES;2014;130784051;130037823;VASC;2;2;5507;;602;;3;1
IMAGES;2014;130784234;130786049;IRM;2;2;1537;;;8815;0;
IMAGES;2014;130784234;130786049;RADIO;5;5;12721;;;13034;0;
IMAGES;2014;130784234;130786049;SCAN;1;1;2804;;;6117;3;
IMAGES;2014;130784598;130001852;RADIO;1;1;1984;;;;;0
IMAGES;2014;130784713;130038847;MAMM;1;1;;;;5420;;
IMAGES;2014;130784713;130038847;RADIO;2;2;7683;;;11209;;
IMAGES;2014;130784713;130038847;SCAN;1;1;2335;;;14058;;
IMAGES;2014;130784713;130038847;VASC;2;2;1181;;;;;
IMAGES;2014;130785389;130002173;LITHO;1;1;505;;;;;0
IMAGES;2014;130785389;130002173;RADIO;2;2;2292;;904;8884;;
IMAGES;2014;130785389;130002173;SCAN;1;0;;;;;;
IMAGES;2014;130785652;130014228;IRM;2;2;3387;;;13504;;0
IMAGES;2014;130785652;130014228;LITHO;1;1;165;;;0;;1
IMAGES;2014;130785652;130014228;MAMM;1;1;;;;3912;;
IMAGES;2014;130785652;130014228;RADIO;5;5;28059;;;24009;;
IMAGES;2014;130785652;130014228;SCAN;2;2;13260;;;18368;;0
IMAGES;2014;130785652;130014228;VASC;2;2;1551;;;7;;1
IMAGES;2014;130785678;130002249;RADIO;2;2;1687;;;3293;;1
IMAGES;2014;130785678;130002249;SCAN;1;1;2768;;;9756;;0
IMAGES;2014;130785678;130002249;VASC;1;1;270;;;;;1
IMAGES;2014;130786361;130002447;IRM;1;;;;;;;0
IMAGES;2014;130786361;130002447;LITHO;1;;;;;;;0
IMAGES;2014;130786361;130002447;RADIO;1;;;;;;;0
IMAGES;2014;130786361;130002447;SCAN;1;;;;;;;0
IMAGES;2014;130786445;130002488;MAMM;2;2;;;;;;
IMAGES;2014;130786445;130002488;RADIO;1;1;63;;;;;0
IMAGES;2014;130786742;750821092;IRM;1;1;558;0;0;3604;37;0
IMAGES;2014;130786742;750821092;RADIO;4;4;7325;0;0;18814;533;0
IMAGES;2014;130786742;750821092;SCAN;1;1;3664;0;0;4471;84;1
IMAGES;2014;130786742;750821092;VASC;1;1;112;0;0;410;0;1
IMAGES;2014;130786924;130037815;RADIO;1;1;1;;;;;0
