BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2014;030781116;030000426;NAUT;7;;7
SSR_P;2014;030781116;030000426;NCINF;10;1;9.6
SSR_P;2014;040000028;040780124;N241P;;1;0.8
SSR_P;2014;040000028;040780124;N2450;;1;0.2
SSR_P;2014;040000028;040780124;N2500;3;6;8.5
SSR_P;2014;040000028;040780124;N2710;;1;0.2
SSR_P;2014;040000028;040780124;N310H;;1;0.3
SSR_P;2014;040000028;040780124;NAUT;;8;7.4
SSR_P;2014;040000028;040780124;NCINF;2;3;4.3
SSR_P;2014;040000036;040780132;M1010;;1;0.16
SSR_P;2014;040000036;040780132;N2500;2;1;2.6
SSR_P;2014;040000036;040780132;NCINF;2;2;3.3
SSR_P;2014;040000044;040780140;N2710;;1;0.05
SSR_P;2014;040000051;040780173;N2500;5;2;6.28
SSR_P;2014;040000051;040780173;NCINF;5;0;4.49
SSR_P;2014;040000069;040780181;M1010;;4;1.2
SSR_P;2014;040000069;040780181;M1180;1;;1
SSR_P;2014;040000069;040780181;N241P;4;1;4.8
SSR_P;2014;040000069;040780181;N2450;;1;0.25
SSR_P;2014;040000069;040780181;N2460;;2;1.2
SSR_P;2014;040000069;040780181;N2500;11;6;15.2
SSR_P;2014;040000069;040780181;N2710;;1;0.5
SSR_P;2014;040000069;040780181;NAUT;2;4;4.3
SSR_P;2014;040000069;040780181;NCINF;8;3;9.76
SSR_P;2014;040000077;040780199;M1010;;7;0.22
SSR_P;2014;040000077;040780199;N2450;;1;0.05
SSR_P;2014;040000077;040780199;N2460;;1;0.1
SSR_P;2014;040000077;040780199;N2500;;2;1
SSR_P;2014;040000077;040780199;N3120;;1;0.05
SSR_P;2014;040000077;040780199;NCINF;2;1;2.3
SSR_P;2014;040000085;040780207;M1070;;1;0.1
SSR_P;2014;040000085;040780207;N241P;;1;0.2
SSR_P;2014;040000085;040780207;N2450;1;;0.8
SSR_P;2014;040000085;040780207;N2500;1;;1
SSR_P;2014;040000085;040780207;N2710;1;;0.1
SSR_P;2014;040000085;040780207;N310H;1;;0.5
SSR_P;2014;040000085;040780207;NAUT;1;;1
SSR_P;2014;040000085;040780207;NCINF;4;;4
SSR_P;2014;040000119;040780231;M1010;;4;4
SSR_P;2014;040000119;040780231;N241P;1;;0.78
SSR_P;2014;040000119;040780231;N2450;;1;0.21
SSR_P;2014;040000119;040780231;N2500;3;2;4
SSR_P;2014;040000119;040780231;NCINF;3;;3
SSR_P;2014;040000135;050002948;M1010;2;0;0.86
SSR_P;2014;040000135;050002948;M1040;1;0;0.4
SSR_P;2014;040000135;050002948;M1150;0;0;0.17
SSR_P;2014;040000135;050002948;MAUT;0;0;0.03
SSR_P;2014;040000135;050002948;N2500;6;6;9.23
SSR_P;2014;040000135;050002948;NAUT;5;0;3.85
SSR_P;2014;040000135;050002948;NCINF;6;10;10.34
SSR_P;2014;040780389;040000150;M1010;;4;2
SSR_P;2014;040780389;040000150;MAUT;;1;0.03
SSR_P;2014;040780389;040000150;N241P;;5;2.5
SSR_P;2014;040780389;040000150;N2430;;1;0.1
SSR_P;2014;040780389;040000150;N2450;;1;0.5
SSR_P;2014;040780389;040000150;N2500;12;5;15.77
SSR_P;2014;040780389;040000150;N2710;;1;0.5
SSR_P;2014;040780389;040000150;N3120;;1;0.5
SSR_P;2014;040780389;040000150;NAUT;14;3;16.58
SSR_P;2014;040780389;040000150;NCINF;11;5;15.31
SSR_P;2014;040780405;040000168;M1010;1;1;1.5
SSR_P;2014;040780405;040000168;M1180;1;;1
SSR_P;2014;040780405;040000168;N241P;7;;7
SSR_P;2014;040780405;040000168;N2430;;1;0.5
SSR_P;2014;040780405;040000168;N2460;2;;2
SSR_P;2014;040780405;040000168;N2500;13;2;13.4
SSR_P;2014;040780405;040000168;N2710;;1;0.2
SSR_P;2014;040780405;040000168;N310H;1;1;1.5
SSR_P;2014;040780405;040000168;N3120;;1;0.5
SSR_P;2014;040780405;040000168;NCINF;9;1;9.5
SSR_P;2014;040780488;040000200;M1010;1;1;1.89
SSR_P;2014;040780488;040000200;M1180;1;;1
SSR_P;2014;040780488;040000200;MAUT;;1;0.11
SSR_P;2014;040780488;040000200;N241P;10;;10
SSR_P;2014;040780488;040000200;N2430;;1;0.5
SSR_P;2014;040780488;040000200;N2450;;1;0.91
SSR_P;2014;040780488;040000200;N2460;;4;2.79
SSR_P;2014;040780488;040000200;N2710;;1;0.5
SSR_P;2014;040780488;040000200;N310H;1;;1
SSR_P;2014;040780488;040000200;N3120;;1;0.91
SSR_P;2014;040780488;040000200;NAUT;;1;0.8
SSR_P;2014;040780488;040000200;NCINF;9;1;9.58
SSR_P;2014;040780520;920000395;M1320;;2;1
SSR_P;2014;040780520;920000395;N241P;2;;2
SSR_P;2014;040780520;920000395;N2500;5;2;6
SSR_P;2014;040780520;920000395;N3120;;1;0.35
SSR_P;2014;040780520;920000395;NCINF;8;;8
SSR_P;2014;040782021;130037815;M1010;2;;1.74
SSR_P;2014;040782021;130037815;M1180;;;0.32
SSR_P;2014;040782021;130037815;N241P;1;1;1.5
SSR_P;2014;040782021;130037815;N2450;;1;0.55
SSR_P;2014;040782021;130037815;N2500;21;8;24.92
SSR_P;2014;040782021;130037815;N2710;;1;0.75
SSR_P;2014;040782021;130037815;N310H;1;;1
SSR_P;2014;040782021;130037815;N3120;;1;0.75
SSR_P;2014;040782021;130037815;NAUT;12;2;10.7
SSR_P;2014;040782021;130037815;NCINF;8;7;12.67
SSR_P;2014;050000041;130037815;M1010;3;1;3.68
SSR_P;2014;050000041;130037815;M1180;2;2;3.19
SSR_P;2014;050000041;130037815;N241P;13;4;14.75
SSR_P;2014;050000041;130037815;N2430;;2;1.25
SSR_P;2014;050000041;130037815;N2450;1;1;1.75
SSR_P;2014;050000041;130037815;N2460;4;3;5.4
SSR_P;2014;050000041;130037815;N2500;39;23;48.15
SSR_P;2014;050000041;130037815;N2710;1;1;1.54
SSR_P;2014;050000041;130037815;N310H;1;1;1
SSR_P;2014;050000041;130037815;N3120;1;2;2.03
SSR_P;2014;050000041;130037815;NAUT;18;8;19.58
SSR_P;2014;050000041;130037815;NCINF;26;21;37.74
SSR_P;2014;050000058;050000033;M1010;;3;1.55
SSR_P;2014;050000058;050000033;M1040;;1;0.13
SSR_P;2014;050000058;050000033;M1070;;1;0.05
SSR_P;2014;050000058;050000033;M1180;;1;0.13
SSR_P;2014;050000058;050000033;M3020;;1;0.05
