BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2014;110000023;110780061;N5140;12;1;12.51;0;;;
SMURSAMU_P;2014;110000023;110780061;N9999;28;10;22.75;0;14;12;21.58
SMURSAMU_P;2014;110000049;110780087;M9999;;31;2.38;1;;;
SMURSAMU_P;2014;110000049;110780087;MREG;;31;2.38;1;;;
SMURSAMU_P;2014;110000049;110780087;N1220;;1;0.06;1;;;
SMURSAMU_P;2014;110000049;110780087;N2120;1;;0.08;0;;;
SMURSAMU_P;2014;110000049;110780087;N2223;14;8;3.2;0;;;
SMURSAMU_P;2014;110000049;110780087;N5140;;;3;0;;;
SMURSAMU_P;2014;110000049;110780087;N9999;15;9;6.34;0;;;
SMURSAMU_P;2014;110000056;110780137;M9999;15;8;8.86;1;;;
SMURSAMU_P;2014;110000056;110780137;N2223;23;6;12.24;1;;;
SMURSAMU_P;2014;110000056;110780137;N9999;23;6;12.24;1;;;
SMURSAMU_P;2014;110780236;110780707;M9999;;31;4.75;1;;;
SMURSAMU_P;2014;110780236;110780707;MREG;;31;4.75;1;;;
SMURSAMU_P;2014;110780236;110780707;N1220;;1;0.13;;;;
SMURSAMU_P;2014;110780236;110780707;N2120;;;0.17;0;;;
SMURSAMU_P;2014;110780236;110780707;N2223;15;9;6.4;0;;;
SMURSAMU_P;2014;110780236;110780707;N9999;16;10;6.7;0;;;
SMURSAMU_P;2014;120000039;120780044;M9999;5;;5;1;5;;5
SMURSAMU_P;2014;120000039;120780044;N1220;;;;0;6;6;9.48
SMURSAMU_P;2014;120000039;120780044;N2223;;9;9.08;1;;;
SMURSAMU_P;2014;120000039;120780044;N2500;;4;3.65;;1;1;0.9
SMURSAMU_P;2014;120000039;120780044;N9999;;13;12.73;;8;6;10.36
SMURSAMU_P;2014;120000054;120780069;M9999;0;0;0;;9;1;1.5
SMURSAMU_P;2014;120000054;120780069;MREG;0;0;0;;9;1;1.5
SMURSAMU_P;2014;120000054;120780069;N2223;0;0;0;;0;1;0.81
SMURSAMU_P;2014;120000054;120780069;N2500;0;0;0;;1;0;1
SMURSAMU_P;2014;120000054;120780069;N9999;0;0;0;;1;1;1.81
SMURSAMU_P;2014;120000070;120780085;M9999;3;3;5.41;1;;;
SMURSAMU_P;2014;120000070;120780085;N1220;;2;1;1;;;
SMURSAMU_P;2014;120000070;120780085;N2120;;1;0.5;1;;;
SMURSAMU_P;2014;120000070;120780085;N2223;12;5;14.08;1;;;
SMURSAMU_P;2014;120000070;120780085;N2500;4;;4;;;;
SMURSAMU_P;2014;120000070;120780085;N3120;;1;0.1;1;;;
SMURSAMU_P;2014;120000070;120780085;N9999;16;9;19.68;;;;
SMURSAMU_P;2014;120004569;120004528;M9999;5;3;4.33;1;;;
SMURSAMU_P;2014;120004569;120004528;N2223;13;2;6.2;1;;;
SMURSAMU_P;2014;120004569;120004528;N9999;13;2;6.2;1;;;
SMURSAMU_P;2014;120004668;120004619;M9999;7;;3.39;1;;;
SMURSAMU_P;2014;120004668;120004619;N2223;5;4;7.83;1;;;
SMURSAMU_P;2014;130000409;130041916;M9999;;15;4.15;1;;;
SMURSAMU_P;2014;130000409;130041916;N2223;4;5;8.04;1;;;
SMURSAMU_P;2014;130000409;130041916;N9999;4;5;8.04;1;;;
SMURSAMU_P;2014;130000565;130781446;M9999;3;3;4.5;1;;;
SMURSAMU_P;2014;130000565;130781446;N1220;;;;1;;;
SMURSAMU_P;2014;130000565;130781446;N2120;;1;0.1;1;;;
SMURSAMU_P;2014;130000565;130781446;N2223;6;1;6.04;1;;;
SMURSAMU_P;2014;130000565;130781446;N5140;5;;5.67;0;;;
SMURSAMU_P;2014;130000565;130781446;N9999;11;1;11.71;;;;
SMURSAMU_P;2014;130001225;130782634;M9999;8;2;3.14;1;;;
SMURSAMU_P;2014;130001225;130782634;MREG;5;2;0.57;1;;;
SMURSAMU_P;2014;130001225;130782634;N2120;;1;0.4;;;;
SMURSAMU_P;2014;130001225;130782634;N2223;5;;5;1;;;
SMURSAMU_P;2014;130001225;130782634;N2500;5;;5;;;;
SMURSAMU_P;2014;130002827;130789274;M9999;9;4;10.72;1;;;
SMURSAMU_P;2014;130002827;130789274;N2120;1;;0.25;1;;;
SMURSAMU_P;2014;130002827;130789274;N2223;2;1;2.8;1;;;
SMURSAMU_P;2014;130002827;130789274;N5140;5;;5;;;;
SMURSAMU_P;2014;130002827;130789274;N9999;8;1;8.05;1;;;
SMURSAMU_P;2014;130002835;130789316;M9999;4;1;4.6;1;0;0;0
