BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2014;130785652;130014228;M1160;1;19;8.1;0;1;;
IMAGES_P;2014;130785652;130014228;N4130;44;4;43.14;1;1;;
IMAGES_P;2014;130785652;130014228;N4160;2;;2;;;;
IMAGES_P;2014;130785652;130014228;NAUT;45;3;40.37;;;;
IMAGES_P;2014;130785678;130002249;M1160;;14;7;0;1;;
IMAGES_P;2014;130785678;130002249;N4130;5;;6.19;0;1;;
IMAGES_P;2014;130785678;130002249;NAUT;7;;7.13;;;;
IMAGES_P;2014;130786445;130002488;M1160;;3;2;;1;;
IMAGES_P;2014;130786445;130002488;N4130;2;1;2.5;;1;;
IMAGES_P;2014;130786445;130002488;NAUT;1;1;1.5;;;;
IMAGES_P;2014;130786742;750821092;M1160;3;1;3.94;0;1;0;0
IMAGES_P;2014;130786742;750821092;N4130;17;3;19.16;1;1;;
IMAGES_P;2014;130786742;750821092;N4160;1;0;1;;;;
IMAGES_P;2014;130786742;750821092;NAUT;12;0;10.39;;;;
IMAGES_P;2014;130786924;130037815;N4130;;2;1;0;0;;
IMAGES_P;2014;130786932;130002660;N4130;;1;0.26;0;0;;
IMAGES_P;2014;130789357;130002843;N4130;;1;0.85;0;;;
IMAGES_P;2014;130804297;130786049;M1160;4;4;3.71;;;;
IMAGES_P;2014;130804297;130786049;N4130;21;3;21.27;;;;
IMAGES_P;2014;130804297;130786049;N4160;1;0;1;;;;
IMAGES_P;2014;130804297;130786049;NAUT;11;1;8.97;;;;
IMAGES_P;2014;130809015;130001928;N4130;;2;1;;;;
IMAGES_P;2014;130810740;130007362;M1160;1;30;3.8;0;1;1;0
IMAGES_P;2014;130810740;130007362;N4130;9;0;6.08;0;1;;
IMAGES_P;2014;130810740;130007362;N4160;1;;1;;;;
IMAGES_P;2014;130810740;130007362;NAUT;9;;6;;;;
IMAGES_P;2014;140000027;140000035;M1160;4;2;4.58;0;1;1;1
IMAGES_P;2014;140000027;140000035;N4130;18;1;18.14;1;0;;
IMAGES_P;2014;140000027;140000035;N4160;1;0;1;;;;
