BOR;AN;FI;ORG_E5;ORG_A1;ORG_A2;ORG_A3;FI_EJ;ORG_A4;ORG_A5;ORG_A6;ORG_A7;ORG_A8;ORG_A9;ORG_A10;ORG_A11;ORG_B1;ORG_C1;ORG_D1;ORG_B2;ORG_C2;ORG_D2;ORG_B3;ORG_C3;ORG_D3;ORG_B4;ORG_C4;ORG_D4;ORG_B5;ORG_C5;ORG_D5;ORG_B6;ORG_C6;ORG_D6;ORG_B7;ORG_C7;ORG_D7;ORG_B8;ORG_C8;ORG_D8;ORG_B9;ORG_C9;ORG_D9;ORG_B10;ORG_C10;ORG_D10;ORG_B11;ORG_C11;ORG_D11;ORG_A12;ORG_A13;ORG_A14;ORG_A15
ORG;2014;140002452;;;;;140025800;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;140004383;;;7;;140000100;;;2;;;;700;;;;;C;E;A;;;;;;;;;;C;E;;;;;;;;;;;A;C;D;;;;0.75;;;
ORG;2014;140013830;;;;;140000118;;;4;;;;;;;;;;;;;;;;;;;;;B;A;;;;;;;;;;;;;;;;;;;;
ORG;2014;140015975;;;;;310021092;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;D;;;;;0.05;;;
ORG;2014;140016106;;;;;140000035;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;140016155;;;1;;140027426;;;;;;;;1;;;;G;;;;;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;
ORG;2014;140017278;;;;;610787285;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0;0;0;0
ORG;2014;140019175;;;1;;930019484;;;;;;;;;;;;A;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.53;23.7;6.63
ORG;2014;140024886;;;3;;140000092;;;1;1;;;;;;;;A;A;G;;;;;;;;;;A;;;D;;;;;;;;;;;;;;;0.38;5.48;24.24;21.34
ORG;2014;140026410;;;;;140026279;;;;1;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;0;;;
ORG;2014;140026709;;;;;140000415;;;;1;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;;;;;;;;;;;;;
ORG;2014;140027434;;;;;140000852;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;140027681;;;;;610004939;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;150000032;;;1;1;150780088;;;1;;2;;130;;;;;C;;;C;;;;;;;;;A;;;;;;C;C;;;;;A;C;C;;;;0.5;1.47;;
ORG;2014;150000040;;0;0;0;150780096;1;0;0;0;0;0;48;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;C;D;B;;;;0;6.75;5.52;3.66
ORG;2014;150000149;;;1;;150780393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.8;
ORG;2014;150000180;;;;;150780500;1;;1;;;;20;;;;;;;;;;;C;A;;;;;B;;;;;;;;;;;;C;D;A;;;;0;0;0;0
ORG;2014;150780120;;;1;;150000065;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;G;C;;;;1;;;
ORG;2014;150780708;;;;2;870015336;;;;;;;1;;;;;;;;E;A;;;;;;;;;;;;;;;;;;;;C;;;;;;;0.5;;
ORG;2014;150780773;;;1;1;150780088;;;1;;2;;130;;;;;C;;;C;;;;;;;;;A;;;;;;C;C;;;;;A;C;C;;;;0.5;1.47;;
ORG;2014;150782944;;;;;150002566;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;A;C;;;;0;0;0;0
ORG;2014;160000170;;;;;160000204;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0.52;;;
ORG;2014;160000188;;1;2;;160000121;;;;;;;;;C;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;1.21
ORG;2014;160000253;;0;1;1;160000451;0;0;1;1;0;0;170;0;;;;A;C;B;C;D;;;;;;;;A;;;D;;;;;;;;;C;A;D;;;;2.15;6;61.44;99.39
ORG;2014;160000261;;;;;160014411;;;1;1;;;;;;;;;;;;;;;;;;;;A;;;D;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;160000279;;0;0;0;160000212;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;0;0;0;0
ORG;2014;160000303;;1;;;160006037;;1;;;;;;;D;A;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;0.05;0;0;0
ORG;2014;160000311;;;2;;160000485;;;;;;;16;;;;;A;B;;;;;;;;;;;;;;;;;;;;;;;C;A;;;;;0.15;0.2;1.82;1.06
ORG;2014;160000337;;1;;;160000493;;1;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;160000345;;;1;;160000501;;1;;;;;;;;;;A;D;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;0;;;
ORG;2014;160000360;;;1;;160000519;;1;;;;;65;;;;;D;A;;;;;;;;B;;;;;;;;;;;;;;;C;E;;;;;0.05;2.1;20.25;5.3
ORG;2014;160002036;;;;;160009908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;C;C;;;;0;0;0;0
ORG;2014;160006110;;;;;860000348;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;160006409;;;;;160014411;;;1;1;;;;;;;;;;;;;;;;;;;;A;;;D;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;160009080;;1;;;160001574;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;160012159;;;;;860000348;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;160015368;;;1;;160014411;;;1;1;;;20;;;;;C;;;;;;;;;;;;A;;;D;;;;;;;;;A;C;;;;;0;0;0;0
ORG;2014;170000038;;;2;;170780050;1;1;2;1;;;36;1;;;;B;C;D;;;;C;;;B;;;A;B;;D;;;;;;;;;B;C;D;A;B;C;;1.2;1.58;4.42
ORG;2014;170000061;;;;;170780118;1;1;;;;;1;;;;;;;;;;;H;;;B;;;;;;;;;;;;;;;C;;;;;;;;;
ORG;2014;170000079;;;;;170780142;1;;;1;;;;;;;;;;;;;;C;;;;;;;;;A;;;;;;;;;;;;;;;0;0;0;0
ORG;2014;170000087;;;2;;170023279;1;;;;2;;;;;;;A;D;;;;;H;;;;;;;;;;;;C;;;;;;;;;;;;;;;
ORG;2014;170000095;;;;1;170780167;;1;1;1;3;;;;;;;;;;A;;;;;;A;;;A;;;A;;;C;;;;;;;;;;;;0.21;2.6;11.4;9.68
ORG;2014;170000103;;;2;;170780175;1;1;1;1;5;;38;1;;;;B;;D;;;;;C;;B;;;A;;;;;D;;C;;;;;A;C;D;;;D;0.5;15.15;27.99;59.56
ORG;2014;170000111;;;2;;170023279;1;;;;;;;;;;;A;D;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170000129;;1;1;;170780191;;1;1;1;1;;26;;C;;;D;;;;;;;;;B;;;A;;;D;;;C;;;;;;C;A;D;;;;;3;;1.43
ORG;2014;170000137;;;;;170780209;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170000152;;1;2;;170780225;1;;;;2;;;;D;;;A;C;;;;;A;B;C;;;;;;;;;;C;;;;;;;;;;;;0.5;;0.5;
ORG;2014;170000178;;;1;;170780266;1;1;1;;;;14;;;;;B;;;;;;C;A;;B;;;B;;;;;;;;;;;;C;A;D;;;;;1;;0.13
ORG;2014;170022065;;1;;;170022057;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170022818;;1;;;170022057;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2014;170022826;;1;;;170022057;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
