BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2014;910100023;750712184;0;;;;;1;30;3;687;830;8860;2;1;7;7;6.3;5.3;1;1;1;1;14;25;;;;2;1;;;;15.77;25.86;;;
MCOGER;2014;910150069;910000033;1;0;190;76;1.5;1;69;4;2073;881;21865;6;5;14;6;11.35;7.33;1;1;0;0;25;34;1;1;52;2;4;1;1;7;27.37;24.89;1.3;0.9;57.08
MCOGER;2014;910300060;750043994;0;;;;;1;20;;500;0;6320;2;2;;;2;2;1;1;0;0;6;8;;;;2;1;;;;6.93;8.33;;;
MCOGER;2014;920000460;750813321;1;407;200;316;2.14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;920000569;920026374;0;;;;;1;38;5;1359;65;12757;5;4;6;2;5.12;3.6;0;0;0;0;13;20;;;11;2;4;;;5;15.84;23.15;;;12.43
MCOGER;2014;920000577;920110020;0;;;;;1;20;;;;;2;2;1;1;1.53;1.53;0;0;0;0;;;;;;;;;;;;;;;
MCOGER;2014;920000601;920110053;0;;;;;1;30;0;634;0;8216;5;4;;;5;4;;;;;11;10;;;1;1;0;1;;3;12.5;9.9;0.1;;3.45
MCOGER;2014;920000635;920150026;1;1033;0;912;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;920000643;920150034;0;;;;;1;19;;378;0;4114;3;1;;;2.9;0.23;0;0;0;0;7;7;;;5;2;2;;;1;8.93;9.31;;;5.04
MCOGER;2014;920000650;920150059;1;606;81;299;30.96;1;14;;444;4;5061;3;;2;2;4.44;1.44;0;0;0;0;6;6;;;3;;;1;;2;3.7;6;0.8;;3.98
MCOGER;2014;920100013;750712184;1;;;;0.78;1;26;1;936;198;8663;5;5;6;6;7;7;;0;;1;9;12;;;4;2;1;;;1;9.75;11.97;;;1.74
MCOGER;2014;920100021;750712184;1;1188;8;889;2.5;1;33;0;755;0;11378;5;;;;5;;0;0;0;0;14;17;;1;3;2;1;;;;15.6;17.8;;1;3
MCOGER;2014;920100039;750712184;1;241;0;;;1;12;;321;0;3778;0;;3;;1.7;;1;1;1;1;;;;;;;;;;;7;10;;;1.75
MCOGER;2014;920100047;750712184;1;9;0;6;0.3;1;18;1;785;152;10533;2;1;;;2;1;0;0;0;0;9;12;;;1;;;;;;9;12;;;1
MCOGER;2014;920100062;750712184;0;;;;;1;20;1;520;305;6614;4;4;;;3.75;3.75;1;1;1;1;8;10;;;;1;1;;;;7.9;10.7;;;
MCOGER;2014;930000286;930021480;1;1139;107;879;2.95;1;23;0;1504;0;8610;11;3;0;0;9.5;3;;;;;9;15;;1;9;2;;;;2;7.94;12.99;;0.4;8.16
MCOGER;2014;930000302;930110036;1;390;0;517;;1;34;2;993;32;11565;4;4;1;1;3.95;3.95;0;0;;;8;12;;;3;5;8;;;4;13.52;19.84;;;7.67
MCOGER;2014;930000328;930110051;1;235;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
