BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_A5;CANCERO_A6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2014;130783293;130786049;1;1;1;32468;27755;27492;1;;;;11164;0;8009;0;1603;0;0;0;;;;1006;17577;1667;0;689;1874;659;6;;27;;9;45;1;;0;;0;3.34;;26.93;;8.81;;;;;4224;9190;0;0;2;0;0;0;19725;0;8;0;5;17;0;1;3.26;8.37;67;26;4;0;18;18;2;3;0;6;74.15;27.58;4.98;0;21.36
CANCERO;2014;130783327;130001415;0;0;0;441;155;1191;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130783665;130043722;1;0;1;1038;943;568;1;;;;797;0;777;0;88;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;0;779;0;0;0;0;0;0;0;0;0;0;1;;1;;1.2;;1;;;;;1;;1;1;1;1.5;;0.2;0.1;0.8
CANCERO;2014;130783723;130001456;0;0;0;177;164;22;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130783772;130810336;0;0;0;180;144;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130784051;130037823;1;1;1;8404;7353;53047;1;;;;4417;0;7349;0;876;0;0;0;4;1;1;0;32760;1157;0;49;1590;48;;5;16;4;10;0;8;1;3;1;1;5;5.8;18.4;4.8;11.41;22;22;34;14;244;4349;617;89;;;;;1181;6322;;;;1;15;;3;1;24;9;1;1;2;3;3;;;1;25.41;9.2;1;0.95;2.97
CANCERO;2014;130784713;130038847;1;1;1;7279;6689;5952;1;;;;6769;0;6625;0;698;0;0;0;2;1;;1152;20541;284;0;0;980;0;;2;7;2;2;0;9;1;3;;2;2.4;2.8;9.4;2;3;;22;;;0;6766;0;0;0;0;0;0;0;0;0;0;1;;8;1;5;0.5;6;;1;1;2;1;;;;;5.1;;1;0.3;2
CANCERO;2014;130785389;130002173;0;0;0;188;50;644;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130785652;130014228;1;0;1;11609;9537;15860;1;;;;10214;270;9250;270;1071;34;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;0;8792;0;0;0;0;0;0;0;0;0;0;1;1;5;4;3.72;3.32;8;;;;11;3;;;;2;9.31;;;;9.11
CANCERO;2014;130785678;130002249;1;0;1;1984;1854;2297;1;;;;1891;0;1832;0;176;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;0;1829;0;0;0;0;0;0;0;0;0;0;;;4;2;2;1;3;;;;;;;1;;;3;;0.46;;
CANCERO;2014;130786445;130002488;0;0;0;166;19;491;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130786742;750821092;0;0;0;132;31;997;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;130804297;130786049;1;1;1;3579;2767;8657;1;;;;2835;0;1766;0;17;0;250;0;0;;0;0;0;34;0;0;2;0;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;0;6;0;1;0;3.73;43;23;0;0;11;9;4;0;0;1;33.55;17.6;0.67;0;8.49
CANCERO;2014;130810740;130007362;0;0;0;454;201;2085;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140000027;140000035;1;0;0;1304;1039;2203;1;;;;1282;10;1072;10;175;5;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140000209;140000100;1;0;1;10714;7784;25305;1;;;;9093;0;7452;0;1232;0;65;0;;;;;;;;;;;;;;;;;;;;;;;;;;;7;8;0;0;241;3035;0;0;237;1010;0;0;1001;0;996;0;;4;;2;;1.59;4;3;;;6;7;1;;;2;7.68;2.79;;;4.84
CANCERO;2014;140000233;140000118;1;0;0;166;42;1401;0;;;;22;1;0;1;20;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140000290;140000449;0;0;0;170;15;769;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140000373;140000159;1;0;0;450;428;95;1;;;;450;5;428;9;68;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140000555;140000639;1;1;1;74676;70953;163696;1;;;;18722;0;16696;0;2605;0;4;0;7;0;4;2663;50685;581;410;287;2583;396;14;7;40;5;6;27;1;1;4;0;;15.75;7.66;37.69;3.85;7.63;110;45;44;5;4136;18193;2264;1965;15;11;4;6;30477;9050;44;9;9;;2;;10.03;;143;73;1;3;;47;34;2;;;181.27;89.66;1.91;3.32;
CANCERO;2014;140004383;140000100;1;0;0;239;194;615;0;140000209;;;240;0;203;0;51;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140016759;140003146;1;0;1;5273;4229;7078;1;;;;4359;0;4106;0;480;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;0;4101;0;0;0;0;0;0;0;0;0;0;1;3;;;1;2;9;2;;;;5;1;1;1;0;10.38;2.34;0.5;0.5;0
CANCERO;2014;140017237;140003278;0;0;0;833;206;4141;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140018730;140000423;0;0;0;443;132;1623;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140024886;140000092;1;0;1;1934;1757;1243;1;;;;1756;0;1682;0;196;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;0;1709;0;0;0;0;0;0;0;0;0;0;;1;1;;0.6;1;2;;;;2;1;;;1;;2.82;;;0.5;0.27
CANCERO;2014;140026410;140026279;1;0;0;16;4;48;0;;;;9;0;9;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140026709;140000415;0;0;0;193;72;857;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;140027731;720020171;0;1;0;12410;;12410;0;;;;;;;;;;;;1;0;0;456;11954;0;0;0;428;0;1;;4;1;;0;;3;2;;2;1;2.45;5.6;1;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;150000032;150780088;1;0;0;490;372;1151;0;630000479;630780989;;418;0;367;0;48;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;150000040;150780096;1;0;1;2462;2136;4095;1;;;;2260;123;2097;135;248;9;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;0;2167;0;0;0;0;0;0;0;0;0;0;1;2;;1;0.66;1.55;4;3;;;2;4;3;1;;3;4.97;4.14;0.07;;3.25
CANCERO;2014;150780732;150000271;1;1;1;3231;2617;6562;1;;;;2468;0;2358;0;333;0;0;0;1;0;;0;8131;10;0;0;381;0;1;;3;;1;0;1;2;1;;3;1;1.6;3.8;;2.87;25;6;;;265;2374;;;;;;;3807;;;;1;;;;1;;6;5;;;3;2;0;;;2;7.3;5;;;4.15
CANCERO;2014;160000170;160000204;0;0;0;109;34;466;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;160000253;160000451;1;0;1;15060;14101;29206;1;;;;5033;0;4550;0;601;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;23;15;;;655;3805;0;0;0;0;0;0;6228;0;0;0;1;3;0;0;0.65;2.1;16;9;1;0;11;7;0;0;0;1;20.29;10.78;1.12;0;10.42
CANCERO;2014;160000279;160000212;0;0;0;209;76;1083;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;160013207;160001632;1;0;1;6294;5297;5188;1;;;;5118;0;4789;0;576;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;0;4788;0;0;0;0;0;0;0;0;0;0;1;;2;2;1.5;0.83;14;10;;;;;3;2;1;;14;11.8;0.83;0.34;
CANCERO;2014;160014650;160014643;0;1;0;;;;0;;;;;;;;;;;;2;0;0;989;20924;1008;;;926;0;1;2;8;2;5;;4;2;6;;2;3;3.5;12.1;2;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;160015368;160014411;1;0;1;1990;1863;1185;1;;;;1981;0;1857;0;192;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;15;10;;;534;2047;0;0;0;0;0;0;4983;0;0;0;2;;;;1.65;;6;8;;;2;;3;1;;;7.32;10.6;0.21;;1.27
CANCERO;2014;170000038;170780050;1;0;0;334;243;877;0;170000103;;;240;0;218;0;29;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;170000087;170023279;1;0;1;13591;11516;13298;1;;;;12399;4;11197;4;1646;3;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;30;21;;;1514;10756;0;0;0;0;0;0;9507;0;0;0;4;;5;;3.5;;29;12;2;;11;;4;;1;3;31.27;14.39;1.2;0.75;12.09
CANCERO;2014;170000095;170780167;0;0;0;61;7;699;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;170000103;170780175;1;1;1;26740;26124;6396;1;;;;6137;17;5979;30;701;9;18;0;2;0;;1665;18398;0;0;0;620;0;3;3;6;;4;0;0;;6;;;2.27;3;8.94;;3.07;4;14;;;1344;6212;0;0;1;0;0;0;11503;0;1;0;0;1;3;2;2.2;1.58;8;;1;1;2;4;;1;;1;9.9;;1.54;1.7;2.01
CANCERO;2014;170000129;170780191;1;0;0;2442;2321;1227;0;170000103;;;2431;0;2319;0;307;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;170000152;170780225;1;0;0;1197;852;2909;1;;;;993;0;828;0;154;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;170780563;170000251;0;0;0;1165;568;4541;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;170780613;170000277;1;0;0;1216;541;2847;0;170023279;;;248;;248;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;170780621;170000285;0;0;0;388;262;767;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;170780647;170000301;0;0;0;195;147;286;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;170780662;170024053;0;0;0;633;522;712;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;170783138;170000723;0;1;0;28635;28635;28635;0;;;;;;;;;;;;3;0;0;;28635;0;0;0;1337;0;4;3;14;3;8;0;1;0;0;0;6;4.8;3;14;3;12.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;180000010;180000028;1;0;0;3947;3282;6181;1;;;;3631;3;3227;5;403;3;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;180000200;180000051;1;0;0;1433;1330;1142;0;180004145;;;1356;0;1287;0;138;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;180000283;180000069;1;0;1;52;36;83;0;180004145;;;31;0;31;0;6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;30;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;;;;;;;;0.1;;;;
CANCERO;2014;180000358;180000739;1;0;1;802;689;1100;1;180004145;;;802;0;689;0;92;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;0;691;0;0;0;0;0;0;0;0;0;0;0;1;;1;;0.5;1;;;;;1;;1;;;1.6;;0.1;;
CANCERO;2014;180004145;180000887;1;1;1;4831;4166;4745;1;;;;4133;0;4079;0;559;0;0;0;0;1;1;0;29648;4747;25;0;38;0;;;;;;0;;;;;;;;;;;;12;10;;0;4316;111;0;0;0;0;0;0;679;0;0;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;180008278;750047367;1;0;0;7;0;400;0;;;;0;4;0;19;0;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;190000018;190000042;1;1;1;30159;28922;6790;1;;;;8501;0;7597;0;1197;0;0;0;3;0;;1106;20162;264;0;0;1070;0;3;3;14;1;2;0;1;;3;;;1.5;3;15.21;1;2;18;18;;;1502;8493;0;0;0;0;0;0;7339;0;0;0;6;1;1;3;5.88;2.63;26;18;1;1;15;1;3;;;2;26.42;20.08;1;0.44;13.51
CANCERO;2014;190000026;190000059;1;0;0;554;322;1676;0;190000042;;;313;3;313;3;55;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;190000091;190000075;1;0;0;804;621;1449;0;190000042;;;715;0;601;0;103;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;190000224;190000901;0;0;0;381;46;3172;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;190000257;190001131;0;0;0;716;322;2108;0;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;190010629;190010579;1;0;0;1142;0;2811;0;190000018;;;0;1110;0;1127;0;127;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;210003059;210987400;1;0;0;6;0;138;0;;;;0;6;0;12;0;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;210005559;210010773;0;1;0;18602;0;240;0;;;;;;;;;;;;2;0;2;830;17772;0;140;53;746;87;0;2;7;1;6;;4;0;2;0;6;2.3;2;8.6;1;10.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;210011847;210011839;1;1;1;5180;4579;5352;1;;;;4476;0;4316;0;453;0;0;0;1;;1;0;0;42;0;24;29;23;5;;;;;0;;;;;;4;;;;;;16;;;0;4451;0;0;0;0;0;0;0;0;0;0;2;;;;2;;;;;;;;;;;;;;;;
CANCERO;2014;210780110;210000022;0;0;0;160;111;228;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;210780136;210000030;0;0;0;263;51;1469;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;210780789;210003208;1;0;1;4713;4120;4555;1;;;;4078;0;3986;0;386;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;18;0;0;0;4528;0;0;0;0;0;0;0;0;0;0;;;4;10;1.45;1;4;1;;;;;;;;;4;1;;;
CANCERO;2014;210780979;210000295;0;0;0;108;11;935;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;210987558;210780581;1;0;1;14663;11498;29001;1;;;;12943;0;10869;0;1542;0;60;0;;;;;;;;;;;;;;;;;;;;;;;;;;;7;3;;;197;1011;0;0;177;992;0;0;1607;0;1487;0;;3;;;;1.96;15;5;1;;1;;;;;;13.82;4.5;0.5;;0.4
CANCERO;2014;210987657;210780714;1;0;0;1466;1225;1552;1;;;;1197;2;1063;7;125;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;210987699;210780706;1;0;0;420;334;1125;0;210780581;210780417;;332;0;324;0;35;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;210987731;210780417;1;1;1;46583;40203;61923;1;;;;16233;203;11031;241;2078;48;0;0;6;0;2;1539;27536;731;107;92;1562;97;5;5;17;3;16;14;2;1;1;;;5;4.93;17.8;3;16;99;25;40;5;6968;11186;1771;1163;1;0;0;3;21210;7235;2;0;11;;4;;12.68;;101;24;;1;60;7;2;3;;14;101.48;18.28;1.64;1;62.98
CANCERO;2014;220000012;220000020;1;0;0;7177;5965;10754;1;;;;6587;0;5867;0;847;0;13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;220000095;220000046;1;0;0;1291;1146;1176;0;350000022;;;1272;0;1133;0;161;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;220000111;220000376;1;0;1;2646;2348;1868;0;220000269;;;2126;0;2103;0;212;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;0;2025;0;0;0;0;0;0;0;0;0;0;;;4;1;1;0.2;2;0;0;0;0;2;0;1;0;1;3;0;0.2;0;0.1
CANCERO;2014;220000269;220000640;1;1;1;9348;8865;4126;1;;;;9221;0;8853;0;998;0;1;0;3;;;0;0;87;0;0;63;0;4;;;;;0;;;;;;4;;;;;33;7;;;753;8977;0;0;0;21;0;0;4118;0;0;0;3;;;;3;;;;;;;;;;;;;;;;
CANCERO;2014;220000301;220000673;0;0;0;1583;529;6295;0;220000269;;;396;0;394;0;76;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;220000343;220000079;1;0;1;229;109;1668;0;220000020;;;95;0;92;0;20;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;0;92;0;0;0;0;0;0;0;0;0;0;1;1;;;0.1;0.2;1;1;;;;;;;;;0.4;0.4;;;
CANCERO;2014;220000368;220000103;1;0;1;1587;1416;1078;1;;;;1539;13;1406;18;209;13;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;0;1462;0;0;0;0;0;0;0;0;0;0;1;1;;;1;1;3;1;1;;1;;;;;;2.32;0.14;0.2;;0.99
CANCERO;2014;220005599;220017842;1;0;0;824;460;1955;0;;;;134;0;134;0;24;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;220020697;220020895;0;1;0;29224;;29224;0;;;;;;;;;;;;3;0;0;1385;27909;0;142;0;1191;50;4;4;18;4;11;0;;;;;;4;4;18;4;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;230000820;230780041;1;1;1;5550;5325;10753;1;;;;1258;0;1211;0;139;0;0;0;1;0;;203;3891;27;0;0;197;0;2;2;4;;1;0;;;1;;1;1.5;1.5;4.8;;1.16;6;2;;;142;1207;0;0;0;0;0;0;2340;0;0;0;1;2;;;0.5;0.5;;;;;;;;;;;;;;;
CANCERO;2014;230780082;750005068;1;0;1;1307;1217;637;1;;;;1303;0;1205;0;159;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;0;1211;0;0;0;0;0;0;0;0;0;0;1;1;;;1;0.5;10;;1;;13;;;;;;3.02;;0.14;;2.47
CANCERO;2014;230780157;230000861;1;0;0;154;103;309;0;;;;12;0;12;0;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;230782617;750000218;1;0;0;105;105;105;0;230000820;;;0;105;0;105;0;18;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;240000190;240000596;1;0;1;7817;6869;6734;1;;;;6898;0;6727;0;863;0;0;0;;;;;17645;1275;;;;;;;;;;;;;;;;;;;;;;21;;;0;6726;0;0;0;0;0;0;0;0;0;0;2;;;;2;;;;;;;;;;;;;;;;
CANCERO;2014;240000208;240000612;0;0;0;320;45;1863;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;240000372;240000059;1;0;1;668;538;1197;0;240000117;;;596;0;520;0;81;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;541;0;0;0;0;0;0;0;0;0;0;;4;;;;0.35;3;1;;;;;;1;;;1.01;1;0.8;;
CANCERO;2014;240000489;240000117;1;0;1;3000;2495;5611;1;;;;2683;31;2443;42;332;7;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;0;955;0;0;0;0;0;0;0;0;0;0;;;7;;3.57;;4;2;1;0;1;0;0;0;0;1;2.31;1.25;0.4;0;1.64
CANCERO;2014;240011668;240000612;1;0;0;10;0;281;0;;;;0;7;0;9;0;6;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;250000114;900000365;0;0;0;900;149;8704;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;250000270;250000643;0;0;0;767;104;4065;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;250000700;250000452;1;0;1;1509;1288;1684;1;;;;1336;0;1255;0;159;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;0;0;1303;0;0;0;0;0;0;0;0;0;0;0;;4;;0.22;;2;;;;2;3;;;;2;2.31;;;;1.49
CANCERO;2014;250004009;900000365;1;1;1;32561;31963;44598;1;;;;9233;0;8678;0;1211;0;0;0;3;0;0;1027;22230;190;0;12;1071;11;3;;;;;0;3;;;;;2.76;;;;;24;25;;;969;8940;0;0;0;0;0;0;7412;0;0;0;1;;5;;3.3;;11;10;1;;21;13;4;;;17;22.92;11.08;1;;33.55
CANCERO;2014;250006954;250000015;1;1;1;45885;42366;88197;1;;;;16635;0;15024;0;2299;0;64;0;3;0;3;1177;25924;6;26;109;1196;122;0;2;11;;16;0;10;1;13;;12;5.62;3.85;21.19;;23.66;30;43;;;1585;16501;0;0;273;115;0;0;8259;0;917;0;0;4;16;12;5.21;9.57;18;13;;;12;31;13;2;;19;38.13;21.82;0.6;;15.81
CANCERO;2014;250011723;250017126;0;0;0;88;27;307;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2014;250011848;250017803;1;0;1;2382;1929;2982;0;250000015;;;1855;0;1854;0;193;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;0;1868;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;4;3;1;;1;1.74;0.79;0.34;;0.93
CANCERO;2014;260000013;260000021;1;0;1;8794;7082;14280;1;;;;7733;0;6790;0;986;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;;;0;6614;0;0;0;0;0;0;0;0;0;0;2;11;;1;2;11.5;16;7;;2;8;9;5;2;;6;23.65;12.09;1.35;0.98;12.85
CANCERO;2014;260000120;260016910;1;0;1;3013;2573;2987;1;;;;2733;0;2479;0;337;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;291;2625;0;0;0;0;0;0;555;0;0;0;1;;1;;1.8;;;;;;;;;;;;;;;;
