BOR;AN;FI;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_F10;BLOCS_G10;BLOCS_H10;BLOCS_I10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_F11;BLOCS_G11;BLOCS_H11;BLOCS_I11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_F12;BLOCS_G12;BLOCS_H12;BLOCS_I12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_F13;BLOCS_G13;BLOCS_H13;BLOCS_I13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_F14;BLOCS_G14;BLOCS_H14;BLOCS_I14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15;BLOCS_F15;BLOCS_G15;BLOCS_H15;BLOCS_I15
BLOCS;2014;2B0000079;2B0000046;1;4;;;;;;0;;0;;4;;;1;;;4;;;291;5330;5621;3561;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;11;91;102;41;;;;;;1;6;7;1;;;;;
BLOCS;2014;2B0000145;2B0000053;2;3;;1;;1;;2;;1;;8;;;2;;;12;;;3608;3138;6746;5375;;;;;;326;45;371;230;;;;;;18;0;18;0;;;;;;100;1;101;0;;;;;;1181;5273;6454;3153;;;;;;0;14;14;2;;;;;
BLOCS;2014;2B0000160;2B0000087;1;4;;;;;;1;;;;5;;1;1;;1;2;;1;563;607;1170;993;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;121;1479;1600;715;;;;;;0;0;0;0;;;;;
BLOCS;2014;2B0000392;2B0000129;2;3;;;;1;;1;;1;;6;;;1;;;5;;;1933;884;2817;2437;;;;;;1;0;1;1;;;;;;6;0;6;0;;;;;;4;0;4;0;;;;;;2309;2392;4701;3244;;;;;;0;223;223;2;;;;;
BLOCS;2014;300000023;300780046;1;5;;5;;0;;3;;0;;13;;;1;;;10;;;6371;3090;9461;4364;356;67;265;40;25;2375;530;2905;627;0;4;45;6;2;38;0;38;0;0;0;0;0;0;20;0;20;0;0;0;0;0;0;3612;1497;5109;1536;653;6;79;5;11;6;92;98;2;0;0;0;0;0
BLOCS;2014;300000031;300780053;2;5;1;1;1;1;;1;;1;;9;2;0;1;;;7;;;2175;893;3068;2286;;;;;;599;274;873;297;;;;;;2;0;2;0;;;;;;36;1;37;0;;;;;;1324;1632;2956;1733;;;;;;6;19;25;5;;;;;
BLOCS;2014;300002508;300000213;1;3;;0;;0;;1;;0;;4;;4;1;;1;6;;6;0;2533;2533;2533;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;2571;2571;2571;;;;;;0;4;4;4;;;;;
BLOCS;2014;300780137;920028396;1;6;;1;;1;;2;;1;;11;;;1;;;18;;;3315;3993;7308;5631;;;;;;3;78;81;46;;;;;;57;0;57;0;;;;;;101;1;102;0;;;;;;915;3141;4056;2589;;;;;;0;9;9;1;;;;;
BLOCS;2014;300780152;300000114;3;11;0;0;0;3;0;1;0;1;0;16;0;4;2;0;;21;0;;6904;5213;12117;9680;;;;;;0;0;0;0;;;;;;1659;0;1659;1432;;;;;;589;27;616;0;;;;;;674;334;1008;123;;;;;;25;1;26;0;;;;;
BLOCS;2014;300780228;300000155;1;3;;0;0;0;;1;;1;0;5;0;;1;;;4;;;421;1878;2299;1883;;;;;;0;6;6;5;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;167;1111;1278;679;;;;;;0;1;1;0;;;;;
BLOCS;2014;300781465;300000726;3;9;;1;1;;;2;;;;12;1;;1;;;12;;;3745;4296;8041;6098;;;;;;415;348;763;385;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;1121;3567;4688;3137;;;;;;43;154;197;18;;;;;
BLOCS;2014;300782117;300780038;;20;2;2;2;4;2;2;;0;;28;6;;4;;;28;;;14498;4823;19321;16320;5794;85;199;18;47;1390;612;2002;1255;260;21;31;2;5;1890;15;1905;59;4;6;40;4;4;561;16;577;0;5;5;3;2;2;4854;2632;7486;4361;6474;23;48;1;13;72;57;129;10;953;0;4;0;1
BLOCS;2014;300788502;300788486;1;16;;1;;;;4;;1;;22;;;3;;;27;;;8855;8033;16888;13811;;;;;;1105;482;1587;514;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;3859;9873;13732;8416;;;;;;14;86;100;7;;;;;
BLOCS;2014;310009279;310780671;1;4;;1;;0;;1;;0;;6;;;1;;;9;;;2106;2088;4194;3224;318;5;1;0;12;323;116;439;187;;7;15;;1;3;0;3;0;;;;;;0;0;0;0;;;;;;386;2967;3353;1844;;;;;;0;4;4;1;;;;;
BLOCS;2014;310016977;310781406;6;12;2;2;2;3;;0;;0;;17;4;;3;;;25;;;6367;3973;10340;7553;141;36;;22;8;3646;1157;4803;2292;;;;;;126;0;126;105;;;;;;30;6;36;0;;;;;;1009;649;1658;760;;;;;;20;107;127;0;;;;;
BLOCS;2014;310019351;310781406;1;6;0;;;1;;;;;;7;0;;1;;;9;;;3398;388;3786;2624;237;3;;4;0;0;0;0;0;;;;;;;0;0;0;;;;;;38;0;38;0;;;;;;3180;1304;4484;685;;;;;;58;242;300;0;;;;;
BLOCS;2014;310025333;310781406;;;;;;;;;;;;;;;;;;;;;918;268;1186;712;;;;;;0;0;0;0;;;;;;2;0;2;0;;;;;;2;0;2;0;;;;;;93;6;99;57;;;;;;4;3;7;0;;;;;
BLOCS;2014;310780085;310000021;1;4;;0;;0;;0;;0;;4;;;1;;;9;;;2356;5793;8149;5430;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;40;11;51;7;;;;;;3;6;9;0;;;;;
BLOCS;2014;310780101;310000039;2;13;;1;;1;;6;;1;;22;;;2;;;27;;;7477;10166;17643;11834;;55;38;17;35;285;376;661;431;;1;;;;23;1;24;0;;;;;;57;52;109;0;;;;;;3316;9640;12956;8128;;;;;2;23;225;248;129;;;;;
BLOCS;2014;310780135;310000054;2;8;;1;;1;;2;;0;;12;;;1;;;14;;;4991;5183;10174;9278;;;;;;2534;775;3309;1100;;;;;;25;0;25;0;;;;;;949;12;961;0;;;;;;552;4050;4602;2549;;;;;;7;31;38;20;;;;;
BLOCS;2014;310780150;310788799;1;12;;;;;;1;;1;;14;;;1;;;24;;;11110;13367;24477;22730;873;;;;;;;;12;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;141;776;917;596;44;;;;;18;53;71;15;;;;;
BLOCS;2014;310780259;310000096;4;8;2;0;0;5;2;1;0;0;;14;4;8;2;0;1;13;0;16;6584;5589;12173;8597;1794;4;13;2;;0;0;0;0;;;;;;4918;436;5354;3839;;2;69;2;;717;182;899;0;;;;;;3327;5551;8878;4931;;1;13;1;;13;1040;1053;3;;;0;;
BLOCS;2014;310780283;310000112;4;12;1;2;1;2;;2;1;;;18;3;10;4;1;1;18;7;19;18009;14285;32294;26346;;;;;;236;100;336;314;;;;;;84;1;85;0;;;;;;328;28;356;0;;;;;;2763;6907;9670;5533;;;;;;76;960;1036;1;;;;;
BLOCS;2014;310780309;310000120;2;9;2;1;;1;1;2;1;1;;14;4;;2;;;28;;;4374;4887;9261;6858;206;2;;;1;2;118;120;84;;;;;;713;6;719;594;75;4;;;;125;1;126;0;;;;;;1391;3014;4405;2223;19;;3;;;17;90;107;21;;;;;
BLOCS;2014;310780366;310000153;;1;;0;;1;;1;0;0;0;3;0;;1;0;;3;0;;8;7;15;2;;;;;;0;0;0;0;;;;;;1;0;1;0;;;;;;0;0;0;0;;;;;;248;1195;1443;807;;;;;;0;0;0;0;;;;;
BLOCS;2014;310780382;310000179;3;9;1;2;2;1;1;2;0;1;;15;4;;2;;;14;;;6736;4728;11464;9945;;;;;;2461;768;3229;1263;;;;;;9;0;9;0;;;;;;5;4;9;0;;;;;;2882;3523;6405;4204;;;;;;8;48;56;4;;;;;
BLOCS;2014;310781000;310788880;2;16;;0;;2;;4;;0;;22;;0;2;;;34;;;12678;8198;20876;17792;;45;26;22;32;4;21;25;24;;;;;;961;8;969;858;;2;1;;;244;3;247;0;;;;;;3317;9362;12679;6115;;5;;2;;43;798;841;21;;;;;
BLOCS;2014;310781067;310788898;2;4;;1;;0;;1;;0;;6;;;1;;;7;;;2889;1451;4340;3843;128;4;31;0;9;1480;12990;14470;1151;;13;13;8;10;0;0;0;0;;;;;;0;;0;0;;;;;;297;1023;1320;728;38;;2;;;;;;1;;;;;
BLOCS;2014;310781505;310000492;1;7;7;1;1;0;;2;;0;;10;8;;2;;;18;;;6757;4464;11221;9043;;;;;;174;328;502;309;;;;;;145;0;145;80;;;;;;212;11;223;0;;;;;;2384;6120;8504;4983;;;;;;14;7;21;8;;;;;
BLOCS;2014;310782347;310789136;4;6;1;0;0;0;0;1;0;3;0;10;1;0;1;;;16;;;3481;1886;5367;3088;671;1;0;0;0;0;0;0;0;;;;;;0;0;0;0;;;;;;3;0;3;0;;;;;;245;155;400;315;453;;;;;13;2;15;0;;;;;
BLOCS;2014;310783048;310781406;2;27;2;;;11;2;3;;1;;42;4;;4;;;54;;;18382;5781;24163;18862;;;;;;;0;0;2;;;;;;6;0;6;0;;;;;;235;4;239;0;;;;;;3724;1528;5252;2242;;;;;;86;106;192;3;;;;;
BLOCS;2014;310783055;310781406;10;18;1;;;12;2;4;1;1;;35;4;;5;1;;34;12;;14722;2084;16806;13697;;;;;;;0;0;9;;;;;;4501;10;4511;124;;;;;;1415;119;1534;0;;;;;;4754;1952;6706;3823;;;;;;138;33;171;68;;;;;
BLOCS;2014;320000086;320780117;1;5;;2;;0;;0;;0;;7;;;1;;;10;;;3057;882;3939;3324;123;0;8;2;8;558;224;782;395;53;10;15;1;11;67;1;68;0;;;;;;12;0;12;0;;;;;;1349;1541;2890;1322;;;;;;1;0;1;0;;;;;
BLOCS;2014;320780067;320000052;1;4;4;0;;0;;1;0;;;5;4;0;1;1;0;8;8;0;1737;2542;4279;3636;;4;1;0;1;3;66;69;39;;;;;;0;0;0;0;;;;;;111;6;117;0;;;;;;1284;2670;3954;2699;;;;;;14;8;22;0;;;;;
BLOCS;2014;320784333;320000565;1;0;;0;;0;;1;;1;;2;;;0;;;0;;;;;;;0;0;0;0;0;;;;;0;0;0;0;0;;;;;0;0;0;0;0;;;;;0;0;0;0;0;;;;;0;0;0;0;0;;;;;0;0;0;0;0
BLOCS;2014;330000332;330780545;1;1;;;;0;;1;;0;;2;;;1;;;4;;;31;124;155;19;38;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;3;0;3;0;;;;;;863;875;1738;1070;127;;;;;0;0;0;0;;;;;
BLOCS;2014;330000340;330780552;4;6;;1;1;1;;2;;1;;11;1;0;1;;;15;;;4384;4640;9024;7714;;5;2;6;;1494;584;2078;1003;;6;5;3;2;45;0;45;0;;;;;;399;288;687;0;;;;;;659;4379;5038;3156;;;;;;15;113;128;80;;;;;
BLOCS;2014;330000555;330781204;1;3;;1;;0;;1;;0;;5;;;1;;;8;;;1966;737;2703;2420;0;5;4;2;3;589;494;1083;496;26;6;8;4;5;48;0;48;5;0;0;0;0;0;102;0;102;0;14;0;0;0;0;524;480;1004;655;3;0;1;0;6;3;11;14;0;1;0;0;0;0
BLOCS;2014;330000571;330781220;1;2;1;1;1;0;0;1;1;1;0;5;3;2;1;1;1;6;6;3;1229;2134;3363;2134;;;;;;240;210;450;268;;;;;;25;0;25;1;;;;;;0;0;0;0;;;;;;271;1314;1585;996;;;;;;0;3;3;0;;;;;
BLOCS;2014;330000589;330027509;1;2;1;1;1;0;;1;;0;;4;2;;1;;;7;;;1993;703;2696;2201;85;7;1;3;7;443;302;745;335;0;2;;;;3;0;3;1;0;;;;;87;23;110;0;0;;;;;532;612;1144;622;76;;;;;4;15;19;0;0;;;;
BLOCS;2014;330000605;330781253;2;9;2;1;1;1;1;11;0;24;0;46;4;;1;1;1;18;4;;7214;4062;11276;7658;1634;17;7;11;19;846;538;1384;739;6;3;3;1;3;907;36;943;67;;;;;;448;20;468;0;;;;;;3659;1163;4822;2090;359;3;;5;;35;31;66;0;21;;;;
BLOCS;2014;330000662;330781329;4;4;0;0;0;1;0;1;0;1;0;7;0;;1;;;6;;;5016;1848;6864;4176;;;;;;0;0;0;0;;;;;;6;7;13;2;;;;;;75;0;75;0;;;;;;389;279;668;307;;;;;;23;3;26;0;;;;;
BLOCS;2014;330780040;330000027;4;10;;0;;;;1;;2;;13;;;2;;;20;;;5977;12747;18724;12833;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;2385;158;2543;2365;;;;;;28;22;50;17;;;;;
BLOCS;2014;330780081;330000043;;10;;;;2;;1;;1;;14;;;2;;;20;;;6471;1822;8293;7464;;;;;;0;0;0;0;;;;;;1826;4;1830;1233;;;;;;301;89;390;0;;;;;;1833;1353;3186;2224;;;;;;15;16;31;10;;;;;
BLOCS;2014;330780115;330000076;1;9;;0;;0;;1;;0;;10;;;1;;;14;;;8344;7232;15576;12398;1091;;1;;;10;55;65;65;1;;;;;0;1;1;1;;;;;;402;67;469;0;;;;;;765;3661;4426;2934;100;;1;;;16;176;192;111;;;;;
BLOCS;2014;330780206;330000126;1;4;;;;0;;1;;0;;5;;;1;;;8;;;2286;4825;7111;5178;;;;;;0;0;0;0;;;;;;11;1;12;0;;;;;;74;2;76;0;;;;;;645;2168;2813;2096;;;;;;3;11;14;13;;;;;
BLOCS;2014;330780255;330010059;2;5;0;0;0;0;0;1;0;1;0;7;0;0;1;0;0;9;0;0;2901;8535;11436;9476;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;429;4126;4555;3102;;;;;;0;4;4;3;;;;;
BLOCS;2014;330780263;330000134;2;7;0;1;1;0;0;2;0;0;0;10;1;0;2;0;;15;0;;5757;5187;10944;9344;0;;;11;9;596;286;882;573;0;;;6;13;0;0;0;0;0;0;0;0;0;116;4;120;0;0;0;0;0;0;1597;6381;7978;5080;0;0;0;0;0;5;31;36;0;0;0;0;0;0
BLOCS;2014;330780271;330021429;1;8;;;;;;;;;;8;;;1;;;14;;;5236;6089;11325;11290;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;
BLOCS;2014;330780354;330000225;1;0;;0;;2;1;2;;0;;4;1;;1;;;6;;;175;59;234;25;;;;;;0;0;0;0;;;;;;1759;255;2014;790;;;;;;60;1;61;0;;;;;;760;2770;3530;1835;;;;;;20;3;23;2;;;;;
BLOCS;2014;330780479;330000274;4;9;2;5;5;1;;2;;1;;18;7;0;2;;;30;;;6714;2856;9570;7590;;;;;;1378;420;1798;964;;;;;;135;2;137;73;;;;;;343;14;357;0;;;;;;2581;3721;6302;2872;;;;;;11;23;34;0;;;;;
BLOCS;2014;330780487;330000282;1;4;0;;;;;;;1;;5;0;0;1;0;0;8;0;0;1622;9374;10996;6535;1363;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;3;5;8;0;;;;;
BLOCS;2014;330780495;330796392;2;4;;;;;;1;;0;;5;;;1;;;6;;;1728;2234;3962;3253;;0;0;3;5;163;167;330;149;;1;1;0;0;0;0;0;0;;0;0;0;0;0;10;10;0;;0;0;0;0;272;704;976;439;;0;0;0;0;0;2;2;0;;0;0;0;0
BLOCS;2014;330780503;330000308;1;14;3;0;;1;1;1;1;;;16;5;;2;1;;29;6;;11522;13121;24643;22687;;;;;;162;61;223;160;;;;;;1254;1;1255;1172;;;;;;299;34;333;0;;;;;;655;1716;2371;1288;;;;;;1;2;3;0;;;;;
BLOCS;2014;330780511;330000316;;3;;;;;;1;;;;4;;;1;;;5;;;1760;2349;4109;2877;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;1116;3099;4215;2538;;;;;;0;3;3;0;;;;;
BLOCS;2014;330780529;330796392;2;8;;0;;0;;2;;0;;10;;;1;;;14;;;4270;4025;8295;7837;;3;0;3;10;1;0;1;1;;;0;0;0;0;0;0;0;;;0;0;0;10;0;10;0;;;0;0;0;1749;3476;5225;3373;;;0;0;0;2;1;3;0;;;0;0;0
BLOCS;2014;330780537;330000324;1;4;4;0;0;0;0;1;0;0;0;5;4;;1;1;0;8;8;0;2355;3188;5543;4163;57;1;83;1;23;195;140;335;225;0;2;5;2;3;43;0;43;0;0;0;0;0;0;7;0;7;0;0;0;0;0;0;880;1478;2358;1490;264;0;8;0;1;1;12;13;0;0;0;0;0;0
BLOCS;2014;330780560;330781386;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLOCS;2014;330781303;750821092;1;6;;0;;0;;1;;0;;7;;;1;;;12;;;3017;1102;4119;2959;388;16;2;6;27;0;0;0;0;0;0;0;0;0;11;0;11;6;0;0;0;0;0;3;0;3;0;0;0;0;0;0;1459;640;2099;911;0;0;0;0;0;5;3;8;0;0;0;0;0;0
BLOCS;2014;330781352;330781196;;4;;0;;;;3;;;;7;;;3;;;;;;3125;565;3690;2082;;;;;;0;0;0;0;;;;;;128;1;129;0;;;;;;347;37;384;0;;;;;;2453;1308;3761;1691;;;;;;98;14;112;11;;;;;
BLOCS;2014;330781360;330781196;8;52;;;;;;;;;;52;;2;;;;73;;;31120;12301;43421;33301;;;;;;2810;1807;4617;2537;;;;;;5;1;6;1;;;;;;1080;153;1233;0;;;;;;4173;1024;5197;3116;;;;;;130;217;347;49;;;;;
BLOCS;2014;330781402;330000670;;6;;0;;1;;1;;1;;9;;;1;;;16;;;4352;3192;7544;6609;;1;0;1;0;;;;;;;;;;;;;;;;;;;131;85;216;;;;;;;411;1930;2341;1228;;;;;;33;1;34;3;;;;;
BLOCS;2014;330782582;330000928;1;7;;1;1;1;;3;;1;;13;1;12;1;;;19;;;5778;5534;11312;9877;;;;;;293;458;751;648;;;;;;0;0;0;0;;;;;;2;0;2;0;;;;;;2756;6164;8920;5712;;;;;;2;51;53;1;;;;;
BLOCS;2014;330783648;330781196;;15;;;;;;;;6;;21;;;16;;;;;;9596;738;10334;7783;;;;;;0;0;0;0;;;;;;4404;22;4426;386;;;;;;648;274;922;0;;;;;;5147;1682;6829;2086;;;;;;62;22;84;4;;;;;
BLOCS;2014;340000033;340780055;2;7;7;2;1;1;1;2;2;1;;13;11;1;2;2;;18;18;;6573;2149;8722;6885;;;;;;929;884;1813;727;;;;;;148;2;150;4;;;;;;438;113;551;0;;;;;;2625;1275;3900;1797;;;;;;9;8;17;4;;;;;
BLOCS;2014;340000207;340780493;1;9;0;0;0;0;0;1;0;0;0;10;0;2;1;0;0;15;0;0;5844;2075;7919;5047;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;30;4;34;0;;;;;;438;405;843;378;;;;;;9;1;10;0;;;;;
BLOCS;2014;340000223;340011295;1;4;4;1;1;0;0;1;1;0;0;6;6;0;1;1;0;6;1;0;2883;984;3867;3439;0;2;31;3;12;617;480;1097;448;0;;;;;61;1;62;0;0;;;;;0;0;0;0;0;;;;;1038;1029;2067;1084;0;0;0;0;0;1;8;9;0;0;;;;
BLOCS;2014;340009885;340009877;1;5;5;1;1;1;1;1;1;1;1;9;9;;1;1;;12;12;;4806;5462;10268;7453;;0;0;0;3;349;316;665;570;;2;4;2;2;37;0;37;0;;1;;;;1;0;1;0;;;;;;266;2272;2538;1318;;;;;;1;24;25;6;;;;;
BLOCS;2014;340015502;340000512;2;9;1;0;;3;1;4;1;0;;16;3;7;2;;;20;;;6378;1121;7499;6642;;;;;;2;0;2;2;;;;;;1933;4;1937;1558;;;;;;660;113;773;0;;;;;;2196;7589;9785;5319;;;;;;40;432;472;24;;;;;
BLOCS;2014;340015965;340000074;1;12;;0;;0;;2;;0;;14;;;1;;;18;;;6723;5116;11839;9759;;;;;;6;0;6;6;;;;;;76;0;76;0;;;;;;184;11;195;0;;;;;;3785;5988;9773;6294;;;;;;27;80;107;24;;;;;
BLOCS;2014;340780139;340000090;2;10;;0;;0;;1;;1;;12;;;2;;;12;;;5546;4963;10509;8638;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;277;1107;1384;545;;;;;;2;12;14;0;;;;;
BLOCS;2014;340780147;340000108;1;3;1;0;;0;;1;;0;;4;1;1;2;;;6;;;788;992;1780;1006;;6;3;3;3;1;1;2;2;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;378;711;1089;447;;;;;;0;0;0;0;;;;;
BLOCS;2014;340780154;340000116;1;3;1;;;;;1;;;;4;1;;2;;;7;;;1197;4334;5531;2678;;3;4;2;2;3;0;3;3;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;597;2271;2868;1602;;;;;;18;196;214;5;;;;;
BLOCS;2014;340780436;340011295;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;89;93;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BLOCS;2014;340780568;340000256;1;;;;;;;1;;;;1;;;1;;;1;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;18;0;18;0;;;;;;0;0;0;0;;;;;
BLOCS;2014;340780634;340000272;1;13;;0;;0;;1;;1;;15;;;2;;;19;;;8580;8769;17349;14349;1469;56;12;44;93;0;0;0;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;691;3652;4343;2163;;;;;;18;494;512;10;;;;;1
BLOCS;2014;340780642;340785856;1;7;1;0;0;0;0;2;0;0;0;9;1;0;1;1;;12;1;;4698;3451;8149;5642;;;;;;3;0;3;3;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;1488;6612;8100;4741;;;;;;59;173;232;35;;;;;
BLOCS;2014;340780667;340000280;3;9;0;0;0;4;0;4;0;1;;18;0;0;3;0;;18;0;;6192;3789;9981;7540;;;;;;0;0;0;0;;;;;;744;18;762;641;;;;;;525;281;806;0;;;;;;2185;4326;6511;3093;;;;;;12;54;66;21;;;;;
BLOCS;2014;340780675;340000298;2;9;;1;1;0;;1;;0;;11;1;;2;1;;12;1;;5246;7168;12414;10009;;;;;;1622;968;2590;976;;;;;;0;0;0;0;;;;;;1;0;1;0;;;;;;453;3735;4188;2498;;;;;;6;170;176;63;;;;;
BLOCS;2014;340780683;340000306;;16;;7;7;1;;1;;1;;26;7;;3;;;25;;;7180;14340;21520;15300;;;;;;1457;1087;2544;1100;;;;;;1;0;1;0;;;;;;2;0;2;0;;;;;;105;529;634;482;;;;;;14;167;181;19;;;;;
BLOCS;2014;340780717;340008150;1;3;;1;1;;;1;;;;5;1;;1;;;8;;;1630;2597;4227;3213;;;;;;155;117;272;85;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;424;1305;1729;989;;;;;;0;;0;;;;;;
BLOCS;2014;340780725;340016864;1;4;;0;;0;;1;;0;;5;;;1;;;7;;;504;4694;5198;2899;;;;;;0;1;1;1;;;;;;0;0;0;0;;;;;;0;3;3;0;;;;;;95;3195;3290;1788;;;;;;0;5;5;0;;;;;
BLOCS;2014;340780741;340000348;3;5;1;1;1;1;0;0;0;0;;7;2;2;3;;;12;;;2150;5780;7930;4741;;;;;;101;235;336;196;;;;;;6;0;6;0;;;;;;6;0;6;0;;;;;;393;2695;3088;1765;;;;;;0;90;90;5;;;;;
BLOCS;2014;340782036;340780477;1;6;;0;;1;;6;;1;;14;;;1;;;10;;;4386;859;5245;3805;;;;;;0;0;0;0;;;;;;16;0;16;0;;;;;;353;6;359;0;;;;;;4010;2593;6603;2963;;;;;;84;6;90;3;;;;;
BLOCS;2014;340782085;340780477;1;15;;;;1;;1;;1;;18;;;1;;;17;;;7054;2358;9412;7564;;;;;;0;0;0;0;;;;;;4;0;4;1;;;;;;15;0;15;0;;;;;;1196;567;1763;885;;;;;;57;32;89;3;;;;;
BLOCS;2014;340785161;340780477;1;17;1;;;1;;1;;1;;20;1;;1;;;27;;;16538;4247;20785;16178;;;;;;0;0;0;0;;;;;;49;0;49;0;;;;;;163;1;164;0;;;;;;1973;457;2430;1578;;;;;;50;24;74;1;;;;;
BLOCS;2014;340796663;340780477;2;10;;2;;1;;2;;1;;16;;;2;;;14;;;4940;2131;7071;5503;;;;;;2855;1518;4373;1888;;;;;;2534;60;2594;261;;;;;;623;244;867;0;;;;;;1330;990;2320;479;;;;;;38;55;93;1;;;;;
BLOCS;2014;350000121;350000303;1;17;2;1;1;;;5;;3;;26;3;4;4;;;44;;;18611;16534;35145;30952;;;;;;632;281;913;804;;;;;;0;0;0;0;;;;;;473;239;712;0;;;;;;2846;7379;10225;8906;;;;;;17;127;144;60;;;;;
BLOCS;2014;350000139;350001137;1;10;;1;;0;;2;;0;;13;;2;1;;;15;;;5924;4648;10572;8762;;;;;;2359;223;2582;842;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;549;2683;3232;2791;;;;;;3;91;94;0;;;;;
BLOCS;2014;350000147;350000022;3;7;1;1;1;1;;1;;0;;10;2;0;1;1;;12;12;;4356;1785;6141;4497;30;18;14;10;18;759;386;1145;415;;;;;;818;3;821;2;;;;;;43;1;44;0;;;;;;1638;920;2558;997;;;;;;7;6;13;2;;;;;
BLOCS;2014;350000154;350000030;1;3;1;1;;0;;1;0;0;;5;1;;1;;;7;;;2147;1268;3415;2594;281;17;7;7;13;650;108;758;124;;9;20;2;1;0;0;0;0;;;;;;0;0;0;0;;;;;;812;1465;2277;1166;882;;;;;0;0;0;0;;;;;
BLOCS;2014;350000162;350000048;1;3;3;1;1;0;0;1;0;1;1;6;5;0;1;1;0;5;5;0;1647;841;2488;1891;42;;;;;337;118;455;132;0;;;;;0;0;0;0;0;;;;;0;0;0;0;0;;;;;360;625;985;574;1;;;;;2;2;4;1;0;;;;
BLOCS;2014;350000188;350000055;1;3;;1;;0;;3;;0;;7;;;1;;;6;;;1336;707;2043;1855;;4;2;0;2;584;120;704;299;;1;3;0;0;0;0;0;0;;;;;;0;0;0;0;;;;;;400;967;1367;828;;;;;;9;46;55;0;;;;;
BLOCS;2014;350000196;350000311;1;3;;;;3;;1;;0;;7;;;1;;;10;;;2849;4933;7782;5972;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;;;134;30;164;0;;;;;;1118;2175;3293;2541;;;;;;3;108;111;111;;;;;
BLOCS;2014;350000741;350005179;15;25;3;0;;8;2;5;;1;;39;5;3;6;1;;46;6;;17690;5230;22920;18717;4127;71;97;32;56;3;0;3;3;2;;;;;1879;9;1888;213;1;;3;1;4;1274;466;1740;0;125;3;4;;2;6227;1908;8135;4265;5093;14;26;9;11;116;265;381;28;718;;2;;
BLOCS;2014;350002192;220020739;1;4;;;;3;2;1;;1;;9;2;;1;;;8;;;2850;5565;8415;4807;;;;;;0;0;0;0;;;;;;1108;1;1109;903;;;;;;182;0;182;0;;;;;;658;1154;1812;812;;;;;;4;7;11;0;;;;;
BLOCS;2014;350002564;350046199;1;;;;;;;;;1;0;1;0;;;;;;;;;;;;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
