BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2014;160012159;860000348;N4100;;;0.5;;
DIALYSE_P;2014;160012159;860000348;NAUT;;;0.77;;
DIALYSE_P;2014;160012159;860000348;NCINF;2;1;2.38;;
DIALYSE_P;2014;170000087;170023279;M1110;4;2;4.42;0;0
DIALYSE_P;2014;170000087;170023279;N2500;8;3;10.54;;
DIALYSE_P;2014;170000087;170023279;NAUT;3;1;1.62;;
DIALYSE_P;2014;170000087;170023279;NCINF;14;17;24.66;;
DIALYSE_P;2014;170000103;170780175;M1110;3;0;0.8;0;1
DIALYSE_P;2014;170000103;170780175;N2500;6;3;7.98;;
DIALYSE_P;2014;170000103;170780175;N4100;1;;0.12;;
DIALYSE_P;2014;170000103;170780175;NAUT;1;;0.31;;
DIALYSE_P;2014;170000103;170780175;NCINF;12;8;16.55;;
DIALYSE_P;2014;170785059;170000988;M1110;;2;0.34;0;0
DIALYSE_P;2014;170785059;170000988;NCINF;3;3;4.5;;
DIALYSE_P;2014;170792212;170000988;M1110;;3;0.08;0;0
DIALYSE_P;2014;170792212;170000988;NCINF;5;2;6;;
DIALYSE_P;2014;170794929;170000988;M1110;;3;0.08;0;0
DIALYSE_P;2014;170794929;170000988;NCINF;3;;3;;
DIALYSE_P;2014;170795165;170000988;M1110;;3;0.08;0;0
DIALYSE_P;2014;170795165;170000988;NCINF;;2;1;;
DIALYSE_P;2014;170802656;170000988;M1110;;2;0.34;0;0
DIALYSE_P;2014;170802656;170000988;NCINF;1;1;1.5;;
DIALYSE_P;2014;170804090;170000988;M1110;;2;0.34;0;0
DIALYSE_P;2014;170804090;170000988;NCINF;1;;1;;
DIALYSE_P;2014;180000010;180000028;M1110;4;2;2.75;1;0
DIALYSE_P;2014;180000010;180000028;N2500;5;2;6.6;;
DIALYSE_P;2014;180000010;180000028;NAUT;;3;1.2;;
DIALYSE_P;2014;180000010;180000028;NCINF;13;4;15.7;;
DIALYSE_P;2014;180005662;370001067;M1110;;;0.29;0;1
DIALYSE_P;2014;180005662;370001067;N4100;;;0.32;;
DIALYSE_P;2014;180005662;370001067;NAUT;;;0.13;;
DIALYSE_P;2014;180005662;370001067;NCINF;1;4;4.07;;
DIALYSE_P;2014;180005811;370001067;M1110;;;0.05;0;0
DIALYSE_P;2014;180005811;370001067;N4100;;;0.1;;
DIALYSE_P;2014;180005811;370001067;NAUT;;;0.04;;
DIALYSE_P;2014;180005811;370001067;NCINF;1;1;0.77;;
DIALYSE_P;2014;180005829;370001067;M1110;1;1;1.08;0;1
DIALYSE_P;2014;180005829;370001067;N4100;;;0.79;;
DIALYSE_P;2014;180005829;370001067;NAUT;;;0.32;;
DIALYSE_P;2014;180005829;370001067;NCINF;8;4;10.03;;
DIALYSE_P;2014;180006397;370001067;M1110;;;0.08;0;1
DIALYSE_P;2014;180006397;370001067;N4100;;;0.18;;
DIALYSE_P;2014;180006397;370001067;NAUT;;;0.07;;
DIALYSE_P;2014;180006397;370001067;NCINF;1;1;1.45;;
DIALYSE_P;2014;180008476;330057597;M1110;3;;3;;
DIALYSE_P;2014;180008476;330057597;N4100;1;;0.2;;
DIALYSE_P;2014;180008476;330057597;NCINF;1;;1;;
DIALYSE_P;2014;190000018;190000042;M1110;3;1;1.1;;
DIALYSE_P;2014;190000018;190000042;N2500;4;;3.85;;
DIALYSE_P;2014;190000018;190000042;NAUT;5;;5;;
DIALYSE_P;2014;190000018;190000042;NCINF;14;3;16.37;;
DIALYSE_P;2014;190010512;870000700;NCINF;;3;2.41;;
DIALYSE_P;2014;190010553;870000700;M1110;1;3;1.52;0;1
DIALYSE_P;2014;190010553;870000700;NAUT;2;2;2.48;;
DIALYSE_P;2014;190010553;870000700;NCINF;17;3;18.35;;
DIALYSE_P;2014;210001483;670005834;NCINF;0;3;1;;
DIALYSE_P;2014;210001889;670005834;M1110;1;5;2.1;0;1
DIALYSE_P;2014;210001889;670005834;NCINF;18;1;18.5;;
DIALYSE_P;2014;210001939;670005834;M1110;1;5;2.1;0;1
DIALYSE_P;2014;210001939;670005834;NCINF;18;1;18.5;;
DIALYSE_P;2014;210780789;210003208;M1110;;3;1.47;0;0
DIALYSE_P;2014;210780789;210003208;N2500;1;;1;;
DIALYSE_P;2014;210780789;210003208;N4100;1;;1;;
DIALYSE_P;2014;210780789;210003208;NAUT;2;;2;;
DIALYSE_P;2014;210780789;210003208;NCINF;21;2;22.49;;
