BOR;AN;FI;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFPL_PM;EFFPA_PM;ETP_PM;GAR_PM;AST_PM;EFFPL_NEU;EFFPA_NEU;ETP_NEU;GAR_NEU;AST_NEU;EFFPL_PNM;EFFPA_PNM;ETP_PNM
MCOAVC;2014;380000067;380780080;1;28;695;8102;4;1;3.29;1;0;3;1;2.63;1;0;36;7;39.18
MCOAVC;2014;380000174;380781435;1;15;508;3920;4;1;1.6;0;1;3;1;1.22;0;1;27;18;18.79
MCOAVC;2014;390000040;390780146;1;3;350;718;;3;0.78;0;1;;1;0.06;0;1;1;43;23.77
MCOAVC;2014;400000105;400780193;1;16;609;5232;;6;1.07;0;1;;6;1.07;0;1;22;14;25.3
MCOAVC;2014;400000139;400011177;1;16;577;4261;4;1;4.2;0;1;4;;4;0;1;35;7;27.42
MCOAVC;2014;420785354;420784878;1;23;699;7867;3;;2.93;0;1;2;;2;0;1;36;10;37.52
MCOAVC;2014;440000016;440000057;1;14;595;4111;5;;5;;;5;;5;0;1;2;31;25.66
MCOAVC;2014;440017598;440000289;1;6;914;1810;8;;2.7;1;0;8;;2.7;1;0;21;13;30.23
MCOAVC;2014;450002613;450000088;1;16;917;4509;3;0;1.5;0;1;1;0;0.4;0;1;31;17;31.46
MCOAVC;2014;460000110;460780216;1;12;566;2576;2;0;2;0;1;2;0;2;0;1;27;3;29.3
