BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2014;820000057;820000131;SURVADU;12;4380;768;;;4097;;;;5;;5;1;1;7.33;8;1;1.33;4;1;4.3;;1;0.4;1;2;1.75
REA;2014;820000057;820000131;USIC;8;2920;1044;;;2455;;;;7;;7;;1;5.03;6;;0.5;7;;6.85;;;;;;
REA;2014;830000279;830100517;SURVADU;6;6;461;;;1603;;;;5;3;1.03;1;1;13.61;12;2;1.3;5;2;5.1;;;;;1;1
REA;2014;830000287;830100525;REAADU;8;2920;305;312;14;2448;14;;86;6;;3.59;;3;19.13;;33;1.5;;22;13.6;;;;6;;3.6
REA;2014;830000287;830100525;SURVADU;6;2190;381;;;1285;;;;6;;2.42;;2;10.21;;33;0.7;;22;7.19;;;;6;;1.94
REA;2014;830000295;830100533;REAADU;6;1796;277;290;14;1602;17;;91;6;1;2.85;;1;14.54;10;6;0.6;8;3;9.25;;2;0.48;5;1;3.22
REA;2014;830000295;830100533;SURVADU;4;2114;314;;;1859;;;;6;1;1.43;;1;5.33;3;3;0.4;4;3;3.15;;;;1;1;1.52
REA;2014;830000311;830100566;REAADU;8;2920;484;494;40;2440;12;;123;5;1;3.27;1;;20.58;13;9;1;11;1;11.5;;;;;5;5
REA;2014;830000311;830100566;SITOT;6;2190;656;;;1590;;;;;;;;;;;;;;;;;;;;;
REA;2014;830000311;830100566;SURVADU;8;2920;832;;;2394;;;;8;;2.1;;;13.01;10;3;;5;1;5.5;;;;;1;1
REA;2014;830000311;830100566;USIC;6;2190;656;;;1590;;;;3;1;1;1;;7.62;7;1;0.6;4;;4;;;;;3;3
REA;2014;830000345;830100616;REAADU;16;5840;1106;1164;54;5644;11;;229;8;1;8.19;1;1;48.45;46;3;1.36;25;0;24.93;;;;6;8;11.2
REA;2014;830000345;830100616;SITOT;20;7300;2191;;;6717;;;;;;;;;;;;;;;;;;;;;
REA;2014;830000345;830100616;SIUNV;4;1460;508;;;1280;;;;2;;0.8;0;0;6.62;5;2;0.2;3;0;3.72;;;;;;0.87
REA;2014;830000345;830100616;SURVADU;8;2920;696;;;2775;;;;;;;;;5.92;6;;;7;;6.87;;;;1;;1.5
REA;2014;830000345;830100616;SURVENF;4;1460;434;;;1000;;;;;;;2;2;2.42;2;1;3.72;4;3;6.63;;;;;;0.35
