BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2014;020005476;020000253;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020005476;020000253;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020005476;020000253;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020005476;020000253;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020005476;020000253;2500;;;0.82;;0.82;0.92;14.79;;13.79;8.81;0.18;;0.29;38.78;0.04;0.2;0.24;;0.32;40.16
Q24;2014;020005476;020000253;9999;;;0.82;;0.82;0.92;14.84;;13.79;8.82;0.18;;0.31;38.86;0.04;0.21;0.25;;0.34;40.27
Q24;2014;020006441;590799995;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006441;590799995;2000;;;;;;0.09;;;;;;;;0.09;;;;;0.09;0.18
Q24;2014;020006441;590799995;2100;;;;;;0.09;;;;;;;;0.09;;;;;0.09;0.18
Q24;2014;020006441;590799995;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006441;590799995;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006441;590799995;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006441;590799995;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006441;590799995;9999;;;;;;0.09;;;;;;;;0.09;;;;;0.09;0.18
Q24;2014;020006664;020000063;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006664;020000063;2000;;;5.7;;5.7;9.41;87.94;0.75;;15.85;3.5;;;117.45;;;;;0.41;123.56
Q24;2014;020006664;020000063;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006664;020000063;2200;;;5.7;;5.7;9.41;87.94;0.75;;15.85;3.5;;;117.45;;;;;0.41;123.56
Q24;2014;020006664;020000063;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006664;020000063;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006664;020000063;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020006664;020000063;9999;;;5.7;;5.7;9.41;87.94;0.75;;15.85;3.5;;;117.45;;;;;0.41;123.56
Q24;2014;020009684;020002085;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020009684;020002085;2000;0.05;;1.37;;1.42;0.2;3.9;;13.57;5;0.16;;0.33;23.16;0.43;;0.43;0.16;3.9;29.07
Q24;2014;020009684;020002085;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020009684;020002085;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020009684;020002085;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020009684;020002085;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020009684;020002085;2500;0.05;;1.37;;1.42;0.2;3.9;;13.57;5;0.16;;0.33;23.16;0.43;;0.43;0.16;3.9;29.07
