BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2014;680001195;680016011;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;680001245;680000973;1;1;50;10;2313;4577;9872;12;12;7;7;4.1;4.1;1;1;0;0;10;7;31;;;14;15;9;8;;;20.3;15;14.05;38.15;;;23.35
MCOPED;2014;680004546;680000486;1;0;13;;0;1118;1601;3;0;0;0;0.6;0;1;;0;;2;2;3;;;6;2;3;;1;;3.6;7;4.1;3;0.01;;7.81
MCOPED;2014;690000575;690782222;1;0;39;4;1011;3723;9302;7;7;9;8;3.92;3.86;1;;0;;10;7;10;;;6;10;6;6;;;16.38;2;9.19;13.15;;;5.86
MCOPED;2014;690000880;690783220;1;0;18;;;;;3;3;5;5;5.58;5.58;0;0;1;1;16;2;11;0;0;10;4;3;2;0;2;17.45;1;3.93;10.62;0;0.97;8.97
MCOPED;2014;690007539;690781810;1;1;219;63;15587;13725;52994;6;23;23;41;20.53;50.51;1;1;1;1;128;58;;3;1;204;36;31;;2;8;146.51;54;80.49;;4.71;7.3;234.63
MCOPED;2014;690019849;690781810;1;0;27;12;2018;632;2719;1;3;;1;0.17;2.16;0;0;1;1;15;1;;;;11;3;;;;;16.65;1;1;;;;11.07
MCOPED;2014;690780382;690006598;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;690784178;690781810;1;0;0;5;1071;0;0;;;;;0.3;0.1;0;0;0;0;;;;;;;;;;;;0.46;1;;;;0.05;0.72
MCOPED;2014;690784186;690781810;1;0;19;0;0;619;6255;;;;;2.73;0.65;1;0;1;0;;;;;;;;;;;;20.34;;7.67;;;;15.01
MCOPED;2014;690807599;690006598;1;0;12;0;0;624;2456;1;1;4;4;2.93;2.93;0;0;1;1;3;3;8;;;1;1;1;3;;1;3.17;1;3.43;10.13;;0.29;0.92
MCOPED;2014;700000029;700004591;1;0;6;6;492;2704;5195;1;;;;1;;0;0;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2014;710010067;710780644;1;0;12;0;0;1131;2272;;;1;;0.6;;;;;;3;2;10;;;1;3;;4;;;6;;2;6.77;;;1
MCOPED;2014;710010786;710781451;1;0;5;;0;311;913;0;0;2;1;2.04;1.97;0;0;1;1;0;0;0;0;0;0;8;0;4;4;0;2.13;23;0;1.14;0.3;0;4.55
MCOPED;2014;710978263;710780958;1;0;18;;0;2252;4160;4;4;2;2;1;1;1;;0;;11;8;7;;;6;1;1;2;;2;9.96;;7.18;8.46;;0.58;5.84
MCOPED;2014;710978289;710780263;1;1;16;0;155;1635;3839;7;7;3;2;5.63;5.42;;;;;8;8;9;;;4;1;5;8;;;6.46;2;13.04;13.48;;;4.56
MCOPED;2014;710978347;710781204;1;0;15;;0;738;1653;1;1;1;1;1.77;1.77;0;0;1;0;3;;4;;;;1;;;;;3.03;2;;4;;;1.5
MCOPED;2014;720000033;720000025;1;1;68;13;1786;6483;14606;3;;16;13;6.95;3.45;1;;0;;17;5;18;0;0;6;26;4;30;0;0;33.29;7;8.24;38.83;0;0;10.28
MCOPED;2014;720016179;720016724;1;;8;;425;769;1960;2;2;2;2;2.5;2.5;1;1;0;0;;1;3;;1;7;3;3;2;;2;2.63;2;4.16;3.68;;0.8;7.08
MCOPED;2014;730000031;730000015;1;1;40;8;460;4090;9536;8;0;8;0;7.26;0;;;;;21;23;0;0;1;53;5;4;0;0;1;19.9;22;20.3;0;0;1.25;50.5
MCOPED;2014;730000080;730780103;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;730000262;730002839;1;0;14;0;0;1452;2985;4;4;2;2;2.2;2.2;0;0;1;1;1;0;2;;;3;9;12;15;;;6.15;6;7.95;8.82;;;7.14
