BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2014;060791811;750826638;N2200;1;1;1.96;;
BLOCS_P;2014;060791811;750826638;N2510;;1;0.3;;
BLOCS_P;2014;060791811;750826638;N4160;1;;0.4;;
BLOCS_P;2014;060794013;060790797;M100H;10;2;10.55;0;1
BLOCS_P;2014;060794013;060790797;M1030;5;;5;1;1
BLOCS_P;2014;060794013;060790797;M200H;3;;3;0;1
BLOCS_P;2014;060794013;060790797;N2200;3;15;8.46;;
BLOCS_P;2014;060794013;060790797;N2310;2;1;3.05;0;1
BLOCS_P;2014;060794013;060790797;N2510;;;;0;1
BLOCS_P;2014;060794013;060790797;N4160;;1;0.27;0;1
BLOCS_P;2014;060794013;060790797;NAUT;;4;1.09;0;1
BLOCS_P;2014;060800166;060780608;M1030;10;;10;0;1
BLOCS_P;2014;060800166;060780608;M200H;21;16;29;0;1
BLOCS_P;2014;060800166;060780608;N2200;10;1;10.87;0;1
BLOCS_P;2014;060800166;060780608;N2320;3;1;2.8;0;1
BLOCS_P;2014;060800166;060780608;N2510;2;;2;0;1
BLOCS_P;2014;060800166;060780608;N4130;;3;1.8;0;1
BLOCS_P;2014;060800166;060780608;N4160;1;1;1.8;0;0
BLOCS_P;2014;060800166;060780608;NAUT;13;;13;0;0
BLOCS_P;2014;070000013;070002878;M100H;1;;0.4;0;1
BLOCS_P;2014;070000013;070002878;M1030;2;;2;;1
BLOCS_P;2014;070000013;070002878;M200H;9;;2;0;1
BLOCS_P;2014;070000013;070002878;N2200;4;1;4.8;0;1
BLOCS_P;2014;070000013;070002878;N2310;4;;3.29;0;1
BLOCS_P;2014;070000013;070002878;N2320;7;;7;0;1
BLOCS_P;2014;070000013;070002878;N4160;1;;1;0;0
BLOCS_P;2014;070000013;070002878;NAUT;5;;4.51;;
BLOCS_P;2014;070000096;070780184;M1030;1;1;1.8;1;
BLOCS_P;2014;070000096;070780184;N2200;1;;0.2;;
BLOCS_P;2014;070000096;070780184;N2510;1;;0.2;;
BLOCS_P;2014;070000179;070780358;M100H;1;0;0.19;0;0
BLOCS_P;2014;070000179;070780358;M1030;6;0;5.66;1;0
BLOCS_P;2014;070000179;070780358;M200H;6;0;6;0;1
BLOCS_P;2014;070000179;070780358;N2200;5;7;9.76;0;0
BLOCS_P;2014;070000179;070780358;N2310;5;4;6.77;0;0
BLOCS_P;2014;070000179;070780358;N2320;3;7;8.6;0;0
BLOCS_P;2014;070000179;070780358;N2510;7;1;5.79;0;0
BLOCS_P;2014;070000179;070780358;NAUT;8;3;2.79;0;0
BLOCS_P;2014;070000609;070005566;M100H;0;0;0.02;;
BLOCS_P;2014;070000609;070005566;M1030;5;1;6.21;;
BLOCS_P;2014;070000609;070005566;N2200;8;3;10.61;;
BLOCS_P;2014;070000609;070005566;N2310;7;1;8.36;;
BLOCS_P;2014;070000609;070005566;N2320;7;1;8.17;;
BLOCS_P;2014;070000609;070005566;N2510;3;1;4.06;;
BLOCS_P;2014;070000609;070005566;NAUT;0;0;0.03;;
BLOCS_P;2014;070780168;070000088;M100H;;11;1.74;;
BLOCS_P;2014;070780168;070000088;M1030;1;4;3;;1
BLOCS_P;2014;070780168;070000088;M200H;4;1;4.5;;1
BLOCS_P;2014;070780168;070000088;N2200;7;;7;;1
BLOCS_P;2014;070780168;070000088;N2310;1;1;1.8;;1
BLOCS_P;2014;070780168;070000088;N2320;2;;2;;1
BLOCS_P;2014;070780168;070000088;N2510;3;1;3.5;1;1
