BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2014;080000425;080000615;N280H;6;7;10.93;;;;
PERINAT_P;2014;090000175;090781774;M1030;9;;0.78;1;0;0;0
PERINAT_P;2014;090000175;090781774;M1140;3;;0.38;0;1;;
PERINAT_P;2014;090000175;090781774;M2050;4;2;3.25;0;1;;
PERINAT_P;2014;090000175;090781774;N2340;6;5;3.82;;;;
PERINAT_P;2014;090000175;090781774;N2800;19;17;17.69;;;;
PERINAT_P;2014;090000183;090781816;M1030;1;;0.11;;;;
PERINAT_P;2014;090000183;090781816;M2050;3;;1.9;0;1;;
PERINAT_P;2014;090000183;090781816;N2800;7;1;8;;;;
PERINAT_P;2014;090000183;090781816;N280H;7;1;7.2;;;;
PERINAT_P;2014;090001629;090780107;M1140;;1;0.17;0;0;;
PERINAT_P;2014;090001629;090780107;M2050;;1;0.06;0;0;;
PERINAT_P;2014;090001629;090780107;N2800;;2;0.38;;;;
PERINAT_P;2014;090001629;090780107;N3120;1;;0.16;;;;
PERINAT_P;2014;100000082;100001148;M1030;2;;2;;1;0;0
PERINAT_P;2014;100000082;100001148;M2050;;1;0.2;0;0;;
PERINAT_P;2014;100000082;100001148;MIVG;;1;0.2;;;;
PERINAT_P;2014;100000090;100000017;M1030;1;;1;1;0;;
PERINAT_P;2014;100000090;100000017;M1140;7;1;5.55;0;1;;
PERINAT_P;2014;100000090;100000017;M2050;8;2;3.3;1;1;;
PERINAT_P;2014;100000090;100000017;MIVG;2;1;0.57;;;;
PERINAT_P;2014;100000090;100000017;N2340;13;9;19.34;;;;
PERINAT_P;2014;100000090;100000017;N2700;1;1;1.47;;;;
PERINAT_P;2014;100000090;100000017;N2800;29;15;38.95;;;;
PERINAT_P;2014;100000090;100000017;N280H;25;13;13.93;;;;
PERINAT_P;2014;100000199;100006279;M1030;1;1;1.5;;;;
PERINAT_P;2014;100000199;100006279;M1140;1;3;1.3;0;1;;
PERINAT_P;2014;100000199;100006279;M2050;1;3;2.3;0;1;;
PERINAT_P;2014;100000199;100006279;MIVG;;2;0.2;;;;
PERINAT_P;2014;100000199;100006279;N2340;1;;0.5;;;;
PERINAT_P;2014;100000199;100006279;N2800;9;4;6.74;;;;
PERINAT_P;2014;100000199;100006279;N280H;;;1;;;;
PERINAT_P;2014;100002351;100000561;M1030;5;;5;0;0;;
PERINAT_P;2014;100002351;100000561;M1140;2;;2;0;0;;
PERINAT_P;2014;100002351;100000561;M2050;5;;5;0;0;;
PERINAT_P;2014;100002351;100000561;N2700;1;;1;;;;
PERINAT_P;2014;100002351;100000561;N2800;10;;10;;;;
PERINAT_P;2014;100002351;100000561;N280H;1;;1;;;;
PERINAT_P;2014;110000023;110780061;M1030;;3;2.65;1;0;1;0
PERINAT_P;2014;110000023;110780061;M1140;;3;1.25;0;1;;
PERINAT_P;2014;110000023;110780061;M2050;4;7;9.02;1;0;;
PERINAT_P;2014;110000023;110780061;MIVG;;3;0.58;;;;
PERINAT_P;2014;110000023;110780061;N2340;9;1;10.57;;;;
PERINAT_P;2014;110000023;110780061;N2700;;2;1;;;;
PERINAT_P;2014;110000023;110780061;N2800;28;15;39.54;;;;
PERINAT_P;2014;110000023;110780061;N280H;28;15;12.4;;;;
PERINAT_P;2014;110000023;110780061;N3120;;2;0.26;;;;
PERINAT_P;2014;110000049;110780087;M2050;1;;0.08;;;;
PERINAT_P;2014;110000049;110780087;N2800;1;;1;;;;
PERINAT_P;2014;110000056;110780137;M1030;9;1;1.8;0;1;0;0
PERINAT_P;2014;110000056;110780137;M1140;4;1;0.9;0;1;;
PERINAT_P;2014;110000056;110780137;M2050;3;1;3.4;0;1;;
PERINAT_P;2014;110000056;110780137;N2340;1;;0.28;;;;
PERINAT_P;2014;110000056;110780137;N2800;10;7;16.4;;;;
PERINAT_P;2014;110000056;110780137;N280H;9;7;15.4;;;;
PERINAT_P;2014;110780228;110000114;M1030;6;;6;0;1;;0
PERINAT_P;2014;110780228;110000114;M1140;1;;1;0;1;;
PERINAT_P;2014;110780228;110000114;M2050;3;;3;0;1;;
PERINAT_P;2014;110780228;110000114;MIVG;3;;3;;;;
PERINAT_P;2014;110780228;110000114;N2340;;1;0.85;;;;
PERINAT_P;2014;110780228;110000114;N2800;11;3;11.85;;;;
PERINAT_P;2014;110780228;110000114;N280H;11;;5;;;;
PERINAT_P;2014;110780228;110000114;N3120;;1;0.1;;;;
PERINAT_P;2014;120000039;120780044;M1030;1;;1;0;;;
PERINAT_P;2014;120000039;120780044;M1140;6;1;6.8;;1;;
PERINAT_P;2014;120000039;120780044;M2050;6;;5.67;;1;;
PERINAT_P;2014;120000039;120780044;MIVG;2;;0.9;;;;
