BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJ3M;SEJHP;JOUHP
SSR;2014;050000041;130037815;SSR_TOT;;120;15;0;861;33333;;380;6013
SSR;2014;050000058;050000033;SSR_A;;62;;;471;17341;0;0;0
SSR;2014;050000058;050000033;SSR_A50;1;62;;0;471;17341;0;0;0
SSR;2014;050000058;050000033;SSR_TOT;;62;;0;471;17341;0;0;0
SSR;2014;050000066;050000082;SSR_A;;60;;;540;18870;0;;
SSR;2014;050000066;050000082;SSR_A50;1;60;;0;540;18870;0;;
SSR;2014;050000066;050000082;SSR_TOT;;60;;0;540;18870;0;;
SSR;2014;050000256;050000124;SSR_A;;34;;;294;10281;;;
SSR;2014;050000256;050000124;SSR_A50;1;20;;0;169;5842;;;
SSR;2014;050000256;050000124;SSR_A59;1;14;;0;125;4439;;;
SSR;2014;050000256;050000124;SSR_TOT;;34;;0;294;10281;;;
SSR;2014;050000298;050000496;SSR_E;;53;;;233;15108;;;
SSR;2014;050000298;050000496;SSR_E54;1;53;;0;233;15108;;;
SSR;2014;050000298;050000496;SSR_TOT;;53;;0;233;15108;;;
SSR;2014;050000306;050000538;SSR_E;;78;;;336;13442;;;
SSR;2014;050000306;050000538;SSR_E54;1;78;;0;336;13442;;;
SSR;2014;050000306;050000538;SSR_TOT;;78;;0;336;13442;;;
SSR;2014;050000330;050007145;SSR_A;;12;;;85;3477;;;
SSR;2014;050000330;050007145;SSR_A50;1;12;;0;85;3477;;;
SSR;2014;050000330;050007145;SSR_TOT;;12;;0;85;3477;;;
SSR;2014;050000348;050002948;SSR_A;;20;0;;34;954;0;;
SSR;2014;050000348;050002948;SSR_A59;1;20;0;0;34;954;0;;
SSR;2014;050000348;050002948;SSR_TOT;;20;0;0;34;954;0;;
SSR;2014;050000371;050003508;SSR_E;;49;;;155;14398;63;;
SSR;2014;050000371;050003508;SSR_E54;1;49;;0;155;14398;63;;
SSR;2014;050000371;050003508;SSR_TOT;;49;;0;155;14398;63;;
SSR;2014;050000488;050000678;SSR_A;;77;0;;700;24967;51;0;0
SSR;2014;050000488;050000678;SSR_A50;1;0;0;0;0;0;0;0;0
SSR;2014;050000488;050000678;SSR_A54;1;77;0;0;700;24967;51;0;0
SSR;2014;050000488;050000678;SSR_TOT;;77;0;0;700;24967;51;0;0
SSR;2014;050000637;050001163;SSR_A;;66;;;441;21328;;;
SSR;2014;050000637;050001163;SSR_A50;1;66;;0;441;21328;;;
SSR;2014;050000637;050001163;SSR_TOT;;66;;0;441;21328;;;
SSR;2014;050000991;050000546;SSR_A;;181;4;;1468;53968;;24;445
SSR;2014;050000991;050000546;SSR_A50;1;56;;0;441;16984;;;
SSR;2014;050000991;050000546;SSR_A55;1;84;4;0;730;25436;;24;445
SSR;2014;050000991;050000546;SSR_A58;1;16;;0;157;4001;;;
SSR;2014;050000991;050000546;SSR_A59;1;25;;0;140;7547;;;
SSR;2014;050000991;050000546;SSR_TOT;;181;4;0;1468;53968;;24;445
SSR;2014;050001064;050000561;SSR_A;;90;;;845;29343;36;;
SSR;2014;050001064;050000561;SSR_A50;1;90;;0;845;29343;36;;
SSR;2014;050001064;050000561;SSR_TOT;;90;;0;845;29343;36;;
SSR;2014;050002351;130037815;SSR_A;;25;15;;273;7954;;337;8115
SSR;2014;050002351;130037815;SSR_A50;1;;;0;;;;;
SSR;2014;050002351;130037815;SSR_A51;1;20;7;;244;6771;;239;6066
SSR;2014;050002351;130037815;SSR_A52;1;5;5;0;29;1183;;83;1799
SSR;2014;050002351;130037815;SSR_A53;1;0;3;0;;;;15;250
SSR;2014;050002351;130037815;SSR_A54;1;0;;0;;;;;
SSR;2014;050002351;130037815;SSR_TOT;;25;15;0;273;7954;;337;8115
SSR;2014;050006436;050002948;SSR_A;;0;;;169;5134;3;;
SSR;2014;050006436;050002948;SSR_A59;1;0;;0;169;5134;3;;
SSR;2014;050006436;050002948;SSR_TOT;;0;;0;169;5134;3;;
SSR;2014;060000163;060780327;SSR_A;;6;;;43;1150;;;
SSR;2014;060000163;060780327;SSR_A50;1;6;;0;43;1150;;;
SSR;2014;060000163;060780327;SSR_TOT;;6;;0;43;1150;;;
SSR;2014;060000296;060780640;SSR_A;;84;;;915;24213;;;
SSR;2014;060000296;060780640;SSR_A50;1;;;0;;;;;
SSR;2014;060000296;060780640;SSR_A53;1;42;;0;421;10180;;;
SSR;2014;060000296;060780640;SSR_A54;1;42;;0;494;14033;;;
SSR;2014;060000296;060780640;SSR_TOT;;84;;0;915;24213;;;
SSR;2014;060000304;060780657;SSR_A;;10;;;137;3311;;;
SSR;2014;060000304;060780657;SSR_A50;1;10;;0;137;3311;;;
SSR;2014;060000304;060780657;SSR_TOT;;10;;0;137;3311;;;
SSR;2014;060000445;060780814;SSR_A;;73;;;470;20297;;;
SSR;2014;060000445;060780814;SSR_A50;1;73;;0;470;20297;;;
SSR;2014;060000445;060780814;SSR_TOT;;73;;0;470;20297;;;
SSR;2014;060000478;060780897;SSR_A;;30;;;258;10497;;;
SSR;2014;060000478;060780897;SSR_A50;1;30;;0;258;10497;;;
SSR;2014;060000478;060780897;SSR_A59;1;;;0;;;;;
SSR;2014;060000478;060780897;SSR_TOT;;30;;0;258;10497;;;
SSR;2014;060000486;060780905;SSR_A;;13;;;143;3756;2;;
SSR;2014;060000486;060780905;SSR_A50;1;13;;0;143;3756;2;;
SSR;2014;060000486;060780905;SSR_TOT;;13;;0;143;3756;2;;
SSR;2014;060000510;060780954;SSR_A;;25;;;340;10398;23;;
SSR;2014;060000510;060780954;SSR_A50;1;25;;0;340;10398;23;;
SSR;2014;060000510;060780954;SSR_A59;1;;;0;;;;;
SSR;2014;060000510;060780954;SSR_TOT;;25;;0;340;10398;23;;
SSR;2014;060000536;060006889;SSR_A;;19;;;164;5615;6;0;0
SSR;2014;060000536;060006889;SSR_A50;1;19;;0;164;5615;6;0;0
SSR;2014;060000536;060006889;SSR_TOT;;19;;0;164;5615;6;0;0
SSR;2014;060002102;060791761;SSR_A;;27;;;274;10565;11;;
SSR;2014;060002102;060791761;SSR_A50;1;27;;0;274;10565;11;;
SSR;2014;060002102;060791761;SSR_TOT;;27;;0;274;10565;11;;
SSR;2014;060005469;750043994;SSR_A;;90;;;1157;31835;1;;
SSR;2014;060005469;750043994;SSR_A50;1;90;;0;1157;31835;1;;
SSR;2014;060005469;750043994;SSR_A59;1;;;0;;;;;
SSR;2014;060005469;750043994;SSR_TOT;;90;;0;1157;31835;1;;
SSR;2014;060010188;060000221;SSR_A;;55;0;;448;18336;119;0;0
SSR;2014;060010188;060000221;SSR_A50;1;55;0;0;448;18336;119;0;0
SSR;2014;060010188;060000221;SSR_TOT;;55;0;0;448;18336;119;0;0
SSR;2014;060015328;060015278;SSR_E;;15;25;;104;2878;0;4841;4841
SSR;2014;060015328;060015278;SSR_E50;1;15;25;0;104;2878;0;4841;4841
SSR;2014;060015328;060015278;SSR_TOT;;15;25;0;104;2878;0;4841;4841
SSR;2014;060021201;060000155;SSR_A;;50;25;;736;17673;;163;4672
SSR;2014;060021201;060000155;SSR_A50;1;20;;0;159;3857;;;
SSR;2014;060021201;060000155;SSR_A51;1;30;25;;577;13816;;163;4672
SSR;2014;060021201;060000155;SSR_TOT;;50;25;1;736;17673;;163;4672
SSR;2014;060780145;060000049;SSR_A;;82;;;946;28024;12;;
SSR;2014;060780145;060000049;SSR_A50;1;11;;0;164;3971;1;;
SSR;2014;060780145;060000049;SSR_A59;1;71;;0;782;24053;11;;
SSR;2014;060780145;060000049;SSR_TOT;;82;;0;946;28024;12;;
SSR;2014;060780186;060006939;SSR_A;;52;;;599;19493;9;;
SSR;2014;060780186;060006939;SSR_A50;1;52;;0;599;19493;9;;
SSR;2014;060780186;060006939;SSR_TOT;;52;;0;599;19493;9;;
SSR;2014;060780277;750043994;SSR_A;;123;;;1217;44637;8;;
SSR;2014;060780277;750043994;SSR_A50;1;123;;0;1217;44637;8;;
SSR;2014;060780277;750043994;SSR_TOT;;123;;0;1217;44637;8;;
SSR;2014;060780343;060000171;SSR_A;;47;;;562;16654;9;0;0
SSR;2014;060780343;060000171;SSR_A50;1;47;;0;562;16654;9;0;0
SSR;2014;060780343;060000171;SSR_TOT;;47;;0;562;16654;9;0;0
SSR;2014;060780350;920000395;SSR_A;;44;;;440;16192;;;
SSR;2014;060780350;920000395;SSR_A50;1;44;;0;440;16192;;;
SSR;2014;060780350;920000395;SSR_TOT;;44;;0;440;16192;;;
SSR;2014;060780392;060000205;SSR_A;;108;;;929;34148;35;;
SSR;2014;060780392;060000205;SSR_A50;1;108;;0;929;34148;35;;
SSR;2014;060780392;060000205;SSR_TOT;;108;;0;929;34148;35;;
SSR;2014;060780459;010783009;SSR_A;;102;5;;576;30176;;114;3118
SSR;2014;060780459;010783009;SSR_A50;1;;;1;101;4585;;;218
SSR;2014;060780459;010783009;SSR_A51;1;102;5;;295;14082;;78;1922
SSR;2014;060780459;010783009;SSR_A52;1;;;1;180;11509;;36;978
SSR;2014;060780459;010783009;SSR_TOT;;102;5;1;576;30176;;114;3118
SSR;2014;060780558;750720575;SSR_A;;10;1;;123;4938;6;30;361
SSR;2014;060780558;750720575;SSR_A50;1;10;1;0;123;4938;6;30;361
SSR;2014;060780558;750720575;SSR_E;;93;6;;657;24601;19;138;1831
SSR;2014;060780558;750720575;SSR_E50;1;27;3;0;207;9557;17;38;412
SSR;2014;060780558;750720575;SSR_E55;1;66;3;0;450;15044;2;100;1419
SSR;2014;060780558;750720575;SSR_TOT;;103;7;0;780;29539;25;168;2192
SSR;2014;060780665;060000312;SSR_A;;30;;;477;10286;;;
SSR;2014;060780665;060000312;SSR_A50;1;30;;0;477;10286;;;
SSR;2014;060780665;060000312;SSR_TOT;;30;;0;477;10286;;;
SSR;2014;060780749;060000395;SSR_A;;43;;;448;15456;18;;
SSR;2014;060780749;060000395;SSR_A50;1;43;;0;448;15456;18;;
SSR;2014;060780749;060000395;SSR_TOT;;43;;0;448;15456;18;;
SSR;2014;060781374;060000718;SSR_A;;153;10;;1645;53664;73;167;2516
SSR;2014;060781374;060000718;SSR_A50;1;153;10;0;1645;53664;73;167;2516
SSR;2014;060781374;060000718;SSR_A51;1;;;;;;;;
SSR;2014;060781374;060000718;SSR_A55;1;;;0;;;;;
SSR;2014;060781374;060000718;SSR_TOT;;153;10;0;1645;53664;73;167;2516
